parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-2.52682,0.00462215,0.215422,0.208716,-2.90411,-2.5144,-2.19633,2208.36,5861.71,0.60711,1.00123,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
mu[2],-0.364981,0.00163713,0.127281,0.124913,-0.579345,-0.361973,-0.161043,6148.78,8342.92,1.69039,1.00034,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
mu[3],1.74497,0.00418303,0.300186,0.29492,1.27813,1.73045,2.26778,5229.69,8352.25,1.43772,1.00045,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
mu[4],-1.26903,0.00476281,0.414757,0.404393,-1.972,-1.25436,-0.611478,7724.67,9156.97,2.12362,1.0002,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
mu[5],1.72127,0.00136277,0.137071,0.137385,1.50088,1.71822,1.95193,10169.2,11619.7,2.79565,1.00001,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
tau[1],0.850276,0.00468061,0.241674,0.233203,0.455853,0.850145,1.25046,2779.54,2566.52,0.764136,1.00034,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
tau[2],1.06296,0.00204262,0.115992,0.1165,0.883279,1.05793,1.26274,3236.43,7611.6,0.889742,1.00075,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
tau[3],1.99797,0.00322245,0.271003,0.266218,1.58014,1.98224,2.47078,7011.61,11143.4,1.92759,1.00025,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
tau[4],2.943,0.00379122,0.391586,0.391789,2.32799,2.92412,3.61935,10754.0,12224.0,2.95642,1.00014,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
tau[5],1.02659,0.00167962,0.142225,0.141328,0.802063,1.02105,1.26849,7134.01,10340.0,1.96124,1.0005,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
"natural[1,1]",0.085131,0.000692802,0.059097,0.0442686,0.0198468,0.0713387,0.196109,6808.76,8961.45,1.87183,1.00042,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
"natural[1,2]",1.14802,0.00390759,0.538615,0.494242,0.417917,1.07052,2.13712,17603.9,11371.2,4.83957,1.00016,N111_H7_zero_train,111,4,4000,3000,0.99,0,0,0.6411664940508935,True
