model,source_run_conditional,posterior_fit_window_conditional,prediction_type_conditional,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_trials_conditional,n_participants_conditional,observed_high_conditional,predicted_high_conditional,residual_high_conditional,observed_investment_conditional,predicted_investment_conditional,residual_investment_conditional,predictive_interval_low_conditional,predictive_interval_high_conditional,investment_predictive_interval_low_conditional,investment_predictive_interval_high_conditional,posterior_draws_conditional,cell_weighting_conditional,sparse_cell_conditional,history_strata_conditional,source_run_generative,posterior_fit_window_generative,prediction_type_generative,n_trials_generative,n_participants_generative,observed_high_generative,predicted_high_generative,residual_high_generative,observed_investment_generative,predicted_investment_generative,residual_investment_generative,predictive_interval_low_generative,predictive_interval_high_generative,investment_predictive_interval_low_generative,investment_predictive_interval_high_generative,posterior_draws_generative,cell_weighting_generative,sparse_cell_generative,history_strata_generative,generative_minus_conditional_residual_high,generative_minus_conditional_residual_investment
H2,H2_train_noage,training,conditional_history,partner,friend,all,all,all,all,all,2745,111,0.7787168939641232,0.4741456841835938,0.3045712097805294,4.963929540869012,3.5835680001440005,1.3803615407250116,0.4540377255552021,0.4938182445066504,3.4753656150693657,3.6787380861370647,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,2745,111,0.7787168939641232,0.4740431794531431,0.3046737145109801,4.963929540869012,3.5806245127468697,1.3833050281221424,0.4544818682331469,0.4947195639870406,3.4842265525739515,3.6767521936582015,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,0.00010250473045070319,0.002943487397130795
H2,H2_train_noage,training,conditional_history,offer,friend,0-2,zero,all,all,all,390,111,0.8821321321321322,0.4876547957728365,0.3944773363592956,1.7642642642642643,0.9753095915456732,0.7889546727185912,0.4391704204204204,0.5406156156156156,0.8783408408408409,1.081231231231231,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,390,111,0.8821321321321322,0.4884215465465465,0.3937105855855856,1.7642642642642643,0.9768430930930933,0.7874211711711712,0.4384009009009009,0.536036036036036,0.8768018018018019,1.072072072072072,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,-0.0007667507737100232,-0.0015335015474200464
H2,H2_train_noage,training,conditional_history,offer,friend,0-4,zero,all,all,all,395,111,0.8746246246246245,0.4768498659587308,0.3977747586658937,3.498498498498498,1.9073994638349236,1.5910990346635747,0.4241554054054053,0.5293168168168167,1.6966216216216214,2.117267267267267,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,395,111,0.8746246246246245,0.4771452702702703,0.3974793543543542,3.498498498498498,1.9085810810810813,1.5899174174174169,0.4309121621621621,0.5232732732732732,1.7236486486486484,2.093093093093093,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,-0.00029540431153946,-0.00118161724615784
H2,H2_train_noage,training,conditional_history,offer,friend,0-8,zero,all,all,all,386,111,0.8603603603603603,0.4613375079384872,0.3990228524218731,6.882882882882883,3.6907000635078977,3.192182819374985,0.4151463963963964,0.5105292792792792,3.321171171171171,4.084234234234233,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,386,111,0.8603603603603603,0.4588457207207208,0.4015146396396395,6.882882882882883,3.670765765765766,3.212117117117117,0.4106606606606607,0.507545045045045,3.2852852852852856,4.06036036036036,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,0.002491787217766439,0.019934297742131957
H2,H2_train_noage,training,conditional_history,offer,friend,2-4,positive_positive,all,all,all,389,111,0.7897897897897898,0.4863902180235333,0.3033995717662564,3.57957957957958,2.972780436047066,0.6067991435325135,0.4338963963963964,0.5323573573573572,2.8677927927927933,3.064714714714715,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,389,111,0.7897897897897898,0.4871114864864864,0.3026783033033033,3.57957957957958,2.974222972972973,0.6053566066066067,0.4361674174174174,0.5346096096096095,2.872334834834835,3.06921921921922,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,-0.0007212684629531174,-0.00144253692590679
H2,H2_train_noage,training,conditional_history,offer,friend,2-8,positive_positive,all,all,all,788,111,0.7037859287859287,0.4668609759849305,0.2369249528009982,6.222715572715573,4.801165855909584,1.4215497168059883,0.4303161196911197,0.500935489060489,4.581896718146718,5.005612934362934,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,788,111,0.7037859287859287,0.4653157175032175,0.2384702112827111,6.222715572715573,4.791894305019305,1.4308212676962675,0.4306491312741313,0.5016800729300729,4.583894787644788,5.010080437580438,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,0.0015452584817128856,0.009271550890279201
H2,H2_train_noage,training,conditional_history,offer,friend,4-8,positive_positive,all,all,all,397,111,0.6373873873873874,0.4732966106819332,0.1640907767054542,6.54954954954955,5.893186442727734,0.6563631068218161,0.4173798798798799,0.5240427927927926,5.66951951951952,6.096171171171172,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,397,111,0.6373873873873874,0.475884009009009,0.1615033783783784,6.54954954954955,5.903536036036037,0.6460135135135125,0.4226726726726727,0.5248310810810811,5.690690690690691,6.099324324324325,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,-0.0025873983270758016,-0.01034959330830354
H2,H2_train_noage,training,conditional_history,zero_option,friend,all,positive_positive,all,all,all,1574,111,0.7076362076362074,0.4732704262108438,0.2343657814253635,5.648627198627199,4.62502978883376,1.0235974097934388,0.4445026276276275,0.4984466162591163,4.486658622908621,4.745843522093522,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,1574,111,0.7076362076362074,0.4733800005362505,0.2342562070999568,5.648627198627199,4.623589741527241,1.0250374570999572,0.4493838481338482,0.5002741580866581,4.506798316173317,4.751788127413128,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,-0.00010957432540670276,0.001440047306518366
H2,H2_train_noage,training,conditional_history,zero_option,friend,all,zero,all,all,all,1171,111,0.8755115505115504,0.4753374523279952,0.4001740981835551,4.044227344227349,2.180974520002963,1.8632528242243864,0.4461289211289213,0.505659263159263,2.034892343642344,2.3428662266162283,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,1171,111,0.8755115505115504,0.4750147655772656,0.4004967849342847,4.044227344227349,2.1762656715156714,1.8679616727116777,0.4470853239603237,0.5022920647920649,2.0339924989925,2.32251378001378,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,0.00032268675072960606,0.004708848487291251
H2,H2_train_noage,training,conditional_history,run,friend,all,all,single_run,all,all,289,21,0.795133437990581,0.4749998163509092,0.3201336216396718,4.971742543171114,3.5709718855050743,1.40077065766604,0.4175170068027211,0.5328231292517006,3.3011512297226586,3.8682365253793822,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,H2_train_noage,training,generative_history,289,21,0.795133437990581,0.4749130036630036,0.3202204343275773,4.971742543171114,3.563536106750392,1.408206436420722,0.4164769754055468,0.527740711669283,3.275235478806908,3.8414835164835166,400,equal_participant,False,observed_pretrial_labels_for_both_predictions,8.6812687905502e-05,0.007435778754682154
