model,prediction_type,participant_id,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_trials,observed_high,predicted_high,residual_high,observed_investment,predicted_investment,residual_investment
H2,conditional_history,sub-10317,partner,friend,all,all,all,all,all,14,1.0,0.48779824735165916,0.5122017526483409,6.0,3.6419378641361972,2.3580621358638028
H2,conditional_history,sub-10317,offer,friend,0-2,zero,all,all,all,2,1.0,0.49728309204423327,0.5027169079557667,2.0,0.9945661840884665,1.0054338159115335
H2,conditional_history,sub-10317,offer,friend,0-4,zero,all,all,all,2,1.0,0.49374712864990355,0.5062528713500964,4.0,1.9749885145996142,2.025011485400386
H2,conditional_history,sub-10317,offer,friend,0-8,zero,all,all,all,2,1.0,0.472479912956933,0.527520087043067,8.0,3.779839303655464,4.220160696344536
H2,conditional_history,sub-10317,offer,friend,2-4,positive_positive,all,all,all,2,1.0,0.49523901611141113,0.5047609838885889,4.0,2.9904780322228226,1.0095219677771774
H2,conditional_history,sub-10317,offer,friend,2-8,positive_positive,all,all,all,4,1.0,0.48258467189762,0.51741532810238,8.0,4.895508031385719,3.1044919686142807
H2,conditional_history,sub-10317,offer,friend,4-8,positive_positive,all,all,all,2,1.0,0.49066923790389305,0.509330762096107,8.0,5.962676951615572,2.037323048384428
H2,conditional_history,sub-10317,zero_option,friend,all,positive_positive,all,all,all,8,1.0,0.4877693994526361,0.5122306005473639,7.0,4.686042761652458,2.313957238347542
H2,conditional_history,sub-10317,zero_option,friend,all,zero,all,all,all,6,1.0,0.48783671121702327,0.5121632887829768,4.666666666666667,2.2497980007811815,2.4168686658854854
H2,conditional_history,sub-10317,run,friend,all,all,single_run,all,all,14,1.0,0.48779824735165916,0.5122017526483409,6.0,3.6419378641361972,2.3580621358638028
H2,conditional_history,sub-10317,time_bin,friend,all,all,early,all,all,4,1.0,0.48101884662066724,0.5189811533793327,8.0,4.612383798884557,3.387616201115443
H2,conditional_history,sub-10317,time_bin,friend,all,all,late,all,all,5,1.0,0.49479622688404207,0.505203773115958,5.2,3.3762853510830024,1.8237146489169977
H2,conditional_history,sub-10317,time_bin,friend,all,all,middle,all,all,5,1.0,0.4862237884040698,0.5137762115959301,5.2,3.131233629390703,2.068766370609297
H2,conditional_history,sub-10317,previous_feedback,friend,all,all,all,defection,all,7,1.0,0.48156538618752476,0.5184346138124752,6.857142857142857,4.026241956192869,2.830900900949988
H2,conditional_history,sub-10317,previous_feedback,friend,all,all,all,no_previous,all,1,1.0,0.4924183875927586,0.5075816124072414,8.0,5.969673550371035,2.030326449628965
H2,conditional_history,sub-10317,previous_feedback,friend,all,all,all,reciprocation,all,6,1.0,0.49429989533629937,0.5057001046637006,4.666666666666667,2.805627142364274,1.861039524302393
H2,conditional_history,sub-10317,partner,stranger,all,all,all,all,all,14,0.35714285714285715,0.49118345778540734,-0.1340406006425502,3.0,3.667865748063521,-0.6678657480635208
H2,conditional_history,sub-10317,offer,stranger,0-2,zero,all,all,all,2,0.5,0.4984697969613562,0.0015302030386438181,1.0,0.9969395939227124,0.0030604060772876363
H2,conditional_history,sub-10317,offer,stranger,0-4,zero,all,all,all,2,1.0,0.4901216859146503,0.5098783140853498,4.0,1.960486743658601,2.039513256341399
H2,conditional_history,sub-10317,offer,stranger,0-8,zero,all,all,all,2,0.0,0.48738212885846255,-0.48738212885846255,0.0,3.8990570308677004,-3.8990570308677004
H2,conditional_history,sub-10317,offer,stranger,2-4,positive_positive,all,all,all,2,0.0,0.49311189063778543,-0.49311189063778543,2.0,2.986223781275571,-0.9862237812755712
H2,conditional_history,sub-10317,offer,stranger,2-8,positive_positive,all,all,all,4,0.5,0.4888895695544182,0.011110430445581798,5.0,4.933337417326509,0.06666258267349079
H2,conditional_history,sub-10317,offer,stranger,4-8,positive_positive,all,all,all,2,0.0,0.4914195630167604,-0.4914195630167604,4.0,5.9656782520670415,-1.9656782520670415
H2,conditional_history,sub-10317,zero_option,stranger,all,positive_positive,all,all,all,8,0.25,0.49057764819084554,-0.24057764819084554,4.0,4.704644216998908,-0.7046442169989078
H2,conditional_history,sub-10317,zero_option,stranger,all,zero,all,all,all,6,0.5,0.49199120391148965,0.00800879608851035,1.6666666666666667,2.2854944561496713,-0.6188277894830045
H2,conditional_history,sub-10317,run,stranger,all,all,single_run,all,all,14,0.35714285714285715,0.49118345778540734,-0.1340406006425502,3.0,3.667865748063521,-0.6678657480635208
