parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-2.21075,0.00488325,0.265927,0.258386,-2.66554,-2.1977,-1.80282,3007.29,6377.61,0.492433,1.00077,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
mu[2],-0.428439,0.0016819,0.140545,0.139696,-0.667679,-0.423498,-0.206541,7019.9,9657.47,1.14948,1.00018,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
mu[3],0.933945,0.00144124,0.11403,0.111075,0.761483,0.92546,1.13387,6448.29,8097.53,1.05588,0.999955,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
mu[4],0.229085,0.00066014,0.0628682,0.0614854,0.128231,0.227976,0.333559,9091.93,11517.2,1.48877,1.00025,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
mu[5],1.74674,0.00140947,0.140996,0.139857,1.51809,1.74373,1.98265,10078.5,11615.4,1.65032,1.00016,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
tau[1],1.07551,0.00397801,0.27309,0.268397,0.643583,1.06718,1.54083,4557.14,6836.56,0.746215,1.00112,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
tau[2],1.10919,0.00200435,0.124315,0.121698,0.91848,1.1023,1.32216,3878.3,7864.43,0.635057,1.00088,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
tau[3],0.619541,0.00136904,0.104683,0.101645,0.463343,0.612686,0.805977,5957.24,8411.07,0.975476,1.00082,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
tau[4],0.477532,0.00085338,0.0761396,0.0746009,0.364029,0.471446,0.613737,8087.03,11725.4,1.32422,1.00028,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
tau[5],1.0394,0.00168056,0.143476,0.142603,0.815678,1.03379,1.2851,7276.52,10198.6,1.1915,1.00065,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[1,1]",0.194378,0.00251298,0.177928,0.105347,0.0279403,0.126583,0.593367,5722.99,9100.61,0.937118,1.0002,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[1,2]",1.0935,0.00486543,0.575035,0.51724,0.347562,0.997051,2.1504,12137.5,10342.4,1.98747,1.00024,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[1,3]",1.1675,0.00352705,0.379798,0.360925,0.635165,1.1198,1.86724,13004.3,11544.0,2.1294,1.00013,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[1,4]",0.158598,0.00152434,0.173321,0.139375,-0.124175,0.161045,0.425417,13453.3,10434.5,2.20292,1.00009,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[1,5]",1.57201,0.00646531,0.768619,0.754201,0.358575,1.54849,2.87241,14686.4,11510.1,2.40485,1.00037,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[2,1]",0.151772,0.00130844,0.124298,0.0855218,0.0255738,0.117172,0.401169,8301.68,10855.6,1.35937,0.999956,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[2,2]",0.439175,0.00234332,0.290447,0.261832,0.088094,0.378464,1.00175,13338.7,11284.9,2.18417,1.00009,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[2,3]",0.993472,0.00406508,0.465013,0.428809,0.369617,0.921377,1.85843,15719.2,10947.2,2.57396,1.0,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[2,4]",0.144553,0.00302635,0.350571,0.294051,-0.369607,0.109713,0.784232,15152.4,10123.1,2.48115,1.00017,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[2,5]",2.29661,0.00503194,0.799678,0.781267,1.0535,2.2453,3.68059,26223.9,12808.6,4.29407,1.00043,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[3,1]",0.176236,0.0016931,0.147273,0.0957718,0.0307813,0.130938,0.481838,7138.65,10365.7,1.16893,1.00071,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[3,2]",0.399646,0.00389099,0.349282,0.268385,0.0499085,0.286131,1.11251,7586.45,12510.2,1.24225,1.00064,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[3,3]",0.663805,0.00714555,0.623899,0.540448,-0.069437,0.494724,1.87364,8295.26,11191.4,1.35832,1.00023,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[3,4]",0.36947,0.00298219,0.363743,0.294152,-0.130265,0.312678,1.04938,16163.5,11655.9,2.64672,1.00057,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[3,5]",2.96082,0.00535843,0.765607,0.741929,1.78698,2.91243,4.29412,21250.3,13016.7,3.47966,1.00036,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[4,1]",0.058019,0.000467445,0.0436161,0.0323551,0.0116827,0.0483122,0.135067,7914.09,10250.3,1.2959,1.00025,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[4,2]",0.953096,0.00373236,0.462578,0.455338,0.310813,0.894634,1.81166,14039.3,12139.5,2.29888,1.0002,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[4,3]",1.26181,0.00375011,0.420035,0.404772,0.661774,1.21453,2.01751,13711.1,11591.7,2.24514,1.00023,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[4,4]",0.317787,0.00148557,0.175891,0.136717,0.074617,0.298306,0.626301,15472.6,11095.8,2.53357,1.00037,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[4,5]",2.29522,0.00493907,0.661833,0.656817,1.24911,2.27011,3.42354,18122.1,12134.6,2.96742,1.00041,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[5,1]",0.142398,0.00135075,0.119554,0.0791907,0.0239722,0.108903,0.383509,7596.38,10497.3,1.24388,1.00034,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[5,2]",0.59468,0.00376771,0.404785,0.344273,0.111657,0.509677,1.37592,9180.63,9362.61,1.50329,1.0003,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[5,3]",0.436594,0.00390514,0.357672,0.236689,0.0135972,0.364809,1.10584,11256.7,7865.56,1.84325,1.00046,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[5,4]",-0.186576,0.00246821,0.317038,0.288345,-0.71716,-0.170719,0.293952,16863.3,11511.8,2.7613,1.00002,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[5,5]",0.903248,0.00434674,0.627995,0.626227,-0.109433,0.893356,1.93875,20911.1,13072.0,3.42412,1.00028,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[6,1]",0.141489,0.00089417,0.0920352,0.0748591,0.0347359,0.122625,0.312516,9813.89,9433.02,1.60699,1.0004,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[6,2]",0.617375,0.00276154,0.338463,0.304837,0.180555,0.556603,1.26304,12860.5,10663.2,2.10586,1.00017,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[6,3]",1.0356,0.00348495,0.403067,0.382128,0.48976,0.976941,1.77956,15133.9,10701.2,2.47812,1.00041,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[6,4]",0.0465939,0.00185083,0.22142,0.176134,-0.28261,0.0357596,0.419962,15485.1,11032.2,2.53562,1.00012,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[6,5]",1.17869,0.00359276,0.547457,0.544386,0.306677,1.16739,2.09652,23223.7,12977.0,3.80279,1.00002,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[7,1]",0.144558,0.00166638,0.117629,0.0831317,0.0250966,0.112733,0.37613,4351.54,8658.82,0.712548,1.00053,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[7,2]",0.446441,0.00152248,0.22177,0.206063,0.151795,0.410443,0.862948,19164.8,10977.2,3.13816,1.00009,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[7,3]",1.72167,0.00419348,0.522867,0.506458,0.942609,1.67936,2.64279,16715.4,12113.5,2.73709,1.00005,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[7,4]",0.983802,0.00262291,0.364377,0.35143,0.442213,0.955643,1.62172,20652.0,11850.8,3.38169,1.0001,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[7,5]",2.68888,0.00553413,0.879461,0.873678,1.31507,2.64203,4.20687,25953.5,12361.0,4.24979,1.00058,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[8,1]",0.166738,0.00141773,0.138463,0.0988626,0.0260214,0.124382,0.454566,8843.21,11026.5,1.44804,1.00023,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[8,2]",0.377055,0.00204148,0.246032,0.213199,0.0863881,0.320951,0.858543,12669.1,11381.3,2.07452,1.00007,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[8,3]",0.958447,0.00402767,0.468569,0.430359,0.344034,0.884815,1.84738,15559.4,11215.2,2.5478,1.00046,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[8,4]",0.161761,0.00278021,0.331822,0.281471,-0.309092,0.126386,0.768422,15592.8,11582.4,2.55327,1.00058,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[8,5]",2.10393,0.00402862,0.623315,0.608268,1.12816,2.07569,3.1766,24422.8,14109.9,3.99914,0.999989,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[9,1]",0.232778,0.00214282,0.172003,0.142309,0.0391165,0.185634,0.586916,5431.07,9782.75,0.889317,1.0006,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[9,2]",0.163592,0.000814147,0.110484,0.0939072,0.035508,0.138783,0.376935,17246.0,12764.0,2.82397,1.00003,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[9,3]",1.00801,0.00489711,0.594997,0.57752,0.143877,0.950438,2.08497,16115.1,11277.0,2.63878,1.00005,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[9,4]",0.106194,0.00328903,0.422395,0.394272,-0.536095,0.0730794,0.854981,17161.9,13428.4,2.8102,1.0,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[9,5]",1.2852,0.00355737,0.532695,0.528209,0.439362,1.26678,2.18412,22564.7,13992.4,3.69489,0.999952,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[10,1]",0.263433,0.0017337,0.176138,0.161717,0.0513846,0.22191,0.616128,8934.68,9789.89,1.46302,0.999939,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[10,2]",0.29079,0.00176953,0.219456,0.171743,0.0553846,0.23333,0.727029,13381.7,12644.6,2.1912,1.00001,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[10,3]",0.878127,0.0049117,0.549444,0.522583,0.156762,0.790005,1.90156,14030.3,12086.7,2.29741,1.00009,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[10,4]",0.246515,0.00291475,0.38734,0.351082,-0.332456,0.209682,0.935385,18797.8,11752.0,3.07807,0.999972,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[10,5]",1.63846,0.00388299,0.643401,0.634296,0.62827,1.61507,2.7416,28162.8,13366.8,4.61154,1.00009,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[11,1]",0.106106,0.000501977,0.0493928,0.0498336,0.0365476,0.100617,0.196577,9162.51,10704.3,1.50033,1.00037,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[11,2]",2.74648,0.0105603,1.21603,1.10665,1.14555,2.56242,5.02605,11965.5,10440.8,1.95931,1.0005,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[11,3]",0.254566,0.000863314,0.0935753,0.0813684,0.0935834,0.262789,0.389095,12208.8,12562.3,1.99914,1.00026,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[11,4]",-0.0694272,0.0013875,0.150553,0.128642,-0.357321,-0.0387157,0.113235,15231.9,10797.0,2.49416,1.00086,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[11,5]",1.42533,0.00595032,0.722869,0.716393,0.268179,1.41314,2.63315,15033.0,12810.5,2.4616,1.00005,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[12,1]",0.141637,0.00135318,0.117675,0.0821629,0.0227183,0.109353,0.374727,6770.91,11472.5,1.10871,1.00008,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[12,2]",0.509687,0.0035074,0.361272,0.304706,0.0926996,0.425437,1.22046,9078.83,10564.9,1.48662,1.00014,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[12,3]",0.585052,0.00427414,0.415595,0.31328,0.0976306,0.488542,1.40893,11935.9,9632.94,1.95446,1.00021,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[12,4]",-0.0676212,0.0023696,0.27926,0.225221,-0.506165,-0.0643572,0.37629,15157.0,9916.85,2.4819,1.00017,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[12,5]",1.37103,0.00412777,0.568143,0.557272,0.472631,1.35426,2.33542,18992.9,12917.7,3.11002,1.00046,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[13,1]",0.0900386,0.0006209,0.0617804,0.04944,0.0193916,0.0763,0.205108,9139.57,11921.3,1.49657,1.00046,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
"natural[13,2]",1.08497,0.00590566,0.666372,0.53752,0.324917,0.934656,2.36887,10458.5,11450.8,1.71254,1.00016,N111_HPreference_zero_train,111,4,4000,3000,0.99,0,0,0.6291944098290053,True
