model,prediction_type,participant_id,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_trials,observed_high,predicted_high,residual_high,observed_investment,predicted_investment,residual_investment
H7,conditional_history,sub-10317,partner,friend,all,all,all,all,all,14,1.0,0.932417463489903,0.06758253651009705,6.0,5.772090413889723,0.22790958611027712
H7,conditional_history,sub-10317,offer,friend,0-2,zero,all,all,all,2,1.0,0.872489441460877,0.12751055853912296,2.0,1.744978882921754,0.25502111707824593
H7,conditional_history,sub-10317,offer,friend,0-4,zero,all,all,all,2,1.0,0.9573856243726492,0.04261437562735082,4.0,3.8295424974905967,0.17045750250940328
H7,conditional_history,sub-10317,offer,friend,0-8,zero,all,all,all,2,1.0,0.9774452131999815,0.022554786800018545,8.0,7.819561705599852,0.18043829440014836
H7,conditional_history,sub-10317,offer,friend,2-4,positive_positive,all,all,all,2,1.0,0.8497849565492089,0.15021504345079106,4.0,3.6995699130984177,0.30043008690158235
H7,conditional_history,sub-10317,offer,friend,2-8,positive_positive,all,all,all,4,1.0,0.9579279656827572,0.042072034317242823,8.0,7.747567794096543,0.2524322059034567
H7,conditional_history,sub-10317,offer,friend,4-8,positive_positive,all,all,all,2,1.0,0.953961077481089,0.04603892251891095,8.0,7.815844309924355,0.18415569007564514
H7,conditional_history,sub-10317,zero_option,friend,all,positive_positive,all,all,all,8,1.0,0.929900491348953,0.07009950865104697,7.0,6.752637452803965,0.247362547196035
H7,conditional_history,sub-10317,zero_option,friend,all,zero,all,all,all,6,1.0,0.9357734263445024,0.06422657365549755,4.666666666666667,4.464694362004068,0.20197230466259875
H7,conditional_history,sub-10317,run,friend,all,all,single_run,all,all,14,1.0,0.932417463489903,0.06758253651009705,6.0,5.772090413889723,0.22790958611027712
H7,conditional_history,sub-10317,time_bin,friend,all,all,early,all,all,4,1.0,0.9729780683566216,0.027021931643378405,8.0,7.835146389721758,0.16485361027824208
H7,conditional_history,sub-10317,time_bin,friend,all,all,late,all,all,5,1.0,0.939370382982042,0.06062961701795799,5.2,5.029095944487749,0.17090405551225096
H7,conditional_history,sub-10317,time_bin,friend,all,all,middle,all,all,5,1.0,0.8930160601043888,0.10698393989561117,5.2,4.864640102626068,0.335359897373932
H7,conditional_history,sub-10317,previous_feedback,friend,all,all,all,defection,all,7,1.0,0.9345862507578496,0.06541374924215038,6.857142857142857,6.5887087386780125,0.2684341184648442
H7,conditional_history,sub-10317,previous_feedback,friend,all,all,all,no_previous,all,1,1.0,0.9603344672359038,0.039665532764096234,8.0,7.841337868943615,0.15866213105638494
H7,conditional_history,sub-10317,previous_feedback,friend,all,all,all,reciprocation,all,6,1.0,0.9252343777196314,0.07476562228036865,4.666666666666667,4.474494459127737,0.19217220753893027
H7,conditional_history,sub-10317,partner,stranger,all,all,all,all,all,14,0.35714285714285715,0.41189102577615266,-0.05474816863329551,3.0,3.266669436985315,-0.26666943698531487
H7,conditional_history,sub-10317,offer,stranger,0-2,zero,all,all,all,2,0.5,0.4870879721660096,0.012912027833990425,1.0,0.9741759443320192,0.02582405566798085
H7,conditional_history,sub-10317,offer,stranger,0-4,zero,all,all,all,2,1.0,0.38854441681083246,0.6114555831891675,4.0,1.5541776672433298,2.44582233275667
