model,parameter,n_subjects,median_base_participant_mean,median_zero_participant_mean,median_paired_change
H5,alpha,111,0.0891707531582209,0.0818940083749744,-0.006603211069468699
H5,kappa,111,0.1946658494273069,0.5224679943543583,0.22407912149838233
H5,theta,111,6.331868919312206,2.803082418286741,-4.086213415675037
H7,alpha,111,0.0759884684044819,0.0596419356207183,-0.007108724734489598
H7,kappa,111,0.2917904881190737,0.6161924565963757,0.2764191153301889
H7,theta,111,3.83876879282165,1.8847959760757191,-2.1088434738897255
H7,theta_stranger,111,0.9109984636183712,0.2011883731956327,-0.6013768603923136
H8,alpha,111,0.4319580055185687,0.153507643467872,-0.1275474183895136
H8,alpha_negative,111,0.0774719407414552,0.1237666087668853,0.013374901660738098
H8,kappa,111,0.3441161070340756,0.4515474896991081,0.06677750391427506
