model,source_run,posterior_fit_window,prediction_type,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_trials,n_participants,observed_high,predicted_high,residual_high,observed_investment,predicted_investment,residual_investment,predictive_interval_low,predictive_interval_high,investment_predictive_interval_low,investment_predictive_interval_high,posterior_draws,cell_weighting,sparse_cell,history_strata
H7,H7_train_noage,training,conditional_history,partner,friend,all,all,all,all,all,2745,111,0.7787168939641232,0.7847429184827374,-0.006026024518614115,4.963929540869012,5.125976484665484,-0.16204694379647222,0.7634424524589698,0.8063630845463756,5.025959765410747,5.231198069318488,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,offer,friend,0-2,zero,all,all,all,390,111,0.8821321321321322,0.7117425692196064,0.17038956291252572,1.7642642642642643,1.4234851384392129,0.34077912582505143,0.6651276276276277,0.7530593093093093,1.3302552552552553,1.5061186186186186,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,offer,friend,0-4,zero,all,all,all,395,111,0.8746246246246245,0.7901065276334297,0.08451809699119484,3.498498498498498,3.160426110533719,0.33807238796477934,0.7469219219219219,0.8295983483483483,2.9876876876876874,3.3183933933933933,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,offer,friend,0-8,zero,all,all,all,386,111,0.8603603603603603,0.8555683856699758,0.004791974690384504,6.882882882882883,6.844547085359807,0.03833579752307603,0.8123123123123124,0.8903903903903904,6.498498498498499,7.123123123123123,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,offer,friend,2-4,positive_positive,all,all,all,389,111,0.7897897897897898,0.7074340908807721,0.08235569890901762,3.5795795795795797,3.4148681817615443,0.16471139781803545,0.6628941441441442,0.752271021021021,3.3257882882882885,3.5045420420420412,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,offer,friend,2-8,positive_positive,all,all,all,788,111,0.7037859287859287,0.8229085556072445,-0.1191226268213158,6.222715572715573,6.937451333643467,-0.7147357609278941,0.790794187044187,0.8534435328185327,6.744765122265123,7.120661196911198,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,offer,friend,4-8,positive_positive,all,all,all,397,111,0.6373873873873874,0.7828265017407767,-0.1454391143533893,6.54954954954955,7.131306006963106,-0.5817564574135563,0.7477289789789792,0.8213213213213214,6.990915915915915,7.285285285285286,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,zero_option,friend,all,positive_positive,all,all,all,1574,111,0.7076362076362074,0.7842158914237143,-0.0765796837875069,5.6486271986271985,6.115282139738704,-0.4666549411115053,0.7576915755040755,0.8097664628914631,5.993146181896184,6.236396128271128,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,zero_option,friend,all,zero,all,all,all,1171,111,0.8755115505115504,0.7854367933051006,0.09007475720644975,4.044227344227349,3.792368454421934,0.25185888980541504,0.7556300293800293,0.8105035473785476,3.648409253409255,3.9133685633685644,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H7,H7_train_noage,training,conditional_history,run,friend,all,all,single_run,all,all,289,21,0.795133437990581,0.7767743471263944,0.018359090864186633,4.971742543171114,5.061571626785731,-0.0898290836146165,0.7218472004186289,0.8344453165881739,4.795368916797488,5.338186813186813,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
