run,model,variant,participant_id,parameter,probability_positive,mean,median,ci_low,ci_high
N111_H5_zero_full,H5,zero,sub-10317,alpha,1.0,0.08501042207291472,0.06619946239499999,0.0064880544090500005,0.2647207789425
N111_H5_zero_full,H5,zero,sub-10317,kappa,1.0,1.054028966948082,1.0198710819999999,0.37123101261499997,1.9293589189749996
N111_H5_zero_full,H5,zero,sub-10317,theta,1.0,4.0393112273247995,3.7848918455,1.4719766354,7.9598419767249995
N111_H5_zero_full,H5,zero,sub-10317,gamma0,0.9683125,1.2075467494410652,1.1883821005000001,-0.07306991490574997,2.595091188525
N111_H5_zero_full,H5,zero,sub-10369,alpha,1.0,0.1486217286411795,0.11274620115,0.01235425154625,0.49453354408499994
N111_H5_zero_full,H5,zero,sub-10369,kappa,1.0,0.37220799504196567,0.30457435229999996,0.0513800077155,1.0366882531999995
N111_H5_zero_full,H5,zero,sub-10369,theta,1.0,3.6174967346441074,3.047108923,0.7269889923175,9.287748436999998
N111_H5_zero_full,H5,zero,sub-10369,gamma0,0.997375,1.675678156333773,1.653671241,0.4907197847825,2.979283426125
N111_H5_zero_full,H5,zero,sub-10402,alpha,1.0,0.07077003980075378,0.055807233085,0.0065952115908,0.23242917913499997
N111_H5_zero_full,H5,zero,sub-10402,kappa,1.0,0.7022537879173784,0.69715173705,0.081634035259,1.3578613926749998
N111_H5_zero_full,H5,zero,sub-10402,theta,1.0,0.757655617430624,0.5267170043,0.044904666284750004,3.639825579949999
N111_H5_zero_full,H5,zero,sub-10402,gamma0,1.0,3.554738103578125,3.517311492,2.243576975325,5.0382710705000004
N111_H5_zero_full,H5,zero,sub-10418,alpha,1.0,0.026792318639549607,0.021003741005,0.0027001575616250003,0.08391353297399996
N111_H5_zero_full,H5,zero,sub-10418,kappa,1.0,0.7662757590755763,0.75017534195,0.28000777377749997,1.35230969605
N111_H5_zero_full,H5,zero,sub-10418,theta,1.0,4.7506046957307495,4.4917549745,1.8562582249000001,9.118217562949999
N111_H5_zero_full,H5,zero,sub-10418,gamma0,1.0,2.663436613454094,2.6354677730000002,1.54360056975,3.943532456325
N111_H5_zero_full,H5,zero,sub-10462,alpha,1.0,0.04077636112910581,0.027154270915,0.0033179623691750003,0.161785931165
N111_H5_zero_full,H5,zero,sub-10462,kappa,1.0,1.184676686806108,1.1528930945,0.23955481524750002,2.287935976575
N111_H5_zero_full,H5,zero,sub-10462,theta,1.0,0.5761628881126069,0.485737241,0.04016111324175001,1.6982964858249998
N111_H5_zero_full,H5,zero,sub-10462,gamma0,0.9791875,1.290810638365489,1.2829740195000001,0.04591230366100001,2.6017388229499994
N111_H5_zero_full,H5,zero,sub-10478,alpha,1.0,0.08670048905607856,0.070797188275,0.009036113040175,0.26054918223
N111_H5_zero_full,H5,zero,sub-10478,kappa,1.0,0.39065928172074316,0.3521676903,0.10999054250500001,0.8780000645199999
N111_H5_zero_full,H5,zero,sub-10478,theta,1.0,4.711716421813262,4.364125177,1.70921545545,9.587452914475
N111_H5_zero_full,H5,zero,sub-10478,gamma0,0.9995,1.4217557905790867,1.401808671,0.5779866623625,2.37819633795
N111_H5_zero_full,H5,zero,sub-10486,alpha,1.0,0.09243511150983777,0.06357863201,0.006163690045625001,0.34813832973
N111_H5_zero_full,H5,zero,sub-10486,kappa,1.0,0.1710755442985915,0.1538036403,0.038309338373999996,0.4024063711949999
N111_H5_zero_full,H5,zero,sub-10486,theta,1.0,7.272760217324168,7.0988260355,2.91158506365,12.646828812999999
N111_H5_zero_full,H5,zero,sub-10486,gamma0,1.0,3.4138698452102627,3.3479453555000003,1.734227248175,5.4833939988
N111_H5_zero_full,H5,zero,sub-10529,alpha,1.0,0.08189400837497442,0.05531780439,0.006309347978575,0.32761055389249993
N111_H5_zero_full,H5,zero,sub-10529,kappa,1.0,0.30707581801423467,0.25487840865,0.0314900007815,0.84964086024
N111_H5_zero_full,H5,zero,sub-10529,theta,1.0,2.803082418286741,1.893965198,0.39872417997250004,9.345386344224996
N111_H5_zero_full,H5,zero,sub-10529,gamma0,1.0,2.781356713457787,2.7460374685,1.62737714825,4.147127382549999
N111_H5_zero_full,H5,zero,sub-10541,alpha,1.0,0.14459325274185417,0.1055008558,0.0105512245285,0.5086353175
N111_H5_zero_full,H5,zero,sub-10541,kappa,1.0,0.11530310606910507,0.08215626574,0.012477976740500002,0.39082159203999983
N111_H5_zero_full,H5,zero,sub-10541,theta,1.0,3.9788377341933736,3.2549059245,0.2122736077025,11.251760760249997
N111_H5_zero_full,H5,zero,sub-10541,gamma0,1.0,2.054831410422531,2.028943722,1.1351085845250002,3.12445192795
N111_H5_zero_full,H5,zero,sub-10555,alpha,1.0,0.37658667743425744,0.37041518425,0.05409934547975,0.7431587125674999
N111_H5_zero_full,H5,zero,sub-10555,kappa,1.0,0.42623971703597063,0.37404719955,0.03980179501175,1.1140410423999998
N111_H5_zero_full,H5,zero,sub-10555,theta,1.0,2.5727616575428085,1.8197162105,0.1680358530675,8.793813968249998
N111_H5_zero_full,H5,zero,sub-10555,gamma0,0.9915,1.3259389060449442,1.3039686685,0.19356680321250005,2.5589501845999996
