model,source_run,posterior_fit_window,prediction_type,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_trials,n_participants,observed_high,predicted_high,residual_high,observed_investment,predicted_investment,residual_investment,predictive_interval_low,predictive_interval_high,investment_predictive_interval_low,investment_predictive_interval_high,posterior_draws,cell_weighting,sparse_cell,history_strata
H5,H5_train_noage,training,conditional_history,partner,friend,all,all,all,all,all,2745,111,0.7787168939641232,0.7741856555933121,0.0045312383708111525,4.963929540869012,5.0866821961448725,-0.12275265527586043,0.7536629377860193,0.7974717456699552,4.989969720530888,5.196281549072468,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,friend,0-2,zero,all,all,all,390,111,0.8821321321321322,0.6956917988467995,0.1864403332853326,1.7642642642642643,1.391383597693599,0.3728806665706652,0.651632882882883,0.7358295795795795,1.303265765765766,1.471659159159159,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,friend,0-4,zero,all,all,all,395,111,0.8746246246246245,0.7777301734625212,0.09689445116210338,3.498498498498498,3.1109206938500846,0.3875778046484135,0.7402214714714715,0.8183183183183182,2.960885885885886,3.273273273273273,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,friend,0-8,zero,all,all,all,386,111,0.8603603603603603,0.851567953062125,0.008792407298235383,6.882882882882883,6.812543624497,0.07033925838588306,0.8153153153153154,0.8881569069069069,6.522522522522523,7.105255255255255,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,friend,2-4,positive_positive,all,all,all,389,111,0.7897897897897898,0.6915118006515801,0.09827798913820962,3.5795795795795797,3.3830236013031607,0.19655597827641902,0.6440878378378379,0.7387387387387387,3.2881756756756757,3.477477477477477,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,friend,2-8,positive_positive,all,all,all,788,111,0.7037859287859287,0.8163685485220649,-0.11258261973613615,6.222715572715573,6.898211291132388,-0.6754957184168155,0.7858006220506221,0.8477340733590734,6.714803732303733,7.08640444015444,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,friend,4-8,positive_positive,all,all,all,397,111,0.6373873873873874,0.7705751977621716,-0.13318781037478422,6.54954954954955,7.082300791048685,-0.5327512414991356,0.7244744744744746,0.8100975975975977,6.897897897897899,7.24039039039039,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,zero_option,friend,all,positive_positive,all,all,all,1574,111,0.7076362076362074,0.7738500097296585,-0.06621380209345107,5.6486271986271985,6.07537686236368,-0.4267496637364818,0.749398326898327,0.8032266194766194,5.960790701415702,6.208541934791935,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,zero_option,friend,all,zero,all,all,all,1171,111,0.8755115505115504,0.7746240619598056,0.10088748855174479,4.044227344227349,3.7539340970377952,0.29029324718955385,0.7503806972556974,0.8005894774644776,3.6336730399230426,3.8807877032877047,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,run,friend,all,all,single_run,all,all,289,21,0.795133437990581,0.7694657894124696,0.025667648578111435,4.971742543171114,5.035776757915311,-0.06403421474419702,0.712428048142334,0.8254905808477239,4.761316064887494,5.290044479330194,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,time_bin,friend,all,all,early,all,all,950,111,0.8238462488462486,0.7696867970752382,0.054159451771010336,5.312652912652913,5.176744049925283,0.13590886272763036,0.7414838539838539,0.7998684561184558,5.027485553735552,5.3241266753766725,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,time_bin,friend,all,all,late,all,all,956,111,0.751151626151626,0.7830931689597921,-0.03194154280816608,4.863816613816613,5.166353114499059,-0.30253650068244653,0.7503365734615732,0.8168288637038633,5.009620875870876,5.308773775023775,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,time_bin,friend,all,all,middle,all,all,839,111,0.7689247939247938,0.7657538582374188,0.0031709356873750316,4.665890965890965,4.828293109369927,-0.1624021434789622,0.7355514286764286,0.7985332235332234,4.690883437133436,4.966701065451062,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,previous_feedback,friend,all,all,all,defection,all,1321,111,0.7549592049592048,0.7520463605870106,0.00291284437219419,5.002802102802102,5.109747760833837,-0.10694565803173539,0.7226802154927154,0.7800000390625388,4.9648609479859465,5.252383453633454,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,previous_feedback,friend,all,all,all,no_previous,all,112,111,0.9234234234234234,0.7790064736359861,0.14441694978743735,6.09009009009009,5.517176547892303,0.5729135421977869,0.7027027027027027,0.8514639639639638,5.207207207207207,5.81981981981982,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,previous_feedback,friend,all,all,all,reciprocation,all,1312,111,0.7922443047443046,0.7965989141357506,-0.0043546093914459405,4.829201454201453,5.022895752742602,-0.19369429854114895,0.7694524847649845,0.8242236295361296,4.898470847220845,5.141295931920932,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,partner,stranger,all,all,all,all,all,2752,111,0.5190448454674238,0.3958039240067241,0.1232409214606997,3.712182180252357,3.177005591883966,0.5351765883683908,0.37352740526882405,0.41933925189092985,3.0653644469609374,3.2808706990659693,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,stranger,0-2,zero,all,all,all,394,111,0.7575075075075075,0.44258073103348977,0.31492677647401773,1.515015015015015,0.8851614620669795,0.6298535529480355,0.3948385885885886,0.49399399399399396,0.7896771771771772,0.9879879879879879,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,stranger,0-4,zero,all,all,all,388,111,0.7064564564564565,0.4012332791907863,0.3052231772656702,2.825825825825826,1.604933116763145,1.2208927090626809,0.35206456456456453,0.4579579579579579,1.4082582582582581,1.8318318318318316,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,stranger,0-8,zero,all,all,all,388,111,0.5893393393393394,0.35324649035121936,0.23609284898812,4.714714714714715,2.825971922809755,1.88874279190496,0.3024587087087087,0.4061936936936936,2.41966966966967,3.249549549549549,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,stranger,2-4,positive_positive,all,all,all,398,111,0.47822822822822825,0.4366992685850592,0.04152895964316905,2.956456456456457,2.873398537170118,0.08305791928633877,0.3828641141141142,0.48727477477477477,2.765728228228229,2.9745495495495495,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,stranger,2-8,positive_positive,all,all,all,791,111,0.392996567996568,0.3699725520629005,0.02302401593366754,4.357979407979408,4.219835312377403,0.13814409560200502,0.3308979515229515,0.4077447983697983,3.985387709137709,4.44646879021879,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,stranger,4-8,positive_positive,all,all,all,393,111,0.3288288288288289,0.3960697099314468,-0.06724088110261789,5.315315315315316,5.584278839725787,-0.2689635244104709,0.3498310810810811,0.4504504504504504,5.399324324324325,5.801801801801801,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,zero_option,stranger,all,positive_positive,all,all,all,1582,111,0.3976950976950978,0.39324186138250544,0.004453236312592368,4.241932841932842,4.221026910293653,0.020905931639188857,0.36518796800046793,0.419847972972973,4.09757873132873,4.342917787917788,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,zero_option,stranger,all,zero,all,all,all,1170,111,0.685289835289835,0.3993479370435218,0.2859418982463132,3.0025753025753033,1.7612791313326142,1.241296171242689,0.3700754732004731,0.4284055646555647,1.6231393893893895,1.924097165347166,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,run,stranger,all,all,single_run,all,all,287,21,0.4468428396999826,0.3762440315116818,0.07059880818830083,3.3790336647479498,3.07998465916564,0.29904900558230985,0.31805555555555554,0.43754796790511064,2.8195687249258676,3.388223879295308,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,time_bin,stranger,all,all,early,all,all,938,111,0.4997546247546247,0.3866866681054997,0.113067956649125,3.717043667043666,3.1864287783639083,0.5306148886797577,0.35397089459589465,0.4218211149461149,3.0149586112086113,3.34787661037661,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,time_bin,stranger,all,all,late,all,all,921,111,0.5123025623025621,0.4022583422458642,0.1100442200566979,3.6706531206531223,3.204884326118636,0.4657687945344864,0.36914443664443675,0.43562402499902464,3.032423803673803,3.39269565019565,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,time_bin,stranger,all,all,middle,all,all,893,111,0.5363206863206863,0.39824985731658447,0.13807082900410184,3.769345719345718,3.1920196593581434,0.5773260599875747,0.36383274633274654,0.43712048149548166,3.0185708923208914,3.378398575898576,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,previous_feedback,stranger,all,all,all,defection,all,1309,111,0.4927447912742031,0.37989579510029436,0.11284899617390876,3.6036395212865813,3.0948930504315255,0.5087464708550558,0.3506804708275295,0.4084029725941489,2.9442432888388765,3.233115005541477,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,previous_feedback,stranger,all,all,all,no_previous,all,123,111,0.6081081081081081,0.39059912184704243,0.21750898626106568,4.063063063063064,3.1971625801674985,0.8659004828955652,0.30330330330330335,0.48348348348348347,2.8077327327327333,3.6156906906906903,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,previous_feedback,stranger,all,all,all,reciprocation,all,1320,111,0.5491973241973241,0.4126645749283962,0.13653274926892794,3.852864527864527,3.2719596045554318,0.5809049233090953,0.3818289427664427,0.4419459197584196,3.1104880098630088,3.4277628177628188,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,partner,computer,all,all,all,all,all,2754,111,0.48026954526954524,0.3890306962400396,0.09123884902950563,3.5342567607479887,3.1342944925229608,0.3999622682250279,0.3684053880040721,0.4099575003303076,3.024714135060627,3.238601171816084,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
H5,H5_train_noage,training,conditional_history,offer,computer,0-2,zero,all,all,all,395,111,0.6584084084084084,0.4392059135134716,0.21920249489493682,1.3168168168168168,0.8784118270269432,0.43840498978987363,0.39112237237237235,0.49254879879879876,0.7822447447447447,0.9850975975975975,400,equal_participant,False,observed_pretrial_labels_for_both_predictions
