model,metric,status,source_run,n_subjects,n_trials,base_mean,zero_mean,mean_delta,ci_low,ci_high
H5,log_loss,complete,N111_H5_zero_train,111,4017,0.6021865927574289,0.5165521425401902,-0.08563445021723859,-0.10409428108230462,-0.06675134449096047
H5,brier,complete,N111_H5_zero_train,111,4017,0.20958197451873298,0.1729433197828379,-0.036638654735895074,-0.04386480612649333,-0.029383274712908036
H5,accuracy,complete,N111_H5_zero_train,111,4017,0.5866086855964732,0.7098535205897384,0.12324483499326508,0.10182223807637973,0.14516093956167853
H7,log_loss,complete,N111_H7_zero_train,111,4017,0.5740644057440393,0.5038903107482586,-0.07017409499578077,-0.08662018733159005,-0.05391733947008297
H7,brier,complete,N111_H7_zero_train,111,4017,0.19741943384491398,0.16714897378661547,-0.030270460058298504,-0.036854060934745574,-0.02384187186116336
H7,accuracy,complete,N111_H7_zero_train,111,4017,0.6518385866068273,0.7416369535848771,0.08979836697804987,0.0727485898913665,0.1076153189366595
HPreference,log_loss,complete,N111_HPreference_zero_train,111,4017,0.5743693322242529,0.5074295462430977,-0.06693978598115524,-0.0842453764925283,-0.050011806554023444
HPreference,brier,complete,N111_HPreference_zero_train,111,4017,0.19788233855803253,0.16890509405178908,-0.028977244506243435,-0.03551896321289198,-0.022441686072971326
HPreference,accuracy,complete,N111_HPreference_zero_train,111,4017,0.6508527307429226,0.7389228266114781,0.08807009586855542,0.06914420871096096,0.10667000756699087
H8,log_loss,complete,N111_H8_zero_train,111,4017,0.591106470825007,0.5304008358858208,-0.060705634939186286,-0.07699493511669883,-0.04510557030858523
H8,brier,complete,N111_H8_zero_train,111,4017,0.20414033216457358,0.17925100968679453,-0.024889322477779075,-0.03188353655016267,-0.018343939308114416
H8,accuracy,complete,N111_H8_zero_train,111,4017,0.6733750139866782,0.7244087389613529,0.05103372497467493,0.029943025564816327,0.07385564789528204
