parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-2.82481,0.00518878,0.258794,0.252162,-3.27585,-2.80823,-2.42823,2532.16,5199.83,0.260931,1.00036,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
mu[2],-0.740792,0.00191798,0.138388,0.137677,-0.975254,-0.737776,-0.516373,5221.62,8304.26,0.538071,1.00069,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
mu[3],2.57755,0.00623761,0.433474,0.432426,1.89204,2.56274,3.3182,4863.47,7936.11,0.501165,1.00025,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
mu[4],1.85667,0.00184078,0.144125,0.142967,1.62214,1.85534,2.0957,6152.14,9794.49,0.633958,1.00022,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
tau[1],1.23733,0.00330248,0.225726,0.215285,0.871971,1.23225,1.6151,4686.02,5017.91,0.48288,1.00031,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
tau[2],1.28141,0.0016213,0.107011,0.106732,1.11504,1.27593,1.46488,4329.15,8549.28,0.446105,1.0008,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
tau[3],3.51917,0.00416667,0.368481,0.368878,2.93716,3.5066,4.15207,7802.35,10944.7,0.804007,1.00049,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
tau[4],1.33254,0.00151308,0.127243,0.124852,1.13485,1.32659,1.5514,7023.24,9319.28,0.723722,1.00078,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
"natural[1,1]",0.0850104,0.00069799,0.069944,0.0575476,0.0102635,0.0661995,0.222429,8564.32,11406.9,0.882525,1.00052,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
"natural[1,2]",1.05403,0.00290891,0.404207,0.39625,0.456548,1.01987,1.7741,18399.9,12164.5,1.89605,1.00002,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
"natural[1,3]",4.03931,0.0135516,1.72413,1.69619,1.70294,3.78489,7.25517,18742.6,12407.0,1.93136,1.00036,N111_H5_zero_full,111,4,4000,3000,0.99,0,0,0.6515970172383011,True
