parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-2.6359,0.00607419,0.277387,0.26819,-3.12269,-2.61334,-2.22244,2079.89,5622.86,0.394003,1.00113,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
mu[2],-1.42634,0.00198555,0.138108,0.138064,-1.65666,-1.42293,-1.20462,4874.8,7689.74,0.923455,1.00027,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
mu[3],5.54269,0.007648,0.621151,0.614495,4.54655,5.52069,6.59099,6643.3,10215.5,1.25847,1.00027,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
tau[1],1.10178,0.00599556,0.287412,0.275543,0.63714,1.09905,1.57605,2299.18,2884.07,0.435544,1.0013,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
tau[2],1.292,0.0015135,0.100981,0.0993596,1.13473,1.2875,1.46425,4429.99,8252.12,0.839194,1.00015,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
tau[3],4.99898,0.0039745,0.418886,0.415026,4.32271,4.98591,5.70382,11113.4,11240.8,2.10527,1.00007,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[1,1]",0.0882806,0.000776577,0.0777888,0.0565257,0.00962551,0.0646391,0.249702,9611.97,11324.4,1.82084,1.00013,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[1,2]",0.63417,0.00196433,0.291053,0.288238,0.221381,0.59939,1.16088,20088.6,12388.2,3.80547,1.0002,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[1,3]",6.89441,0.0222086,2.88312,2.83348,2.93039,6.50652,12.2029,20101.5,11889.6,3.80791,1.00018,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[2,1]",0.183303,0.00148154,0.143153,0.120442,0.0241174,0.142286,0.475877,8947.3,9521.97,1.69493,1.00046,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[2,2]",0.170145,0.000850982,0.120922,0.0926102,0.0404595,0.138591,0.411725,17163.0,12307.5,3.25126,0.99996,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[2,3]",7.70371,0.0311847,3.72919,3.76943,2.53421,7.22867,14.6041,18320.8,10800.8,3.47059,1.0005,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[3,1]",0.139749,0.00120985,0.117427,0.0823149,0.0200906,0.109206,0.367466,7241.46,7524.0,1.37178,1.00002,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[3,2]",0.0794732,0.000519371,0.0666621,0.0411161,0.0171294,0.0581656,0.215109,14420.4,12693.1,2.73172,1.00002,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[3,3]",7.7855,0.0373102,4.33363,4.61222,1.80267,7.29914,15.6941,15675.9,11345.7,2.96956,1.00056,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[4,1]",0.0450058,0.000477674,0.0379876,0.0287822,0.00596113,0.0351774,0.118353,5506.43,10167.4,1.04311,1.0006,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[4,2]",0.253033,0.000675258,0.108624,0.102904,0.106715,0.236571,0.455545,25843.8,12529.8,4.8957,1.0,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[4,3]",10.4062,0.0219809,3.23819,3.24809,5.55702,10.1542,16.1452,24751.8,11583.8,4.68884,1.00054,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[5,1]",0.10027,0.00112839,0.105437,0.0586274,0.0107461,0.0669756,0.307433,8997.12,11412.0,1.70437,1.00019,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[5,2]",0.465172,0.0042995,0.350955,0.378275,0.0313191,0.40896,1.1238,5143.34,6869.41,0.974326,1.00021,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[5,3]",2.3574,0.0521023,3.30426,0.855308,0.145278,1.0414,10.3932,7911.03,5528.65,1.49862,1.0007,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[6,1]",0.0892891,0.00069455,0.0702825,0.0557524,0.0124644,0.0713735,0.226265,8348.39,9636.65,1.58148,1.00016,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[6,2]",0.194666,0.000671438,0.0962176,0.0849853,0.0761652,0.175707,0.376471,19595.9,12723.2,3.71215,1.00005,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[6,3]",9.20599,0.0250347,3.34218,3.41987,4.36692,8.86473,15.1844,20581.2,11768.2,3.8988,1.00015,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[7,1]",0.0879299,0.000910078,0.0815547,0.055327,0.00964899,0.0637725,0.255391,6314.98,8683.46,1.19628,1.00005,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[7,2]",0.128088,0.000405908,0.0625391,0.0575454,0.0470831,0.117526,0.244884,23002.6,11434.4,4.3575,1.00023,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[7,3]",11.4172,0.0221459,3.44981,3.40065,6.11081,11.1833,17.4336,26566.8,12705.6,5.03268,1.00044,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[8,1]",0.100675,0.000922464,0.085264,0.061839,0.0141566,0.0775467,0.269429,5853.92,8529.04,1.10894,1.0003,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[8,2]",0.0829967,0.000405972,0.0565834,0.0414038,0.0235926,0.0678734,0.194749,17804.1,11330.5,3.37271,0.999991,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[8,3]",8.67767,0.0306893,3.9632,4.1327,2.97489,8.26949,15.8188,18571.8,12391.6,3.51814,1.00024,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[9,1]",0.131308,0.00123808,0.108463,0.0817622,0.0175321,0.102242,0.349832,5621.1,8753.62,1.06483,1.00029,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[9,2]",0.0525812,0.000275303,0.0382826,0.0262888,0.013931,0.0424416,0.125799,17920.1,11912.9,3.3947,0.999947,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[9,3]",9.20107,0.0319,4.28273,4.5206,2.78608,8.89804,16.8117,19535.2,12912.5,3.70065,1.00003,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[10,1]",0.358053,0.0034843,0.213283,0.258968,0.0545146,0.346115,0.721443,3984.68,6515.74,0.754836,1.00047,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[10,2]",0.220209,0.00267169,0.193715,0.158099,0.0241343,0.159842,0.606412,4503.84,9841.02,0.853183,1.00065,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[10,3]",5.58327,0.0468458,3.98132,3.65666,0.987833,4.56286,13.2893,9317.72,9893.22,1.7651,1.00053,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[11,1]",0.0566588,0.000232752,0.0269415,0.027085,0.0161243,0.0546074,0.103887,12408.7,9443.7,2.35064,1.00032,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[11,2]",2.26012,0.00430195,0.535481,0.506576,1.50289,2.19999,3.23883,14624.3,13224.4,2.77035,0.99994,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[11,3]",0.206329,0.00152483,0.154761,0.200849,0.00211754,0.196527,0.469685,9821.03,9646.49,1.86044,1.00006,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[12,1]",0.0702534,0.000786347,0.0670241,0.0425246,0.00889621,0.0514642,0.194262,6177.89,9470.19,1.17031,1.00046,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[12,2]",0.451476,0.00242176,0.217408,0.217068,0.0868189,0.446085,0.820478,7046.54,2775.25,1.33486,1.0002,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
"natural[12,3]",0.61362,0.0385568,1.76538,0.281062,0.00706644,0.255219,1.49294,8286.98,2954.72,1.56984,1.00081,N111_H5_base_full,111,4,4000,3000,0.99,0,0,0.6636517630579941,True
