parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-2.07564,0.00635091,0.373382,0.3623,-2.71074,-2.0632,-1.49111,3451.7,7537.16,0.169261,1.00128,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
mu[2],-1.35068,0.00169954,0.149122,0.148196,-1.6021,-1.34922,-1.10756,7756.43,10377.1,0.380353,1.00015,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
mu[3],2.36678,0.00332399,0.286507,0.282697,1.91478,2.35455,2.8569,7591.86,8957.08,0.372283,1.00024,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
mu[4],0.780243,0.00168625,0.163779,0.162835,0.519344,0.77513,1.05638,9479.36,11464.3,0.464841,1.00031,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
tau[1],1.58977,0.00329754,0.308711,0.301882,1.12282,1.56846,2.12558,8649.17,11369.1,0.424131,1.00039,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
tau[2],1.28074,0.00158726,0.116795,0.116155,1.10052,1.27565,1.4837,5418.82,8959.76,0.265724,1.00043,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
tau[3],1.97759,0.00281044,0.252643,0.251131,1.5909,1.9614,2.41222,8172.17,10964.4,0.40074,1.00051,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
tau[4],1.37918,0.00188218,0.176077,0.173416,1.11268,1.36651,1.68955,8894.89,11215.8,0.43618,1.00016,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[1,1]",0.140969,0.00191558,0.164427,0.086957,0.00697053,0.0791099,0.502412,7285.05,10490.6,0.357238,1.0002,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[1,2]",0.772023,0.00335788,0.400731,0.357925,0.261862,0.697048,1.53559,12789.4,10794.9,0.627155,1.0001,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[1,3]",2.05711,0.00621663,0.761482,0.709864,1.02859,1.95046,3.45189,17973.9,12046.1,0.88139,1.00011,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[1,4]",0.105158,0.0021404,0.240065,0.168652,-0.284455,0.121164,0.419756,14919.2,10905.4,0.731597,1.00006,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[2,1]",0.255769,0.00177058,0.201357,0.178302,0.026226,0.203818,0.671932,12899.5,11384.9,0.632556,1.00008,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[2,2]",0.160733,0.00104744,0.121715,0.0935805,0.0324164,0.129141,0.395589,10767.2,10692.6,0.527993,1.00021,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[2,3]",2.70293,0.0128066,1.39786,1.26856,0.973703,2.41201,5.38782,14128.6,11287.3,0.692825,1.00007,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[2,4]",0.686171,0.00820205,0.93625,0.753248,-0.504353,0.487167,2.51958,15448.0,11729.4,0.757527,1.00047,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[3,1]",0.307099,0.00240089,0.233479,0.218781,0.0340703,0.242452,0.782508,8792.25,11144.2,0.431147,0.99998,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
"natural[3,2]",0.0870632,0.000553492,0.069298,0.0430278,0.0223936,0.0676948,0.215208,13326.9,10968.9,0.653515,1.00022,N111_HPreference_base_full,111,4,4000,3000,0.99,0,0,0.6906473832556173,True
