model,variant,prediction_type,zero_option,mean_absolute_offer_cell_residual,n_cells
H5,base,conditional_history,positive_positive,0.05985242347134535,9
H5,base,conditional_history,zero,0.21065809509069824,9
H5,base,generative_history,positive_positive,0.059568026359692966,9
H5,base,generative_history,zero,0.21078078078078075,9
H5,zero,conditional_history,positive_positive,0.0710508702392117,9
H5,zero,conditional_history,zero,0.029819697083585,9
H5,zero,generative_history,positive_positive,0.07050599111015772,9
H5,zero,generative_history,zero,0.030032115448782076,9
H7,base,conditional_history,positive_positive,0.0819598912308106,9
H7,base,conditional_history,zero,0.17698550855598844,9
H7,base,generative_history,positive_positive,0.08266482256065588,9
H7,base,generative_history,zero,0.17646730063396723,9
H7,zero,conditional_history,positive_positive,0.0703038560204125,9
H7,zero,conditional_history,zero,0.015230659015201134,9
H7,zero,generative_history,positive_positive,0.07044168871252199,9
H7,zero,generative_history,zero,0.015173298298298301,9
H8,base,conditional_history,positive_positive,0.14508594211122372,9
H8,base,conditional_history,zero,0.1786919416968818,9
H8,base,generative_history,positive_positive,0.14921125291958617,9
H8,base,generative_history,zero,0.18107127961294622,9
H8,zero,conditional_history,positive_positive,0.12361539312524955,9
H8,zero,conditional_history,zero,0.10157327309587617,9
H8,zero,generative_history,positive_positive,0.12711608036608033,9
H8,zero,generative_history,zero,0.10344490323656982,9
HPreference,base,conditional_history,positive_positive,0.07712077217740354,9
HPreference,base,conditional_history,zero,0.1729755953000666,9
HPreference,base,generative_history,positive_positive,0.07758043758043752,9
HPreference,base,generative_history,zero,0.172291041041041,9
