parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-1.28929,0.00844157,0.431625,0.421087,-1.99254,-1.29294,-0.578528,2653.29,6139.05,2.11423,1.00108,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
mu[2],-1.12005,0.00283777,0.161488,0.157116,-1.40287,-1.11263,-0.867618,3267.91,6793.85,2.60398,1.00063,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
mu[3],-2.50369,0.00855609,0.508918,0.509302,-3.35033,-2.49195,-1.69219,3537.45,7892.32,2.81876,1.00038,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
mu[4],1.53847,0.00133153,0.123684,0.122276,1.33767,1.53732,1.74314,8691.42,10747.5,6.92562,1.00028,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
tau[1],2.3616,0.00423997,0.406373,0.401218,1.7468,2.33077,3.0772,9033.01,11510.3,7.1978,1.00052,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
tau[2],0.731521,0.00240958,0.138288,0.136507,0.518556,0.723302,0.973112,3266.42,6081.7,2.60279,1.00135,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
tau[3],1.65618,0.00435038,0.395113,0.389123,1.06235,1.62678,2.34687,8185.37,10171.8,6.52238,1.00037,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
tau[4],0.964902,0.00155705,0.122058,0.120881,0.772315,0.960884,1.17451,6152.17,10095.3,4.90225,1.00109,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
"natural[1,1]",0.327515,0.00307801,0.284711,0.276795,0.0106109,0.241959,0.904132,8983.77,10352.2,7.15857,0.999948,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
"natural[1,2]",0.259442,0.00122361,0.145993,0.129527,0.0789418,0.230772,0.53544,13695.9,11715.1,10.9134,1.00014,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
"natural[1,3]",0.140214,0.00168674,0.163447,0.0846381,0.00742016,0.0817703,0.497194,10432.0,10384.3,8.31258,1.00023,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
"natural[1,4]",1.4518,0.00394756,0.622765,0.602747,0.462555,1.43208,2.5147,25404.3,12987.5,20.243,1.00053,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
"natural[2,1]",0.290495,0.0027564,0.264565,0.22571,0.0103333,0.205547,0.873369,9418.34,9919.91,7.50485,1.00021,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
"natural[2,2]",0.296437,0.00145958,0.162662,0.145546,0.0939641,0.264374,0.604547,11724.6,12036.6,9.34255,1.00003,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
"natural[2,3]",0.112353,0.00156173,0.137953,0.0674018,0.00628094,0.0666507,0.385622,8774.9,10850.6,6.99213,1.0003,N111_H8_zero_train,111,4,4000,3000,0.99,0,0,0.7433306768506739,True
