model,partner,zero_option,mean_offer_residual,weighting
H5,computer,positive_positive,0.01176462176462171,equal_offer_cells_not_trial_weighted
H5,computer,zero,0.20653486820153485,equal_offer_cells_not_trial_weighted
H5,friend,positive_positive,-0.01656201439534762,equal_offer_cells_not_trial_weighted
H5,friend,zero,0.13296880213546877,equal_offer_cells_not_trial_weighted
H5,stranger,positive_positive,0.002735485485485504,equal_offer_cells_not_trial_weighted
H5,stranger,zero,0.2921855188521856,equal_offer_cells_not_trial_weighted
H7,computer,positive_positive,0.033509402259402264,equal_offer_cells_not_trial_weighted
H7,computer,zero,0.23193109776443108,equal_offer_cells_not_trial_weighted
H7,friend,positive_positive,-0.023491717908384484,equal_offer_cells_not_trial_weighted
H7,friend,zero,0.12662579245912575,equal_offer_cells_not_trial_weighted
H7,stranger,positive_positive,-0.10616785833452502,equal_offer_cells_not_trial_weighted
H7,stranger,zero,0.17374708041374712,equal_offer_cells_not_trial_weighted
H8,computer,positive_positive,-0.130120239286906,equal_offer_cells_not_trial_weighted
H8,computer,zero,0.056719219219219186,equal_offer_cells_not_trial_weighted
H8,friend,positive_positive,0.18306163306163314,equal_offer_cells_not_trial_weighted
H8,friend,zero,0.3350867534200867,equal_offer_cells_not_trial_weighted
H8,stranger,positive_positive,-0.1355965489298823,equal_offer_cells_not_trial_weighted
H8,stranger,zero,0.13573573573573575,equal_offer_cells_not_trial_weighted
HPreference,computer,positive_positive,0.014494017827351121,equal_offer_cells_not_trial_weighted
HPreference,computer,zero,0.20875041708375042,equal_offer_cells_not_trial_weighted
HPreference,friend,positive_positive,-0.026909123409123326,equal_offer_cells_not_trial_weighted
HPreference,friend,zero,0.12467801134467793,equal_offer_cells_not_trial_weighted
HPreference,stranger,positive_positive,-0.0970073049239716,equal_offer_cells_not_trial_weighted
HPreference,stranger,zero,0.18306723390056723,equal_offer_cells_not_trial_weighted
