parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
"natural[78,4]",0.817298,0.00305968,0.463598,0.458443,0.0646325,0.809634,1.59985,23173.2,14382.9,7.2155,1.00021,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[79,1]",0.362138,0.00244049,0.195238,0.15894,0.136975,0.308568,0.786204,7760.96,8428.43,2.41655,1.00028,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[79,2]",0.451547,0.00173316,0.186764,0.170044,0.191862,0.424756,0.796477,10571.7,10291.5,3.29175,1.00016,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[79,3]",0.0223449,0.000317638,0.0297502,0.0140707,0.000746848,0.0122585,0.0773595,7420.14,11177.5,2.31043,1.00023,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[79,4]",0.461623,0.0027378,0.411401,0.41344,-0.215147,0.45876,1.14314,22762.1,13215.7,7.0875,0.99993,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[80,1]",0.671607,0.00148224,0.171264,0.19657,0.398068,0.667491,0.955025,13969.4,10223.9,4.3497,1.00007,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[80,2]",1.33937,0.00225046,0.310306,0.300337,0.885114,1.30821,1.89666,18942.8,13192.3,5.89828,1.00047,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[80,3]",0.0107556,8.78709e-05,0.012205,0.00736313,0.000416804,0.00657345,0.0356548,18475.9,12296.0,5.75288,1.00016,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[80,4]",2.78459,0.0052418,0.734743,0.723348,1.6266,2.75708,4.03836,19780.3,12350.2,6.15905,1.00072,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[81,1]",0.0735772,0.000702406,0.0710565,0.05138,0.00430157,0.0559171,0.200605,8983.76,9051.26,2.7973,1.00034,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[81,2]",0.385928,0.00214376,0.221834,0.206001,0.11631,0.340224,0.813437,9039.92,11395.1,2.81478,1.0001,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[81,3]",0.145661,0.00237978,0.193045,0.0751596,0.00634253,0.0724545,0.624678,6582.89,8450.34,2.04973,1.00016,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
