model,prediction_type,participant_id,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_trials,observed_high,predicted_high,residual_high,observed_investment,predicted_investment,residual_investment
H8,conditional_history,sub-10317,partner,friend,all,all,all,all,all,14,1.0,0.5070658110209574,0.4929341889790426,6.0,3.6796131954943645,2.3203868045056355
H8,conditional_history,sub-10317,offer,friend,0-2,zero,all,all,all,2,1.0,0.5280927450532414,0.47190725494675856,2.0,1.0561854901064829,0.9438145098935171
H8,conditional_history,sub-10317,offer,friend,0-4,zero,all,all,all,2,1.0,0.5573163880832464,0.44268361191675365,4.0,2.2292655523329854,1.7707344476670146
H8,conditional_history,sub-10317,offer,friend,0-8,zero,all,all,all,2,1.0,0.3774900567288981,0.6225099432711019,8.0,3.019920453831185,4.980079546168815
H8,conditional_history,sub-10317,offer,friend,2-4,positive_positive,all,all,all,2,1.0,0.5177667019002715,0.4822332980997285,4.0,3.0355334038005424,0.9644665961994576
H8,conditional_history,sub-10317,offer,friend,2-8,positive_positive,all,all,all,4,1.0,0.5353020817162937,0.4646979182837063,8.0,5.211812490297762,2.7881875097022384
H8,conditional_history,sub-10317,offer,friend,4-8,positive_positive,all,all,all,2,1.0,0.49819062194845715,0.5018093780515429,8.0,5.992762487793829,2.0072375122061707
H8,conditional_history,sub-10317,zero_option,friend,all,positive_positive,all,all,all,8,1.0,0.521640371820329,0.47835962817967104,7.0,4.862980218047474,2.1370197819525263
H8,conditional_history,sub-10317,zero_option,friend,all,zero,all,all,all,6,1.0,0.487633063288462,0.512366936711538,4.666666666666667,2.1017904987568845,2.5648761679097825
H8,conditional_history,sub-10317,run,friend,all,all,single_run,all,all,14,1.0,0.5070658110209574,0.4929341889790426,6.0,3.6796131954943645,2.3203868045056355
H8,conditional_history,sub-10317,time_bin,friend,all,all,early,all,all,4,1.0,0.43438525245899656,0.5656147475410034,8.0,4.259511336594074,3.740488663405926
H8,conditional_history,sub-10317,time_bin,friend,all,all,late,all,all,5,1.0,0.5541939968540119,0.44580600314598806,5.2,3.626308754699282,1.5736912453007181
H8,conditional_history,sub-10317,time_bin,friend,all,all,middle,all,all,5,1.0,0.5180820720374717,0.4819179279625283,5.2,3.2689991234096785,1.9310008765903217
H8,conditional_history,sub-10317,previous_feedback,friend,all,all,all,defection,all,7,1.0,0.482374488086213,0.5176255119137869,6.857142857142857,3.935521200638767,2.92162165650409
