parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-2.60567,0.00749006,0.323907,0.319016,-3.16735,-2.58977,-2.102,1875.34,5488.32,0.0807122,1.00144,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
mu[2],-0.558757,0.00176805,0.139176,0.13995,-0.7938,-0.556002,-0.336776,6223.18,9431.44,0.267838,1.00004,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
mu[3],1.07937,0.00187149,0.134415,0.133283,0.874481,1.06965,1.31348,5138.08,8531.65,0.221137,1.00017,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
mu[4],0.32177,0.00100228,0.0769197,0.0755743,0.200005,0.318529,0.453562,5932.97,9049.11,0.255348,1.00034,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
mu[5],1.85621,0.00151967,0.149047,0.149375,1.61614,1.85483,2.10298,9691.96,11179.7,0.41713,0.999888,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
tau[1],1.56216,0.00254265,0.250199,0.245233,1.1819,1.54468,1.99938,9523.47,12058.9,0.409878,1.00073,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
tau[2],1.2387,0.0015372,0.110473,0.108167,1.07044,1.23201,1.43165,5149.57,9471.47,0.221631,1.00075,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
tau[3],0.954779,0.00194939,0.135015,0.13044,0.751356,0.943167,1.18964,4804.63,8802.53,0.206786,1.00067,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
tau[4],0.638201,0.00105408,0.0837505,0.0820836,0.511401,0.633011,0.78386,6265.98,10695.5,0.26968,1.00037,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
tau[5],1.35997,0.00143321,0.131762,0.129059,1.15577,1.35415,1.58879,8454.62,11780.0,0.363877,1.00016,N111_HPreference_zero_full,111,4,4000,3000,0.99,0,8,0.6422239970148225,False
