run,model,variant,participant_id,parameter,probability_positive,mean,median,ci_low,ci_high
N111_H5_base_full,H5,base,sub-10317,alpha,1.0,0.0882805569884622,0.064639145445,0.006270001090025,0.2979329171999999
N111_H5_base_full,H5,base,sub-10317,kappa,1.0,0.6341697255707544,0.5993895976,0.1798662753375,1.3018375140249998
N111_H5_base_full,H5,base,sub-10317,theta,1.0,6.894414636592876,6.506521944499999,2.456165368575,13.60976717675
N111_H5_base_full,H5,base,sub-10369,alpha,1.0,0.1833031794648896,0.1422855568,0.01527167413625,0.5422589033024998
N111_H5_base_full,H5,base,sub-10369,kappa,1.0,0.1701454750749123,0.1385907414,0.03084296101225,0.4837103064899997
N111_H5_base_full,H5,base,sub-10369,theta,1.0,7.703710150319145,7.228665643999999,2.0258661053,16.010253801499996
N111_H5_base_full,H5,base,sub-10402,alpha,1.0,0.1397493111331689,0.109206411,0.01314118437575,0.4635131502574999
N111_H5_base_full,H5,base,sub-10402,kappa,1.0,0.0794732141774377,0.05816563646,0.012952605067,0.2663909346924999
N111_H5_base_full,H5,base,sub-10402,theta,1.0,7.78550015407693,7.299144506499999,1.33174372315,17.27356398625
N111_H5_base_full,H5,base,sub-10418,alpha,1.0,0.0450057989778542,0.035177414925,0.003804612039925,0.14590237021
N111_H5_base_full,H5,base,sub-10418,kappa,1.0,0.2530327098755181,0.23657136395,0.09061777519325,0.5058296395624999
N111_H5_base_full,H5,base,sub-10418,theta,1.0,10.406175746026998,10.15416624,4.8664942378500005,17.472957562499996
N111_H5_base_full,H5,base,sub-10462,alpha,1.0,0.1002703753510736,0.066975562235,0.007028010151,0.4021237098299998
N111_H5_base_full,H5,base,sub-10462,kappa,1.0,0.4651722835417732,0.4089597223,0.02000233708325,1.2733645865
N111_H5_base_full,H5,base,sub-10462,theta,1.0,2.357397093404753,1.041398816,0.051081042155,12.72109432325
N111_H5_base_full,H5,base,sub-10478,alpha,1.0,0.0892891159178608,0.0713735447749999,0.00792387717035,0.26863320963
N111_H5_base_full,H5,base,sub-10478,kappa,1.0,0.1946658494273069,0.1757067448499999,0.0652682242707499,0.4309885109399998
N111_H5_base_full,H5,base,sub-10478,theta,1.0,9.205989270572374,8.864725268499999,3.813084186375,16.547474291249998
N111_H5_base_full,H5,base,sub-10486,alpha,1.0,0.0879299083779827,0.06377249813,0.00622231511915,0.3183028494524998
N111_H5_base_full,H5,base,sub-10486,kappa,1.0,0.1280876075911706,0.11752583355,0.038829771926,0.27575730406
