model,prediction_type,participant_id,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_trials,observed_high,predicted_high,residual_high,observed_investment,predicted_investment,residual_investment
H5,conditional_history,sub-10317,partner,friend,all,all,all,all,all,14,1.0,0.9390124604271309,0.060987539572869065,6.0,5.806025445819057,0.19397455418094278
H5,conditional_history,sub-10317,offer,friend,0-2,zero,all,all,all,2,1.0,0.8759588956309782,0.12404110436902183,2.0,1.7519177912619563,0.24808220873804365
H5,conditional_history,sub-10317,offer,friend,0-4,zero,all,all,all,2,1.0,0.9633763751911915,0.03662362480880854,4.0,3.853505500764766,0.14649449923523417
H5,conditional_history,sub-10317,offer,friend,0-8,zero,all,all,all,2,1.0,0.9846820618939671,0.01531793810603288,8.0,7.877456495151737,0.12254350484826304
H5,conditional_history,sub-10317,offer,friend,2-4,positive_positive,all,all,all,2,1.0,0.8538700181976671,0.14612998180233294,4.0,3.7077400363953346,0.29225996360466544
H5,conditional_history,sub-10317,offer,friend,2-8,positive_positive,all,all,all,4,1.0,0.9676897022137889,0.032310297786211084,8.0,7.8061382132827335,0.1938617867172665
H5,conditional_history,sub-10317,offer,friend,4-8,positive_positive,all,all,all,2,1.0,0.9598204676485345,0.04017953235146554,8.0,7.839281870594139,0.16071812940586128
H5,conditional_history,sub-10317,zero_option,friend,all,positive_positive,all,all,all,8,1.0,0.9372674725684448,0.06273252743155522,7.0,6.789824583388736,0.21017541661126415
H5,conditional_history,sub-10317,zero_option,friend,all,zero,all,all,all,6,1.0,0.9413391109053789,0.05866088909462108,4.666666666666667,4.494293262392819,0.17237340427384762
H5,conditional_history,sub-10317,run,friend,all,all,single_run,all,all,14,1.0,0.9390124604271309,0.060987539572869065,6.0,5.806025445819057,0.19397455418094278
H5,conditional_history,sub-10317,time_bin,friend,all,all,early,all,all,4,1.0,0.9792659957210083,0.020734004278991747,8.0,7.877531865514225,0.12246813448577498
H5,conditional_history,sub-10317,time_bin,friend,all,all,late,all,all,5,1.0,0.9447052678363701,0.0552947321636299,5.2,5.048856436633194,0.1511435633668059
H5,conditional_history,sub-10317,time_bin,friend,all,all,middle,all,all,5,1.0,0.9011168247827896,0.09888317521721035,5.2,4.905989319248786,0.2940106807512146
H5,conditional_history,sub-10317,previous_feedback,friend,all,all,all,defection,all,7,1.0,0.9430787684513401,0.05692123154865991,6.857142857142857,6.637902743267443,0.2192401138754141
H5,conditional_history,sub-10317,previous_feedback,friend,all,all,all,no_previous,all,1,1.0,0.9654923414115854,0.03450765858841465,8.0,7.861969365646342,0.13803063435365814
H5,conditional_history,sub-10317,previous_feedback,friend,all,all,all,reciprocation,all,6,1.0,0.9298551209014778,0.07014487909852218,4.666666666666667,4.492844612158061,0.173822054508606
H5,conditional_history,sub-10317,partner,stranger,all,all,all,all,all,14,0.35714285714285715,0.35723769729683086,-9.48401539737076e-05,3.0,2.9591387198331836,0.04086128016681645
H5,conditional_history,sub-10317,offer,stranger,0-2,zero,all,all,all,2,0.5,0.45066724428089733,0.04933275571910267,1.0,0.9013344885617947,0.09866551143820534
H5,conditional_history,sub-10317,offer,stranger,0-4,zero,all,all,all,2,1.0,0.35155415247735505,0.6484458475226449,4.0,1.4062166099094202,2.5937833900905796
