model,zero,gamma_location,max_scaled_gradient_error,max_absolute_gradient_error,python_likelihood_error,passed
H5,False,0.0,5.007921423187649e-16,1.7763568394002505e-15,2.842170943040401e-14,True
H5,True,-2.0,1.074983326724423e-15,1.0658141036401503e-14,0.0,True
H5,True,0.0,6.980568244926818e-16,1.0658141036401503e-14,5.684341886080802e-14,True
H5,True,2.0,5.142125923033183e-16,2.6645352591003757e-15,5.684341886080802e-14,True
H7,False,0.0,9.369449695295798e-16,1.0658141036401503e-14,0.0,True
H7,True,-2.0,1.0110949266097158e-15,3.1086244689504383e-15,5.684341886080802e-14,True
H7,True,0.0,6.093139793944688e-16,1.4210854715202004e-14,2.842170943040401e-14,True
H7,True,2.0,9.102651117450917e-16,3.552713678800501e-15,5.684341886080802e-14,True
HPreference,False,0.0,8.17439124462187e-16,7.105427357601002e-15,2.842170943040401e-14,True
HPreference,True,-2.0,9.076639323320461e-16,1.4210854715202004e-14,5.684341886080802e-14,True
HPreference,True,0.0,9.590281233086253e-16,2.1316282072803006e-14,2.842170943040401e-14,True
HPreference,True,2.0,1.123700138000406e-15,1.1368683772161603e-13,2.842170943040401e-14,True
H8,False,0.0,7.041459370125561e-16,7.105427357601002e-15,5.684341886080802e-14,True
H8,True,-2.0,6.79315378230442e-16,1.4210854715202004e-14,0.0,True
H8,True,0.0,1.0266044978220692e-15,1.4210854715202004e-14,0.0,True
H8,True,2.0,8.133486198328844e-16,1.9984014443252818e-15,0.0,True
