run,model,variant,participant_id,parameter,probability_positive,mean,median,ci_low,ci_high
N111_H8_base_full,H8,base,sub-10317,alpha,1.0,0.3399494187815217,0.25346212614999997,0.005551173004075001,0.9650365038475
N111_H8_base_full,H8,base,sub-10317,kappa,1.0,0.1816539566260355,0.15635263905000002,0.03638681219875,0.465693057175
N111_H8_base_full,H8,base,sub-10317,alpha_negative,1.0,0.16777340814539826,0.081022542715,0.001474857832925,0.8297853916175
N111_H8_base_full,H8,base,sub-10369,alpha,1.0,0.467575851735838,0.43104633665000003,0.019260615638750003,0.97708961871
N111_H8_base_full,H8,base,sub-10369,kappa,1.0,0.2081519970546036,0.18740425589999998,0.04215917589525,0.49671239832249997
N111_H8_base_full,H8,base,sub-10369,alpha_negative,1.0,0.08290006895933973,0.03026426702,0.0006352706500350001,0.572219605185
N111_H8_base_full,H8,base,sub-10402,alpha,1.0,0.4920009970330562,0.45767078675,0.1035414980525,0.9700721008675001
N111_H8_base_full,H8,base,sub-10402,kappa,1.0,0.2605125961482906,0.2385651735,0.06945482961025,0.5887876531525
N111_H8_base_full,H8,base,sub-10402,alpha_negative,1.0,0.05408473100328176,0.034282224835,0.000757053986395,0.20827300594499998
N111_H8_base_full,H8,base,sub-10418,alpha,1.0,0.6834948535989067,0.76768107565,0.083566939518,0.9928769345925
N111_H8_base_full,H8,base,sub-10418,kappa,1.0,0.1820522476938573,0.1760205213,0.04609544457175,0.354190731055
N111_H8_base_full,H8,base,sub-10418,alpha_negative,1.0,0.030219156351924594,0.01193642859,0.0002798482429525,0.1605347017724998
N111_H8_base_full,H8,base,sub-10462,alpha,1.0,0.09973437350488044,0.05035587621,0.001311793382575,0.5660592678749999
N111_H8_base_full,H8,base,sub-10462,kappa,1.0,0.22209101586189525,0.19271594295,0.05211969914475,0.5764363741024996
N111_H8_base_full,H8,base,sub-10462,alpha_negative,1.0,0.36512711713446583,0.29193181469999996,0.0054582173491,0.9534270204924999
N111_H8_base_full,H8,base,sub-10478,alpha,1.0,0.6065111160446619,0.6145762534,0.1637823757475,0.9893360774875
N111_H8_base_full,H8,base,sub-10478,kappa,1.0,0.34411610703407564,0.3312003811,0.14058728691500003,0.6300495441424996
N111_H8_base_full,H8,base,sub-10478,alpha_negative,1.0,0.019145047475543103,0.010752915575,0.00029607353918,0.08730104132524999
N111_H8_base_full,H8,base,sub-10486,alpha,1.0,0.893588988051325,0.92420546745,0.63000885906,0.9977810888324999
N111_H8_base_full,H8,base,sub-10486,kappa,1.0,1.0025073325032938,0.9790993971999999,0.517286452555,1.6132046043
N111_H8_base_full,H8,base,sub-10486,alpha_negative,1.0,0.005064148592825835,0.0022665367495,4.7400033244e-05,0.02705494504074998
N111_H8_base_full,H8,base,sub-10529,alpha,1.0,0.5337792286800102,0.5053842966,0.1391597560575,0.9807366734449999
N111_H8_base_full,H8,base,sub-10529,kappa,1.0,0.32278755849890906,0.30679320229999996,0.109537038115,0.6269636913575
N111_H8_base_full,H8,base,sub-10529,alpha_negative,1.0,0.025504868506811676,0.01386094727,0.0003955645891,0.11334256584999995
N111_H8_base_full,H8,base,sub-10541,alpha,1.0,0.6240806807973308,0.6368583704499999,0.1805990404975,0.9869613961275
N111_H8_base_full,H8,base,sub-10541,kappa,1.0,0.34149996152586437,0.32798457195,0.1321550126325,0.6386735968425
N111_H8_base_full,H8,base,sub-10541,alpha_negative,1.0,0.03150041583377462,0.01863056595,0.0003646505355875,0.13000058946499995
N111_H8_base_full,H8,base,sub-10555,alpha,1.0,0.7168103105521132,0.7347421958,0.3348577153975,0.9813492731625
N111_H8_base_full,H8,base,sub-10555,kappa,1.0,0.8298447675494406,0.7669191375,0.223866150635,1.7956177731499996
N111_H8_base_full,H8,base,sub-10555,alpha_negative,1.0,0.1609414518275421,0.1687857424,0.001497589301125,0.3575448203175
N111_H8_base_full,H8,base,sub-10559,alpha,1.0,0.05395756087989402,0.04318679774,0.0016969632041750002,0.15864633981249998
N111_H8_base_full,H8,base,sub-10559,kappa,1.0,0.8660662328149062,0.82340613195,0.463928391005,1.4979735825749998
N111_H8_base_full,H8,base,sub-10559,alpha_negative,1.0,0.36789596943696184,0.33081688470000004,0.08476928332775,0.836184949805
