model,prediction_type,partner,evaluation_period,n_paired_participants,zero_residual_high,positive_positive_residual_high,zero_minus_positive_residual,ci_low,ci_high,interval_type,bootstrap_replicates
H7,generative_history,stranger,training,111,0.17327702702702702,-0.10969878807378805,0.2829758151008151,0.22780955799549546,0.33610479676104665,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,computer,all,111,0.040929464246446785,-0.15222070364499035,0.19315016789143716,0.1426617001315036,0.24435227058720943,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,computer,heldout,110,0.04344620162009635,-0.15780720975207246,0.20125341137216884,0.13590107900864334,0.26582831904053533,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,computer,training,111,0.04767955477808118,-0.13977386641205708,0.18745342119013825,0.1335122274636557,0.24475928804525762,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,friend,all,111,0.3247435677200674,0.1516344978957634,0.17310906982430402,0.1332823038781304,0.2123154417156564,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,friend,heldout,109,0.27451344850188,0.09916279966642931,0.1753506488354507,0.12313764700529013,0.2321540855275954,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,friend,training,111,0.37501961912470455,0.20248549866045612,0.17253412046424849,0.13189252164229964,0.21467677983290756,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,stranger,all,111,0.12610546310131426,-0.15442121523883848,0.28052667834015277,0.22994958050481124,0.3317734393421426,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,stranger,heldout,111,0.10165452700978252,-0.19932850827640822,0.3009830352861907,0.24218583527186205,0.3633625396925922,paired_participant_bootstrap_95_percent,5000
H8,conditional_history,stranger,training,111,0.14815827644546903,-0.1261616935702445,0.27431997001571357,0.21765841725516924,0.3293878843969,paired_participant_bootstrap_95_percent,5000
H8,generative_history,computer,all,111,0.042340874965874964,-0.15128476175351174,0.1936256367193867,0.14491719624453997,0.2440952541624416,paired_participant_bootstrap_95_percent,5000
H8,generative_history,computer,heldout,110,0.04259393939393938,-0.15739036796536796,0.19998430735930736,0.13615504261363634,0.26550062364718613,paired_participant_bootstrap_95_percent,5000
H8,generative_history,computer,training,111,0.05133370870870869,-0.13848645967395973,0.18982016838266833,0.13647732665701412,0.24689190529815525,paired_participant_bootstrap_95_percent,5000
H8,generative_history,friend,all,111,0.3284766389766389,0.16624819015444012,0.16222844882219886,0.1217892534173784,0.20285212315602935,paired_participant_bootstrap_95_percent,5000
H8,generative_history,friend,heldout,109,0.2750370795107034,0.10178404871122758,0.1732530307994757,0.11965556056138052,0.22926435602337264,paired_participant_bootstrap_95_percent,5000
H8,generative_history,friend,training,111,0.38098123123123123,0.2284912323037323,0.15248999892749893,0.10920858738202485,0.19586833842771334,paired_participant_bootstrap_95_percent,5000
H8,generative_history,stranger,all,111,0.12604038129038128,-0.15267320161070164,0.2787135829010829,0.22930495385807884,0.3306680442617942,paired_participant_bootstrap_95_percent,5000
H8,generative_history,stranger,heldout,111,0.10042792792792792,-0.1986382185757186,0.29906614650364655,0.23663621165808668,0.36087812365937366,paired_participant_bootstrap_95_percent,5000
H8,generative_history,stranger,training,111,0.1489504504504505,-0.12372871085371087,0.2726791613041613,0.21616392709673957,0.3285754430770056,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,computer,all,111,0.21134397899697782,0.018268050129285198,0.19307592886769262,0.1437068979992595,0.24219301279811084,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,computer,heldout,110,0.2357399720146391,0.03680556400068141,0.1989344080139576,0.13541047866371417,0.2639527651911613,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,computer,training,111,0.19816825486903336,0.008093416905395317,0.19007483796363808,0.13464496496767003,0.24405810962874908,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,friend,all,111,0.09356507134494096,-0.07672535811088538,0.1702904294558263,0.1313431667229777,0.2108369575206705,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,friend,heldout,109,0.06707710004832586,-0.11417716045363172,0.18125426050195756,0.12754819738584158,0.23631794380255577,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,friend,training,111,0.12355935458919404,-0.04011858530809415,0.16367793989728815,0.12264556252650159,0.2053876677100356,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,stranger,all,111,0.17500557681574735,-0.10664840381224747,0.28165398062799485,0.23369212837600328,0.3325092109964878,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,stranger,heldout,111,0.16554427186063897,-0.12852815714634172,0.29407242900698066,0.23407899612118646,0.3555831163648841,paired_participant_bootstrap_95_percent,5000
HPreference,conditional_history,stranger,training,111,0.1837383075476216,-0.09910953663326734,0.28284784418088904,0.2279149634561689,0.338732470985536,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,computer,all,111,0.21042516867516864,0.01766961054461055,0.1927555581305581,0.14466746020574148,0.24112763703310572,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,computer,heldout,110,0.2350219696969697,0.03719821428571427,0.19782375541125544,0.13144560267857144,0.2621110240800866,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,computer,training,111,0.19650412912912912,0.006125938438438448,0.1903781906906907,0.13649859837516087,0.24431643607893608,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,friend,all,111,0.0928021008021008,-0.07739198573573575,0.17019408653783652,0.13211501792986166,0.20968704364876237,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,friend,heldout,109,0.0677813455657492,-0.11371961009174311,0.18150095565749233,0.12654471589667973,0.2358739153287461,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,friend,training,111,0.12160810810810807,-0.04167857142857143,0.16328667953667955,0.12349102718790218,0.20452451000107244,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,stranger,all,111,0.1764235485485485,-0.10639812824187828,0.28282167679042675,0.23322407385063632,0.33520229155697906,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,stranger,heldout,111,0.1675499249249249,-0.1267681788931789,0.2943181038181038,0.23499765189296437,0.3519962683665807,paired_participant_bootstrap_95_percent,5000
HPreference,generative_history,stranger,training,111,0.18446321321321318,-0.10002772415272414,0.28449093736593734,0.2308057814510939,0.3394051051051049,paired_participant_bootstrap_95_percent,5000
