model,prediction_type,partner,evaluation_period,n_paired_participants,zero_residual_high,positive_positive_residual_high,zero_minus_positive_residual,ci_low,ci_high,interval_type,bootstrap_replicates
H2,conditional_history,computer,all,111,0.11815993603558145,-0.07370301634656959,0.191862952382151,0.1424480171038045,0.24021893246706652,paired_participant_bootstrap_95_percent,5000
H2,conditional_history,computer,heldout,110,0.14260308744391254,-0.05484912004600439,0.197452207489917,0.13244305133865764,0.26199402598071386,paired_participant_bootstrap_95_percent,5000
H2,conditional_history,computer,training,111,0.10664234944436722,-0.08310142962263822,0.18974377906700543,0.1345222678909739,0.24341250271251513,paired_participant_bootstrap_95_percent,5000
H2,conditional_history,friend,all,111,0.4001740981835552,0.23436578142536377,0.1658083167581915,0.12678895034198906,0.2072466306770113,paired_participant_bootstrap_95_percent,5000
H2,conditional_history,friend,heldout,109,0.3767857936751926,0.20123325481791673,0.17555253885727592,0.12260052470019368,0.23055711894510084,paired_participant_bootstrap_95_percent,5000
H2,conditional_history,friend,training,111,0.42768735924849477,0.2690117692619912,0.15867558998650355,0.11766719819217228,0.20185967514316022,paired_participant_bootstrap_95_percent,5000
H2,conditional_history,stranger,all,111,0.20842046966691563,-0.07677099119223128,0.28519146085914693,0.23455712046344834,0.3348642295628261,paired_participant_bootstrap_95_percent,5000
H2,conditional_history,stranger,heldout,111,0.20057265391784057,-0.09721005827104913,0.29778271218888985,0.2387312459678645,0.3586666737378531,paired_participant_bootstrap_95_percent,5000
H2,conditional_history,stranger,training,111,0.2160610435223581,-0.07018530516181933,0.2862463486841774,0.23067762690103116,0.34177022392288153,paired_participant_bootstrap_95_percent,5000
H2,generative_history,computer,all,111,0.12023542861042859,-0.0743138805013805,0.19454930911180915,0.1442392287392287,0.2468208068559631,paired_participant_bootstrap_95_percent,5000
H2,generative_history,computer,heldout,110,0.14785227272727272,-0.05533014069264071,0.20318241341991344,0.1385207602813853,0.26714301406926405,paired_participant_bootstrap_95_percent,5000
H2,generative_history,computer,training,111,0.10634346846846846,-0.08360730373230374,0.1899507722007722,0.1347368216430716,0.24402436655405402,paired_participant_bootstrap_95_percent,5000
H2,generative_history,friend,all,111,0.4004967849342849,0.23425620709995712,0.1662405778343278,0.1263624611523049,0.20682026915308163,paired_participant_bootstrap_95_percent,5000
H2,generative_history,friend,heldout,109,0.3769854740061162,0.19923555591961556,0.17774991808650065,0.12378286710899955,0.2351223384938838,paired_participant_bootstrap_95_percent,5000
H2,generative_history,friend,training,111,0.4275063813813814,0.2704505040755041,0.15705587730587733,0.11433769439081935,0.1993909856284856,paired_participant_bootstrap_95_percent,5000
H2,generative_history,stranger,all,111,0.20719335244335246,-0.07685981070356071,0.28405316314691315,0.23292639997952497,0.3342780588522775,paired_participant_bootstrap_95_percent,5000
H2,generative_history,stranger,heldout,111,0.19984496996997,-0.09669192406692406,0.29653689403689404,0.23545498914092666,0.35874699364543117,paired_participant_bootstrap_95_percent,5000
H2,generative_history,stranger,training,111,0.21439714714714717,-0.07075820463320463,0.2851553517803518,0.2300751863470613,0.34159239596739593,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,computer,all,111,0.20241759150032107,0.009749814085116557,0.19266777741520455,0.14275390164974636,0.24326555609068481,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,computer,heldout,110,0.2292632639210229,0.03043932373723249,0.1988239401837904,0.13599509358228382,0.2621618770294282,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,computer,training,111,0.18872929400107116,-0.0014012164075122172,0.19013051040858342,0.1377342100890934,0.2460168699879363,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,friend,all,111,0.1008874885517448,-0.06621380209345085,0.16710129064519563,0.12787772581150655,0.20638639723342123,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,friend,heldout,109,0.07185436502444863,-0.10580681760548491,0.17766118262993352,0.12400161876208829,0.23170796621714837,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,friend,training,111,0.13428507000957043,-0.02722224272325209,0.16150731273282248,0.12130445311060427,0.20387132336695096,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,stranger,all,111,0.2859418982463135,0.004453236312592227,0.2814886619337213,0.2322581028504363,0.33195254347216,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,stranger,heldout,111,0.27476400817315294,-0.019224339423421156,0.29398834759657405,0.23240931737013767,0.35366846670260027,paired_participant_bootstrap_95_percent,5000
H5,conditional_history,stranger,training,111,0.2968501586813855,0.01414034636434169,0.2827098123170437,0.22850854201108428,0.3371357803181103,paired_participant_bootstrap_95_percent,5000
H5,generative_history,computer,all,111,0.20189151651651654,0.009276677089177093,0.19261483942733945,0.14270486649158523,0.24147251304048176,paired_participant_bootstrap_95_percent,5000
H5,generative_history,computer,heldout,110,0.22856060606060605,0.030209226190476186,0.19835137987012988,0.13375140963203466,0.2621642376893939,paired_participant_bootstrap_95_percent,5000
H5,generative_history,computer,training,111,0.1872954204204204,-0.0028891033891033733,0.19018452380952378,0.13401466578185325,0.2464309128324753,paired_participant_bootstrap_95_percent,5000
H5,generative_history,friend,all,111,0.10099698805948802,-0.066718320999571,0.16771530905905901,0.12957297300344173,0.20744623675014295,paired_participant_bootstrap_95_percent,5000
H5,generative_history,friend,heldout,109,0.07244610091743116,-0.10355641109654869,0.17600251201397987,0.12160815926714723,0.2302680086828309,paired_participant_bootstrap_95_percent,5000
H5,generative_history,friend,training,111,0.1339748498498498,-0.029138513513513528,0.16311336336336335,0.12189399466430716,0.20457931882775632,paired_participant_bootstrap_95_percent,5000
H5,generative_history,stranger,all,111,0.2863634828009828,0.005215227808977824,0.281148254992005,0.23030670419811047,0.3326964015151515,paired_participant_bootstrap_95_percent,5000
H5,generative_history,stranger,heldout,111,0.27498648648648644,-0.017431440368940374,0.2924179268554268,0.23322410178035174,0.35225409360253107,paired_participant_bootstrap_95_percent,5000
H5,generative_history,stranger,training,111,0.29749774774774773,0.014412028099528105,0.2830857196482196,0.22859258767696267,0.3387293630684256,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,computer,all,111,0.23710871830537023,0.04466099004793947,0.19244772825743078,0.14177409998760376,0.24151155148026182,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,computer,heldout,110,0.26326248992709045,0.06447340877001884,0.1987890811570715,0.13262972236278756,0.26419455263758734,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,computer,training,111,0.2233072727527876,0.03386825759610872,0.18943901515667885,0.13450519364443725,0.24427996881366162,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,friend,all,111,0.09007475720644981,-0.0765796837875066,0.1666544409939564,0.12903434242278886,0.20756031343040948,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,friend,heldout,109,0.05929319283876475,-0.11890710586811917,0.17820029870688395,0.126506889378814,0.23284872280669663,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,friend,training,111,0.1240162004202954,-0.036419361738246635,0.16043556215854207,0.12041267373466714,0.20268656729055956,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,stranger,all,111,0.16124130634175662,-0.11910228500913948,0.28034359135089615,0.22885808624554244,0.33124959719982594,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,stranger,heldout,111,0.1483094334439264,-0.14370370765035306,0.29201314109427945,0.23067978990408233,0.35071745465362547,paired_participant_bootstrap_95_percent,5000
H7,conditional_history,stranger,training,111,0.17333293501018057,-0.10877081351361059,0.2821037485237911,0.2291282105094945,0.33716178352724163,paired_participant_bootstrap_95_percent,5000
H7,generative_history,computer,all,111,0.2371510617760618,0.045062033874533905,0.19208902790152788,0.14311392158189032,0.24332514966030586,paired_participant_bootstrap_95_percent,5000
H7,generative_history,computer,heldout,110,0.2635977272727273,0.06413552489177489,0.1994622023809524,0.1352064989177489,0.2663393066829004,paired_participant_bootstrap_95_percent,5000
H7,generative_history,computer,training,111,0.22262349849849852,0.03423991848991851,0.18838358000858,0.13455809336121832,0.2463599387333762,paired_participant_bootstrap_95_percent,5000
H7,generative_history,friend,all,111,0.09005523624273619,-0.0769256890819391,0.1669809253246753,0.12866147422788046,0.20746637734528348,paired_participant_bootstrap_95_percent,5000
H7,generative_history,friend,heldout,109,0.06176108562691129,-0.11757658912188727,0.17933767474879858,0.12286212251529051,0.2325160140891218,paired_participant_bootstrap_95_percent,5000
H7,generative_history,friend,training,111,0.1224962462462462,-0.037859314671814685,0.16035556091806089,0.11987677767052764,0.2016634230212355,paired_participant_bootstrap_95_percent,5000
H7,generative_history,stranger,all,111,0.1612782043407043,-0.11812666481416478,0.2794048691548691,0.22956293887231385,0.3287910059308496,paired_participant_bootstrap_95_percent,5000
H7,generative_history,stranger,heldout,111,0.148475975975976,-0.1397908622908623,0.2882668382668383,0.2273687365937366,0.34803581148112395,paired_participant_bootstrap_95_percent,5000
