run,model,variant,prediction_type,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_subjects,n_trials,observed_high,predicted_high,residual_high,ci_low,ci_high,observed_investment,predicted_investment,residual_investment,investment_ci_low,investment_ci_high,interval_type
N111_H7_zero_full,H7,zero,conditional_history,partner,friend,all,all,all,all,all,111,2745,0.7787168939641232,0.7622487940080981,0.016468099956025162,0.7501702775642513,0.7750058988906905,4.963929540869012,4.9508734497764335,0.013056091092578548,4.891234334782809,5.01382053158396,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,friend,0-2,zero,all,all,all,111,390,0.8821321321321322,0.8635578537214806,0.018574278410651512,0.8489485496383642,0.8764769515893434,1.7642642642642643,1.7271157074429613,0.037148556821303025,1.6978970992767284,1.7529539031786867,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,friend,0-4,zero,all,all,all,111,395,0.8746246246246245,0.8743051505791379,0.00031947404548660074,0.8601257493301397,0.8859101096458069,3.498498498498498,3.4972206023165517,0.001277896181946403,3.440502997320559,3.5436404385832274,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,friend,0-8,zero,all,all,all,111,386,0.8603603603603603,0.8643509185519795,-0.003990558191619198,0.8469946827546694,0.8793960011241091,6.882882882882883,6.914807348415836,-0.03192446553295358,6.775957462037355,7.035168008992873,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,friend,2-4,positive_positive,all,all,all,111,389,0.7897897897897898,0.6370072957381653,0.15278249405162447,0.6232446534492234,0.6511891858241438,3.5795795795795797,3.274014591476331,0.30556498810324895,3.246489306898449,3.3023783716482873,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,friend,2-8,positive_positive,all,all,all,111,788,0.7037859287859287,0.7085870035286493,-0.0048010747427206235,0.6889112952880728,0.7270094129501188,6.222715572715573,6.251522021171895,-0.028806448456322187,6.133467771728435,6.362056477700713,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,friend,4-8,positive_positive,all,all,all,111,397,0.6373873873873874,0.6818434272030552,-0.044456039815667814,0.6656195401184838,0.6972248494664524,6.54954954954955,6.7273737088122205,-0.1778241592626708,6.6624781604739365,6.788899397865808,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,zero_option,friend,all,positive_positive,all,all,all,111,1574,0.7076362076362074,0.6841399728803392,0.02349623475586815,0.6666678524910008,0.7003134793560731,5.6486271986271985,5.6344353132726,0.01419188535459881,5.551961913653605,5.712424026490633,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,zero_option,friend,all,zero,all,all,all,111,1171,0.8755115505115504,0.8678905909647926,0.007620959546757788,0.8545571861818242,0.8795090823046238,4.044227344227349,4.0307550932244585,0.013472251002890623,3.961652182636138,4.089407467022691,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,partner,stranger,all,all,all,all,all,111,2752,0.5190448454674238,0.5276282324593673,-0.008583386991943498,0.5161793210899535,0.5405868394396142,3.712182180252357,3.764055516847163,-0.05187333659480631,3.704877104912781,3.828581178111074,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,stranger,0-2,zero,all,all,all,111,394,0.7575075075075075,0.7554571905269009,0.002050316980606648,0.738480924670883,0.7716580846194231,1.515015015015015,1.5109143810538017,0.004100633961213296,1.476961849341766,1.5433161692388462,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,stranger,0-4,zero,all,all,all,111,388,0.7064564564564565,0.6933189448963568,0.01313751156009968,0.6775540174524673,0.7111758991163302,2.825825825825826,2.7732757795854273,0.05255004624039872,2.7102160698098694,2.8447035964653207,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,stranger,0-8,zero,all,all,all,111,388,0.5893393393393394,0.5964189956726834,-0.007079656333344064,0.5777002380091235,0.6157318844185808,4.714714714714715,4.771351965381467,-0.056637250666752514,4.621601904072988,4.925855075348647,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,stranger,2-4,positive_positive,all,all,all,111,398,0.47822822822822825,0.44420220803422233,0.03402602019400591,0.4336433150570555,0.4547367987922367,2.956456456456457,2.888404416068445,0.06805204038801183,2.8672866301141116,2.909473597584473,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,stranger,2-8,positive_positive,all,all,all,111,791,0.392996567996568,0.3987263035940659,-0.005729735597497898,0.38047650932846083,0.4155812092586099,4.357979407979408,4.392357821564396,-0.03437841358498783,4.282859055970764,4.493487255551659,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,stranger,4-8,positive_positive,all,all,all,111,393,0.3288288288288289,0.4136191408360507,-0.08479031200722181,0.39755138311301164,0.4284481282400334,5.315315315315316,5.654476563344203,-0.33916124802888703,5.590205532452046,5.713792512960136,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,zero_option,stranger,all,positive_positive,all,all,all,111,1582,0.3976950976950978,0.41368571339268073,-0.01599061569758292,0.39814242243244014,0.42822816313101564,4.241932841932842,4.326515553919279,-0.08458271198643708,4.249956785379946,4.39594687229028,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,zero_option,stranger,all,zero,all,all,all,111,1170,0.685289835289835,0.6825205236639524,0.0027693116258825645,0.667553023936671,0.6991631242723837,3.0025753025753033,3.001736172789939,0.0008391297853642676,2.929019051613488,3.085620808075029,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,partner,computer,all,all,all,all,all,111,2754,0.48026954526954524,0.42303749355077236,0.05723205171877288,0.41215694896441474,0.4338568848533211,3.5342567607479887,3.23361189348655,0.3006448672614388,3.178003142729737,3.289454561133296,posterior_expected_probability
N111_H7_zero_full,H7,zero,conditional_history,offer,computer,0-2,zero,all,all,all,111,395,0.6584084084084084,0.7081726924523625,-0.049764284043954055,0.6879599549113068,0.7278012573169121,1.3168168168168168,1.416345384904725,-0.09952856808790811,1.3759199098226136,1.4556025146338243,posterior_expected_probability
