run,model,category,label,measure,n_subjects,observed,mean,median,ci_low,ci_high,partner,offer_pair,zero_option,residual_high,posterior_fit_window
H5_full_age,H5,offer,friend:0-2,high_probability,111,0.882132132132132,0.6686236236236236,0.6711711711711712,0.6204767267267267,0.7143581081081081,friend,0-2,zero,0.21350850850850844,full_age
H5_full_age,H5,offer,friend:0-4,high_probability,111,0.8746246246246245,0.7434784784784785,0.7439939939939939,0.7015578078078079,0.7868618618618617,friend,0-4,zero,0.13114614614614606,full_age
H5_full_age,H5,offer,friend:0-8,high_probability,111,0.8603603603603603,0.8061086086086086,0.8063063063063063,0.7680180180180182,0.8419857357357357,friend,0-8,zero,0.05425175175175179,full_age
H5_full_age,H5,offer,friend:2-4,high_probability,111,0.7897897897897899,0.6700050050050049,0.670795795795796,0.6283408408408407,0.7117117117117118,friend,2-4,positive_positive,0.11978478478478494,full_age
H5_full_age,H5,offer,friend:2-8,high_probability,111,0.7037859287859289,0.7746531531531532,0.7746675246675248,0.7466524560274561,0.8018562312312313,friend,2-8,positive_positive,-0.07086722436722426,full_age
H5_full_age,H5,offer,friend:4-8,high_probability,111,0.6373873873873874,0.735990990990991,0.734984984984985,0.6985172672672673,0.7789226726726727,friend,4-8,positive_positive,-0.09860360360360354,full_age
H5_full_age,H5,offer,stranger:0-2,high_probability,111,0.7575075075075076,0.4384234234234234,0.4361861861861861,0.3941066066066066,0.4880255255255255,stranger,0-2,zero,0.31908408408408423,full_age
H5_full_age,H5,offer,stranger:0-4,high_probability,111,0.7064564564564564,0.3954129129129128,0.3937687687687687,0.3505255255255255,0.4481981981981982,stranger,0-4,zero,0.3110435435435436,full_age
H5_full_age,H5,offer,stranger:0-8,high_probability,111,0.5893393393393394,0.3429104104104104,0.3423423423423423,0.298048048048048,0.3931118618618618,stranger,0-8,zero,0.24642892892892893,full_age
H5_full_age,H5,offer,stranger:2-4,high_probability,111,0.4782282282282282,0.4380005005005005,0.4354354354354354,0.3922484984984985,0.4883821321321321,stranger,2-4,positive_positive,0.0402277277277277,full_age
H5_full_age,H5,offer,stranger:2-8,high_probability,111,0.392996567996568,0.3640193407693407,0.3644090519090519,0.3327273702273702,0.3994296975546975,stranger,2-8,positive_positive,0.028977227227227287,full_age
H5_full_age,H5,offer,stranger:4-8,high_probability,111,0.3288288288288288,0.3898273273273273,0.3888888888888889,0.3429804804804804,0.4414789789789789,stranger,4-8,positive_positive,-0.06099849849849848,full_age
H5_full_age,H5,offer,computer:0-2,high_probability,111,0.6584084084084084,0.4380055055055055,0.4384384384384384,0.3888888888888889,0.4891328828828828,computer,0-2,zero,0.22040290290290293,full_age
H5_full_age,H5,offer,computer:0-4,high_probability,111,0.6006006006006005,0.3833908908908908,0.3821321321321321,0.3329391891891892,0.4316816816816817,computer,0-4,zero,0.2172097097097097,full_age
H5_full_age,H5,offer,computer:0-8,high_probability,111,0.5157657657657657,0.3337737737737738,0.3340840840840841,0.2897522522522522,0.3814939939939939,computer,0-8,zero,0.1819919919919919,full_age
H5_full_age,H5,offer,computer:2-4,high_probability,111,0.4872372372372372,0.4343718718718719,0.4324324324324325,0.3851351351351351,0.4846283783783783,computer,2-4,positive_positive,0.05286536536536535,full_age
H5_full_age,H5,offer,computer:2-8,high_probability,111,0.3788610038610038,0.3603739453739454,0.3600654225654225,0.3232638888888889,0.3943720506220506,computer,2-8,positive_positive,0.018487058487058394,full_age
H5_full_age,H5,offer,computer:4-8,high_probability,111,0.3498498498498498,0.3859084084084084,0.3851351351351351,0.3358671171171171,0.4346846846846847,computer,4-8,positive_positive,-0.03605855855855861,full_age
H7_full_age,H7,offer,friend:0-2,high_probability,111,0.882132132132132,0.68001001001001,0.680930930930931,0.6309872372372373,0.7211148648648648,friend,0-2,zero,0.202122122122122,full_age
H7_full_age,H7,offer,friend:0-4,high_probability,111,0.8746246246246245,0.749044044044044,0.7484984984984985,0.7094219219219219,0.7868243243243241,friend,0-4,zero,0.12558058058058053,full_age
H7_full_age,H7,offer,friend:0-8,high_probability,111,0.8603603603603603,0.8081856856856856,0.8085585585585585,0.7739864864864864,0.8435623123123123,friend,0-8,zero,0.05217467467467474,full_age
H7_full_age,H7,offer,friend:2-4,high_probability,111,0.7897897897897899,0.6772122122122123,0.6771771771771772,0.6354917417417417,0.7222222222222222,friend,2-4,positive_positive,0.11257757757757758,full_age
H7_full_age,H7,offer,friend:2-8,high_probability,111,0.7037859287859289,0.7789282496782496,0.7789146289146289,0.751643876018876,0.804554912054912,friend,2-8,positive_positive,-0.07514232089232065,full_age
H7_full_age,H7,offer,friend:4-8,high_probability,111,0.6373873873873874,0.7452977977977978,0.7454954954954955,0.7008070570570571,0.7913663663663663,friend,4-8,positive_positive,-0.10791041041041038,full_age
H7_full_age,H7,offer,stranger:0-2,high_probability,111,0.7575075075075076,0.5123348348348348,0.5135135135135135,0.4646771771771772,0.5645645645645646,stranger,0-2,zero,0.24517267267267284,full_age
H7_full_age,H7,offer,stranger:0-4,high_probability,111,0.7064564564564564,0.5111561561561561,0.512012012012012,0.4661036036036036,0.5600600600600601,stranger,0-4,zero,0.19530030030030032,full_age
H7_full_age,H7,offer,stranger:0-8,high_probability,111,0.5893393393393394,0.5085710710710711,0.5060060060060061,0.4639639639639639,0.553734984984985,stranger,0-8,zero,0.08076826826826822,full_age
H7_full_age,H7,offer,stranger:2-4,high_probability,111,0.4782282282282282,0.5042317317317317,0.5018768768768769,0.4613175675675676,0.5537725225225225,stranger,2-4,positive_positive,-0.026003503503503556,full_age
H7_full_age,H7,offer,stranger:2-8,high_probability,111,0.392996567996568,0.5076162591162592,0.5083708708708707,0.4719347919347919,0.538750268125268,stranger,2-8,positive_positive,-0.11461969111969117,full_age
H7_full_age,H7,offer,stranger:4-8,high_probability,111,0.3288288288288288,0.5067092092092091,0.5052552552552554,0.4575638138138138,0.5563438438438438,stranger,4-8,positive_positive,-0.17788038038038034,full_age
H7_full_age,H7,offer,computer:0-2,high_probability,111,0.6584084084084084,0.4212537537537537,0.4219219219219219,0.3723348348348348,0.4692192192192191,computer,0-2,zero,0.23715465465465474,full_age
H7_full_age,H7,offer,computer:0-4,high_probability,111,0.6006006006006005,0.3593268268268269,0.356981981981982,0.3141704204204204,0.4110548048048048,computer,0-4,zero,0.24127377377377363,full_age
H7_full_age,H7,offer,computer:0-8,high_probability,111,0.5157657657657657,0.2984009009009009,0.2980480480480481,0.2506006006006006,0.3483483483483484,computer,0-8,zero,0.21736486486486484,full_age
H7_full_age,H7,offer,computer:2-4,high_probability,111,0.4872372372372372,0.4193768768768768,0.4204204204204204,0.372728978978979,0.4666103603603603,computer,2-4,positive_positive,0.06786036036036042,full_age
H7_full_age,H7,offer,computer:2-8,high_probability,111,0.3788610038610038,0.3313232875732875,0.3307057057057057,0.295500858000858,0.3673731767481767,computer,2-8,positive_positive,0.0475377162877163,full_age
H7_full_age,H7,offer,computer:4-8,high_probability,111,0.3498498498498498,0.3647197197197197,0.3633633633633634,0.316066066066066,0.4118430930930931,computer,4-8,positive_positive,-0.014869869869869934,full_age
HPreference_full_age,HPreference,offer,friend:0-2,high_probability,111,0.882132132132132,0.6806506506506507,0.680930930930931,0.6335960960960961,0.722972972972973,friend,0-2,zero,0.20148148148148137,full_age
HPreference_full_age,HPreference,offer,friend:0-4,high_probability,111,0.8746246246246245,0.7519494494494495,0.7515015015015014,0.7112424924924925,0.7920420420420421,friend,0-4,zero,0.12267517517517501,full_age
HPreference_full_age,HPreference,offer,friend:0-8,high_probability,111,0.8603603603603603,0.8104829829829829,0.8096846846846848,0.7732732732732733,0.8510322822822822,friend,0-8,zero,0.04987737737737741,full_age
HPreference_full_age,HPreference,offer,friend:2-4,high_probability,111,0.7897897897897899,0.6774724724724724,0.6756756756756757,0.6306306306306306,0.7317379879879878,friend,2-4,positive_positive,0.11231731731731742,full_age
HPreference_full_age,HPreference,offer,friend:2-8,high_probability,111,0.7037859287859289,0.7862950807950808,0.7861593736593736,0.7562081724581724,0.8158526383526383,friend,2-8,positive_positive,-0.08250915200915188,full_age
HPreference_full_age,HPreference,offer,friend:4-8,high_probability,111,0.6373873873873874,0.747922922922923,0.7492492492492493,0.7004504504504503,0.7864677177177177,friend,4-8,positive_positive,-0.11053553553553552,full_age
HPreference_full_age,HPreference,offer,stranger:0-2,high_probability,111,0.7575075075075076,0.4952777777777778,0.4954954954954955,0.4466591591591591,0.5466591591591591,stranger,0-2,zero,0.2622297297297298,full_age
HPreference_full_age,HPreference,offer,stranger:0-4,high_probability,111,0.7064564564564564,0.4981081081081082,0.4996246246246246,0.4485548048048048,0.542042042042042,stranger,0-4,zero,0.2083483483483482,full_age
HPreference_full_age,HPreference,offer,stranger:0-8,high_probability,111,0.5893393393393394,0.5107157157157157,0.5097597597597597,0.4677177177177177,0.5582019519519519,stranger,0-8,zero,0.07862362362362363,full_age
HPreference_full_age,HPreference,offer,stranger:2-4,high_probability,111,0.4782282282282282,0.4897972972972973,0.4902402402402402,0.4455142642642642,0.5345720720720721,stranger,2-4,positive_positive,-0.011569069069069127,full_age
HPreference_full_age,HPreference,offer,stranger:2-8,high_probability,111,0.392996567996568,0.5036906549406549,0.5023702273702273,0.4742387923637923,0.5339551158301158,stranger,2-8,positive_positive,-0.11069408694408689,full_age
HPreference_full_age,HPreference,offer,stranger:4-8,high_probability,111,0.3288288288288288,0.4975875875875876,0.4962462462462463,0.4522334834834834,0.5506944444444445,stranger,4-8,positive_positive,-0.1687587587587588,full_age
HPreference_full_age,HPreference,offer,computer:0-2,high_probability,111,0.6584084084084084,0.4374324324324324,0.4376876876876877,0.3820945945945946,0.4947822822822822,computer,0-2,zero,0.220975975975976,full_age
HPreference_full_age,HPreference,offer,computer:0-4,high_probability,111,0.6006006006006005,0.3806831831831831,0.3776276276276276,0.3336899399399399,0.4350788288288288,computer,0-4,zero,0.21991741741741738,full_age
HPreference_full_age,HPreference,offer,computer:0-8,high_probability,111,0.5157657657657657,0.3304079079079079,0.3303303303303303,0.2799924924924925,0.3817755255255255,computer,0-8,zero,0.1853578578578578,full_age
HPreference_full_age,HPreference,offer,computer:2-4,high_probability,111,0.4872372372372372,0.4300650650650651,0.4301801801801802,0.3850975975975976,0.4797297297297297,computer,2-4,positive_positive,0.05717217217217213,full_age
HPreference_full_age,HPreference,offer,computer:2-8,high_probability,111,0.3788610038610038,0.3597157872157872,0.3605748605748606,0.3206188331188331,0.3934939403689403,computer,2-8,positive_positive,0.019145216645216623,full_age
HPreference_full_age,HPreference,offer,computer:4-8,high_probability,111,0.3498498498498498,0.3826851851851852,0.3836336336336335,0.3351914414414415,0.427927927927928,computer,4-8,positive_positive,-0.03283533533533539,full_age
H8_full_age,H8,offer,friend:0-2,high_probability,111,0.882132132132132,0.5328453453453453,0.5330330330330331,0.4868430930930931,0.5837274774774776,friend,0-2,zero,0.3492867867867867,full_age
H8_full_age,H8,offer,friend:0-4,high_probability,111,0.8746246246246245,0.5524574574574576,0.5548048048048047,0.506006006006006,0.5975975975975977,friend,0-4,zero,0.322167167167167,full_age
