run_zero,model,variant_zero,participant_id,parameter,probability_positive_zero,mean_zero,median_zero,ci_low_zero,ci_high_zero,run_base,variant_base,probability_positive_base,mean_base,median_base,ci_low_base,ci_high_base,change_posterior_mean
N111_H5_zero_full,H5,zero,sub-10317,alpha,1.0,0.0850104220729147,0.0661994623949999,0.00648805440905,0.2647207789425,N111_H5_base_full,base,1.0,0.0882805569884622,0.064639145445,0.006270001090025,0.2979329171999999,-0.003270134915547493
N111_H5_zero_full,H5,zero,sub-10317,kappa,1.0,1.054028966948082,1.019871082,0.3712310126149999,1.929358918975,N111_H5_base_full,base,1.0,0.6341697255707544,0.5993895976,0.1798662753375,1.3018375140249998,0.41985924137732766
N111_H5_zero_full,H5,zero,sub-10317,theta,1.0,4.0393112273248,3.7848918455,1.4719766354,7.959841976724999,N111_H5_base_full,base,1.0,6.894414636592876,6.506521944499999,2.456165368575,13.60976717675,-2.855103409268075
N111_H5_zero_full,H5,zero,sub-10369,alpha,1.0,0.1486217286411795,0.11274620115,0.01235425154625,0.4945335440849999,N111_H5_base_full,base,1.0,0.1833031794648896,0.1422855568,0.01527167413625,0.5422589033024998,-0.0346814508237101
N111_H5_zero_full,H5,zero,sub-10369,kappa,1.0,0.3722079950419656,0.3045743522999999,0.0513800077155,1.0366882531999997,N111_H5_base_full,base,1.0,0.1701454750749123,0.1385907414,0.03084296101225,0.4837103064899997,0.20206251996705332
N111_H5_zero_full,H5,zero,sub-10369,theta,1.0,3.6174967346441074,3.047108923,0.7269889923175,9.287748436999998,N111_H5_base_full,base,1.0,7.703710150319145,7.228665643999999,2.0258661053,16.010253801499996,-4.086213415675037
N111_H5_zero_full,H5,zero,sub-10402,alpha,1.0,0.0707700398007537,0.055807233085,0.0065952115908,0.2324291791349999,N111_H5_base_full,base,1.0,0.1397493111331689,0.109206411,0.01314118437575,0.4635131502574999,-0.0689792713324152
N111_H5_zero_full,H5,zero,sub-10402,kappa,1.0,0.7022537879173784,0.69715173705,0.081634035259,1.3578613926749998,N111_H5_base_full,base,1.0,0.0794732141774377,0.05816563646,0.012952605067,0.2663909346924999,0.6227805737399407
N111_H5_zero_full,H5,zero,sub-10402,theta,1.0,0.757655617430624,0.5267170043,0.04490466628475,3.639825579949999,N111_H5_base_full,base,1.0,7.78550015407693,7.299144506499999,1.33174372315,17.27356398625,-7.027844536646306
N111_H5_zero_full,H5,zero,sub-10418,alpha,1.0,0.0267923186395496,0.021003741005,0.002700157561625,0.0839135329739999,N111_H5_base_full,base,1.0,0.0450057989778542,0.035177414925,0.003804612039925,0.14590237021,-0.0182134803383046
N111_H5_zero_full,H5,zero,sub-10418,kappa,1.0,0.7662757590755763,0.75017534195,0.2800077737774999,1.35230969605,N111_H5_base_full,base,1.0,0.2530327098755181,0.23657136395,0.09061777519325,0.5058296395624999,0.5132430492000581
N111_H5_zero_full,H5,zero,sub-10418,theta,1.0,4.7506046957307495,4.4917549745,1.8562582249,9.11821756295,N111_H5_base_full,base,1.0,10.406175746026998,10.15416624,4.8664942378500005,17.472957562499996,-5.655571050296248
N111_H5_zero_full,H5,zero,sub-10462,alpha,1.0,0.0407763611291058,0.027154270915,0.003317962369175,0.161785931165,N111_H5_base_full,base,1.0,0.1002703753510736,0.066975562235,0.007028010151,0.4021237098299998,-0.059494014221967796
N111_H5_zero_full,H5,zero,sub-10462,kappa,1.0,1.184676686806108,1.1528930945,0.2395548152475,2.287935976575,N111_H5_base_full,base,1.0,0.4651722835417732,0.4089597223,0.02000233708325,1.2733645865,0.7195044032643348
N111_H5_zero_full,H5,zero,sub-10462,theta,1.0,0.5761628881126069,0.485737241,0.04016111324175,1.6982964858249998,N111_H5_base_full,base,1.0,2.357397093404753,1.041398816,0.051081042155,12.72109432325,-1.7812342052921462
N111_H5_zero_full,H5,zero,sub-10478,alpha,1.0,0.0867004890560785,0.070797188275,0.009036113040175,0.26054918223,N111_H5_base_full,base,1.0,0.0892891159178608,0.0713735447749999,0.00792387717035,0.26863320963,-0.002588626861782309
N111_H5_zero_full,H5,zero,sub-10478,kappa,1.0,0.3906592817207431,0.3521676903,0.109990542505,0.8780000645199999,N111_H5_base_full,base,1.0,0.1946658494273069,0.1757067448499999,0.0652682242707499,0.4309885109399998,0.19599343229343621
