parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-2.33498,0.00693488,0.221123,0.218562,-2.70683,-2.3266,-1.99013,1080.93,3365.43,0.330635,1.00295,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
mu[2],-0.728208,0.00168291,0.14416,0.144362,-0.9698,-0.7253,-0.495692,7388.9,10530.1,2.26012,1.00081,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
mu[3],2.42819,0.00447091,0.394156,0.39133,1.81603,2.40536,3.11029,7872.63,10480.1,2.40808,1.00069,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
mu[4],1.71691,0.00124085,0.135238,0.133382,1.49833,1.71492,1.94067,11917.8,12365.4,3.64542,1.00022,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
tau[1],0.635398,0.00524161,0.254712,0.248753,0.200958,0.640565,1.0499,2321.61,2036.78,0.710134,1.00102,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
tau[2],1.21719,0.00151919,0.11971,0.11901,1.03231,1.21105,1.4238,6249.16,9845.38,1.91149,1.00035,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
tau[3],2.63462,0.003796,0.345677,0.343703,2.09934,2.61585,3.22865,8339.12,11029.1,2.55077,1.00063,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
tau[4],1.05183,0.00151826,0.136026,0.137383,0.838202,1.04578,1.28435,8007.68,10995.7,2.44939,1.00037,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[1,1]",0.09775,0.000832163,0.0566666,0.0399603,0.0337602,0.0846807,0.204777,4216.08,9389.25,1.28962,1.00035,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[1,2]",0.827378,0.00298642,0.394737,0.387166,0.263979,0.781111,1.54782,15229.6,9207.02,4.65843,1.0,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[1,3]",3.82672,0.0124677,1.60881,1.56598,1.63122,3.59802,6.8159,19453.4,12137.3,5.95041,0.99999,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[1,4]",1.62217,0.00469019,0.738232,0.731411,0.438511,1.6078,2.86323,25213.7,12052.3,7.71238,1.00042,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[2,1]",0.118825,0.00118785,0.0729282,0.0501486,0.0405738,0.0997808,0.258233,2882.87,9541.83,0.881814,1.00134,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[2,2]",0.396122,0.00197933,0.275183,0.240888,0.0743888,0.331359,0.933765,16242.9,11399.9,4.96837,1.0004,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[2,3]",3.36845,0.0160574,1.91,1.78171,0.972454,3.00523,7.01483,18562.1,10815.5,5.67779,1.00072,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[2,4]",2.48091,0.00519853,0.84742,0.823091,1.17058,2.44081,3.9705,27944.5,12011.7,8.54768,1.00003,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
"natural[3,1]",0.118775,0.00138264,0.0840678,0.0510112,0.0354895,0.0953503,0.277858,2514.42,9056.74,0.769112,1.00168,N111_H5_zero_train,111,4,4000,3000,0.99,0,0,0.726156716700205,True
