parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
mu[1],-2.7994,0.00415385,0.25417,0.248184,-3.24242,-2.7817,-2.41617,3768.96,7872.79,0.582436,1.00152,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
mu[2],-1.09364,0.00163298,0.126204,0.124675,-1.30212,-1.09268,-0.889799,5972.11,8482.53,0.922901,1.00017,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
mu[3],3.91088,0.00599549,0.461036,0.458499,3.18086,3.89362,4.68841,5906.54,9148.65,0.912768,1.00004,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
mu[4],-0.143433,0.00566524,0.495467,0.485367,-0.979256,-0.133377,0.652004,7659.63,10648.0,1.18368,1.00051,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
tau[1],1.21402,0.00344011,0.238394,0.233302,0.842992,1.20331,1.6269,4744.95,7105.78,0.733261,1.00206,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
tau[2],1.14807,0.00145869,0.0980998,0.0955274,0.994563,1.1429,1.3168,4507.96,8569.9,0.696639,1.00025,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
tau[3],3.5595,0.00348689,0.338903,0.339425,3.02545,3.54724,4.13625,9412.65,11995.6,1.45459,1.00051,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
tau[4],4.15697,0.00304964,0.390003,0.384427,3.54117,4.14267,4.82212,16335.7,12883.9,2.52444,1.00018,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[1,1]",0.0630176,0.00057535,0.0605761,0.0410431,0.00604412,0.0441437,0.184043,10091.6,12693.7,1.5595,1.00005,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[1,2]",0.911275,0.00268009,0.372545,0.356128,0.391238,0.865017,1.59188,18186.8,11466.9,2.8105,0.999995,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[1,3]",4.01156,0.0112575,1.42871,1.39451,1.98585,3.82811,6.59057,18366.1,11772.4,2.83821,0.999982,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[1,4]",0.243973,0.00172725,0.217706,0.195775,0.0104875,0.196087,0.628818,16612.8,13322.1,2.56726,0.999879,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[2,1]",0.160131,0.00108029,0.125101,0.109474,0.0195713,0.12914,0.4118,12262.5,10790.2,1.89499,1.00003,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[2,2]",0.256371,0.00126858,0.1648,0.144346,0.0588191,0.221736,0.573783,13607.0,9606.98,2.10275,1.0001,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[2,3]",4.4594,0.0190716,2.12228,1.96572,1.73552,4.08688,8.53149,15923.3,10498.8,2.46071,1.00007,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[2,4]",1.03562,0.0156228,1.47584,0.615093,0.0154405,0.489154,4.07513,18452.6,9214.86,2.85158,1.00003,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[3,1]",0.140113,0.00115647,0.120639,0.0847729,0.0192067,0.10796,0.377705,9304.95,8878.24,1.43794,1.00003,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
"natural[3,2]",0.111836,0.000672183,0.0878926,0.0582208,0.0276032,0.0854009,0.289131,14417.7,11818.1,2.22804,1.00004,N111_H7_base_full,111,4,4000,3000,0.99,0,0,0.6736663382549661,True
