run,model,variant,prediction_type,stratification,partner,offer_pair,zero_option,run_or_bin,previous_feedback,evaluation_period,n_subjects,n_trials,observed_high,predicted_high,residual_high,ci_low,ci_high,observed_investment,predicted_investment,residual_investment,investment_ci_low,investment_ci_high,interval_type
N111_HPreference_base_full,HPreference,base,conditional_history,partner,friend,all,all,all,all,all,111,2745,0.7787168939641232,0.7496620477621119,0.029054846202011375,0.7381409875028604,0.7640033361572224,4.963929540869012,4.957231341962761,0.006698198906250674,4.897947446625591,5.03044091394463,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,friend,0-2,zero,all,all,all,111,390,0.8821321321321322,0.6812128431238702,0.20091928900826195,0.6707383137932457,0.6931014626169273,1.7642642642642643,1.3624256862477404,0.4018385780165239,1.3414766275864913,1.3862029252338546,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,friend,0-4,zero,all,all,all,111,395,0.8746246246246245,0.7524222250630576,0.12220239956156698,0.7396771720835339,0.7668385080608573,3.498498498498498,3.0096889002522302,0.4888095982462679,2.9587086883341356,3.067354032243429,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,friend,0-8,zero,all,all,all,111,386,0.8603603603603603,0.8120104645499089,0.04834989581045146,0.796947008548589,0.8299364256061523,6.882882882882883,6.496083716399271,0.3867991664836117,6.375576068388712,6.639491404849219,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,friend,2-4,positive_positive,all,all,all,111,389,0.7897897897897898,0.6798895583193197,0.10990023147047001,0.6691872529200911,0.6910972444466096,3.5795795795795797,3.35977911663864,0.21980046294093958,3.3383745058401812,3.3821944888932176,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,friend,2-8,positive_positive,all,all,all,111,788,0.7037859287859287,0.787591444781617,-0.0838055159956883,0.7728838671080388,0.805037911702025,6.222715572715573,6.725548668689703,-0.5028330959741298,6.637303202648235,6.830227470212154,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,friend,4-8,positive_positive,all,all,all,111,397,0.6373873873873874,0.7472457399922082,-0.1098583526048208,0.7343442146505755,0.7625252297990558,6.54954954954955,6.988982959968833,-0.43943341041928363,6.937376858602304,7.050100919196222,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,zero_option,friend,all,positive_positive,all,all,all,111,1574,0.7076362076362074,0.7507680870044017,-0.04313187936819429,0.7387496309346419,0.7651450297551257,5.6486271986271985,5.95892631091881,-0.3102991122916112,5.89930132660756,6.031378907025597,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,zero_option,friend,all,zero,all,all,all,111,1171,0.8755115505115504,0.7481530075439938,0.12735854296755655,0.7369482109771547,0.761975436650344,4.044227344227349,3.606880997039234,0.43734634718811494,3.5478826456635555,3.6791044990538158,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,partner,stranger,all,all,all,all,all,111,2752,0.5190448454674238,0.49722531808472653,0.021819527382697268,0.48115217819010336,0.5121083998289028,3.712182180252357,3.7136631143848096,-0.0014809341324526493,3.6331060370506085,3.7916918364879346,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,stranger,0-2,zero,all,all,all,111,394,0.7575075075075075,0.4945044879034246,0.2630030196040829,0.48484555948395536,0.5039864620563351,1.515015015015015,0.9890089758068492,0.5260060392081658,0.9696911189679107,1.0079729241126703,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,stranger,0-4,zero,all,all,all,111,388,0.7064564564564565,0.49878444936795063,0.20767200708850586,0.4827842144941137,0.5134878624706718,2.825825825825826,1.9951377974718025,0.8306880283540234,1.9311368579764547,2.053951449882687,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,stranger,0-8,zero,all,all,all,111,388,0.5893393393393394,0.5078834271069419,0.08145591223239745,0.48525777214128246,0.5302639917964032,4.714714714714715,4.063067416855535,0.6516472978591796,3.8820621771302597,4.242111934371225,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,stranger,2-4,positive_positive,all,all,all,111,398,0.47822822822822825,0.4892298792707899,-0.011001651042561678,0.4783689000302432,0.49900256659795295,2.956456456456457,2.9784597585415793,-0.022003302085122467,2.9567378000604863,2.998005133195905,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,stranger,2-8,positive_positive,all,all,all,111,791,0.392996567996568,0.4995381489602252,-0.10654158096365718,0.48007153023590476,0.5188526228544322,4.357979407979408,4.997228893761352,-0.639249485781944,4.880429181415428,5.113115737126597,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,offer,stranger,4-8,positive_positive,all,all,all,111,393,0.3288288288288289,0.49189748218075224,-0.16306865335192333,0.4752434022112948,0.5068113465759372,5.315315315315316,5.96758992872301,-0.6522746134076938,5.900973608845179,6.027245386303748,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,zero_option,stranger,all,positive_positive,all,all,all,111,1582,0.3976950976950978,0.49500788094542725,-0.09731278325032944,0.4782503874594062,0.5103936312844757,4.241932841932842,4.7305971869620045,-0.48866434502916256,4.649956565453217,4.8075682312543995,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,zero_option,stranger,all,zero,all,all,all,111,1170,0.685289835289835,0.5003361986374817,0.18495363665235331,0.48477617726121197,0.5153270254779312,3.0025753025753033,2.3346471736808176,0.6679281288944856,2.2491953299099814,2.421109600311425,posterior_expected_probability
N111_HPreference_base_full,HPreference,base,conditional_history,partner,computer,all,all,all,all,all,111,2754,0.48026954526954524,0.38048431251407644,0.0997852327554688,0.369109133009123,0.39213613502516054,3.5342567607479887,3.0932776429322235,0.44097911781576515,3.03479408940847,3.153369679049511,posterior_expected_probability
