run,status,max_rhat,min_bulk_ess,min_tail_ess,divergences,depth_hits,min_bfmi
N111_H5_base_full,complete,1.00468,687.652,1432.82,0,0,0.6636517630579941
N111_H5_zero_full,complete,1.00359,1061.89,1994.72,0,0,0.6515970172383011
N111_H5_zero_train,complete,1.00781,445.521,785.985,0,0,0.726156716700205
N111_H7_base_full,complete,1.00386,1178.14,2348.75,0,0,0.6736663382549661
N111_H7_zero_full,complete,1.00377,1304.69,3282.89,0,0,0.6883582985245386
N111_H7_zero_train,complete,1.00499,724.061,1512.95,0,0,0.6411664940508935
N111_HPreference_base_full,complete,1.0033,1200.28,2278.19,0,0,0.6906473832556173
N111_HPreference_zero_full,diagnostic_failed,1.00459,666.857,1551.26,0,8,0.6422239970148225
N111_HPreference_zero_train,complete,1.00257,1042.71,1690.22,0,0,0.6291944098290053
N111_H8_base_full,complete,1.00298,1790.05,3552.01,0,0,0.6928806745621109
N111_H8_zero_full,complete,1.00321,1307.73,3108.19,0,0,0.6927154024253648
N111_H8_zero_train,complete,1.00401,1173.95,3728.51,0,0,0.7433306768506739
