chain,draws,divergences,max_depth_hits,bfmi,step_size
1,16000,0,0,0.7602282499404022,0.01152448335
2,16000,1,0,0.7586491952849925,0.01089874613
3,16000,0,0,0.7654820692439565,0.01029370547
4,16000,0,0,0.7858570637852987,0.009010248629
