parameter,mean,sd,ci_low,ci_high
mu.1,-4.010436272280625,0.2939429423036402,-4.6345468776,-3.4840214944250003
mu.2,0.1268940261280938,0.15998508086676672,-0.1974087405525,0.4293847411674999
mu.3,1.0030435777749311,0.20497514971975717,0.626885173065,1.433707479475
tau.1,1.6275266286021062,0.2235281029203365,1.23187184965,2.113294294175
tau.2,1.3192798154586252,0.12693808770128223,1.0897693976,1.58222342215
tau.3,1.5573630506641376,0.18924898134202178,1.226869060175,1.9684249038500001
beta.1.1,0.15441396125286935,0.21199497870986705,-0.268011980105,0.5626042225149999
beta.2.1,-0.17904159485652224,0.13766387098294755,-0.45290299205,0.08792480736374994
beta.3.1,-0.047693434174215774,0.16524851595909812,-0.36921346285,0.28349387297249995
Omega.1.1,1.0,0.0,1.0,1.0
Omega.2.1,-0.5432545721685688,0.12291187573019924,-0.751046763765,-0.2769627566050002
Omega.3.1,0.3394921674689717,0.1444241276753716,0.034698507681500006,0.6030922037725
Omega.1.2,-0.5432545721685688,0.12291187573019924,-0.751046763765,-0.2769627566050002
Omega.2.2,1.0,0.0,1.0,1.0
Omega.3.2,-0.42825413563742665,0.10561392593161747,-0.6172185975025,-0.20533226880250016
Omega.1.3,0.3394921674689717,0.1444241276753716,0.034698507681500006,0.6030922037725
Omega.2.3,-0.42825413563742665,0.10561392593161747,-0.6172185975025,-0.20533226880250016
Omega.3.3,1.0,0.0,1.0,1.0
