parameter,mean,sd,ci_low,ci_high
mu.1,-2.170777792204953,0.2419605539236047,-2.70095628555,-1.7396955278
mu.2,-1.427909929222592,0.15322470521855586,-1.737302847375,-1.1357154544499999
mu.3,5.195818352786766,0.5956860922570757,4.088957339875,6.4182720548
tau.1,0.46186336556518265,0.29221425791545425,0.025315466723000005,1.1032376077250001
tau.2,1.262841326509114,0.11923640881250587,1.045522028325,1.51120007255
tau.3,3.7069477994578124,0.4132675528465704,2.94240201205,4.562853167575001
beta.1.1,0.03229766729101789,0.18808516392084354,-0.360676690255,0.3822683150375001
beta.2.1,-0.12228487056641008,0.13031666637751432,-0.3787014583175,0.1338823176050001
beta.3.1,0.3741247830929701,0.3709772952946694,-0.3470343085325,1.1056361647500004
Omega.1.1,1.0,0.0,1.0,1.0
Omega.2.1,-0.272432740834054,0.3292027439234315,-0.8036538611575,0.47839217165750003
Omega.3.1,0.08542527190939703,0.3461457504660969,-0.614065748535,0.7357044414600001
Omega.1.2,-0.272432740834054,0.3292027439234315,-0.8036538611575,0.47839217165750003
Omega.2.2,1.0,0.0,1.0,1.0
Omega.3.2,-0.5664616061734734,0.10572962296462514,-0.7532737848125,-0.340938137815
Omega.1.3,0.08542527190939703,0.3461457504660969,-0.614065748535,0.7357044414600001
Omega.2.3,-0.5664616061734734,0.10572962296462514,-0.7532737848125,-0.340938137815
Omega.3.3,1.0,0.0,1.0,1.0
