chain,iteration,kind,parameter,value,percentile
4,553,flagged,mu.1,-4.361940775,0.1164375
4,553,flagged,mu.2,0.2042855299,0.6771875
4,553,flagged,mu.3,0.6596524873,0.03725
4,553,flagged,tau.1,1.854328242,0.84975
4,553,flagged,tau.2,1.325661572,0.5356875
4,553,flagged,tau.3,1.45640865,0.312875
4,553,flagged,beta.1.1,-0.3797709844,0.0069375
4,553,flagged,beta.2.1,-0.02137017988,0.8746875
4,553,flagged,beta.3.1,0.1733151347,0.910375
4,553,flagged,Omega.1.1,1.0,1.0
4,553,flagged,Omega.2.1,-0.622925566,0.2768125
4,553,flagged,Omega.3.1,0.4209866306,0.7
4,553,flagged,Omega.1.2,-0.622925566,0.2768125
4,553,flagged,Omega.2.2,1.0,1.0
4,553,flagged,Omega.3.2,-0.3998510315,0.6260625
4,553,flagged,Omega.1.3,0.4209866306,0.7
4,553,flagged,Omega.2.3,-0.3998510315,0.6260625
4,553,flagged,Omega.3.3,1.0,1.0
4,552,previous,mu.1,-4.303728346,0.1553125
4,552,previous,mu.2,0.1892564972,0.6413125
4,552,previous,mu.3,0.6902435077,0.0519375
4,552,previous,tau.1,2.009420182,0.9445
4,552,previous,tau.2,1.256289969,0.326125
4,552,previous,tau.3,1.523389264,0.4600625
4,552,previous,beta.1.1,-0.1418114628,0.0816875
4,552,previous,beta.2.1,-0.04979487423,0.8251875
4,552,previous,beta.3.1,0.2596025563,0.9675
4,552,previous,Omega.1.1,1.0,1.0
4,552,previous,Omega.2.1,-0.6693613159,0.1475
4,552,previous,Omega.3.1,0.3732784809,0.5753125
4,552,previous,Omega.1.2,-0.6693613159,0.1475
4,552,previous,Omega.2.2,1.0,1.0
4,552,previous,Omega.3.2,-0.4143361082,0.5700625
4,552,previous,Omega.1.3,0.3732784809,0.5753125
4,552,previous,Omega.2.3,-0.4143361082,0.5700625
4,552,previous,Omega.3.3,1.0,1.0
