chain,iteration,kind,parameter,value,percentile
2,13242,flagged,mu.1,-2.226249104,0.380734375
2,13242,flagged,mu.2,-1.6891229,0.047875
2,13242,flagged,mu.3,5.413281771,0.655546875
2,13242,flagged,tau.1,1.000452896,0.95290625
2,13242,flagged,tau.2,1.442436997,0.928171875
2,13242,flagged,tau.3,3.394588901,0.2293125
2,13242,flagged,beta.1.1,-0.03707278873,0.33834375
2,13242,flagged,beta.2.1,-0.3475165478,0.0415625
2,13242,flagged,beta.3.1,0.6656397536,0.78475
2,13242,flagged,Omega.1.1,1.0,1.0
2,13242,flagged,Omega.2.1,-0.4590093657,0.31609375
2,13242,flagged,Omega.3.1,-0.228259589,0.18765625
2,13242,flagged,Omega.1.2,-0.4590093657,0.31609375
2,13242,flagged,Omega.2.2,1.0,1.0
2,13242,flagged,Omega.3.2,-0.4853620712,0.7846875
2,13242,flagged,Omega.1.3,-0.228259589,0.18765625
2,13242,flagged,Omega.2.3,-0.4853620712,0.7846875
2,13242,flagged,Omega.3.3,1.0,1.0
2,13241,previous,mu.1,-2.098469285,0.59928125
2,13241,previous,mu.2,-1.538994883,0.229375
2,13241,previous,mu.3,5.326427019,0.60153125
2,13241,previous,tau.1,0.8703623791,0.905140625
2,13241,previous,tau.2,1.365350803,0.809203125
2,13241,previous,tau.3,3.34989486,0.19621875
2,13241,previous,beta.1.1,0.3252105944,0.94846875
2,13241,previous,beta.2.1,-0.1710417714,0.3510625
2,13241,previous,beta.3.1,0.2110708842,0.330421875
2,13241,previous,Omega.1.1,1.0,1.0
2,13241,previous,Omega.2.1,-0.5718414048,0.18540625
2,13241,previous,Omega.3.1,0.03105527058,0.432203125
2,13241,previous,Omega.1.2,-0.5718414048,0.18540625
2,13241,previous,Omega.2.2,1.0,1.0
2,13241,previous,Omega.3.2,-0.4800869552,0.79790625
2,13241,previous,Omega.1.3,0.03105527058,0.432203125
2,13241,previous,Omega.2.3,-0.4800869552,0.79790625
2,13241,previous,Omega.3.3,1.0,1.0
