parameter,mean_current,sd_current,ci_low_current,ci_high_current,run,mean_baseline,sd_baseline,ci_low_baseline,ci_high_baseline,divergences,accepted,mean_shift_baseline_sd
mu.1,-4.010436272280625,0.2939429423036402,-4.6345468776,-3.4840214944250003,H4_full_age,-4.017450460406125,0.2906370779268384,-4.6278121427,-3.499890657425,1,False,0.024133837896848077
mu.2,0.1268940261280938,0.15998508086676672,-0.1974087405525,0.4293847411674999,H4_full_age,0.1264941085822969,0.1598672289374094,-0.1958177087049999,0.4306188228399999,1,False,0.002501560504019754
mu.3,1.0030435777749311,0.20497514971975717,0.626885173065,1.433707479475,H4_full_age,1.0108293615248871,0.203013934294349,0.6276686787925,1.4379020951499994,1,False,-0.03835098204967253
tau.1,1.6275266286021062,0.2235281029203365,1.23187184965,2.113294294175,H4_full_age,1.625395172944075,0.2240851771443697,1.2310249232,2.1068554803,1,False,0.009511810130386144
tau.2,1.3192798154586252,0.12693808770128223,1.0897693976,1.58222342215,H4_full_age,1.3134533635018877,0.1241957191650505,1.092220568875,1.579443147325,1,False,0.04691346848271305
tau.3,1.5573630506641376,0.18924898134202178,1.226869060175,1.9684249038500001,H4_full_age,1.554838385328625,0.1868267615354205,1.22524960445,1.9491466822,1,False,0.013513403084033029
beta.1.1,0.15441396125286935,0.21199497870986705,-0.268011980105,0.5626042225149999,H4_full_age,0.1565715430388169,0.2141473566692606,-0.2678476060299999,0.5754499604300001,1,False,-0.0100752202572354
beta.2.1,-0.17904159485652224,0.13766387098294755,-0.45290299205,0.08792480736374994,H4_full_age,-0.1780538667778867,0.138975719619318,-0.4512830379999999,0.0949823948872499,1,False,-0.007107198878632314
beta.3.1,-0.047693434174215774,0.16524851595909812,-0.36921346285,0.28349387297249995,H4_full_age,-0.0508923483190382,0.1631041423008419,-0.3709873369549999,0.2773758487249998,1,False,0.019612709399630723
Omega.1.1,1.0,0.0,1.0,1.0,H4_full_age,1.0,0.0,1.0,1.0,1,False,
Omega.2.1,-0.5432545721685688,0.12291187573019924,-0.751046763765,-0.2769627566050002,H4_full_age,-0.5372259244232201,0.1214496854492686,-0.7417207052925,-0.2742780707175003,1,False,-0.049639056067105856
Omega.3.1,0.3394921674689717,0.1444241276753716,0.034698507681500006,0.6030922037725,H4_full_age,0.3362472683271641,0.1443084775529559,0.04813206754575,0.605011769255,1,False,0.022485852507291754
Omega.1.2,-0.5432545721685688,0.12291187573019924,-0.751046763765,-0.2769627566050002,H4_full_age,-0.5372259244232201,0.1214496854492686,-0.7417207052925,-0.2742780707175003,1,False,-0.049639056067105856
Omega.2.2,1.0,0.0,1.0,1.0,H4_full_age,1.0,0.0,1.0,1.0,1,False,
Omega.3.2,-0.42825413563742665,0.10561392593161747,-0.6172185975025,-0.20533226880250016,H4_full_age,-0.4305067932634472,0.1060334246069644,-0.6237330230925,-0.2062995835125,1,False,0.021244787993696498
Omega.1.3,0.3394921674689717,0.1444241276753716,0.034698507681500006,0.6030922037725,H4_full_age,0.3362472683271641,0.1443084775529559,0.04813206754575,0.605011769255,1,False,0.022485852507291754
Omega.2.3,-0.42825413563742665,0.10561392593161747,-0.6172185975025,-0.20533226880250016,H4_full_age,-0.4305067932634472,0.1060334246069644,-0.6237330230925,-0.2062995835125,1,False,0.021244787993696498
Omega.3.3,1.0,0.0,1.0,1.0,H4_full_age,1.0,0.0,1.0,1.0,1,False,
