chain,draws,divergences,max_depth_hits,bfmi,step_size
1,4000,0,0,0.672658015032236,0.004639160478
2,4000,0,0,0.7620543201503657,0.006347612354
3,4000,0,0,0.6960502171221269,0.006166026963
4,4000,1,0,0.7093068425502388,0.003636111699
