model,mean,ci_low,ci_high
H2,0.0005664376052574215,-0.0006829096951843869,0.00194111673360105
H8,0.0013818804677363304,4.6811270153031343e-05,0.002795104434012934
HPreference,0.0003927606102058853,-0.0007557359292023247,0.001611276618477918
H7,-5.318265652751075e-05,-0.0008270447919255282,0.0007340904705077896
