run,model,parameter,quantity,term,probability_positive,mean,median,ci_low,ci_high
H5_full_age,H5,alpha,latent_slope,age_z,0.3553125,-0.0804257502180802,-0.072381564585,-0.5091847552825001,0.3042042553599999
H5_full_age,H5,kappa,latent_slope,age_z,0.16625,-0.1149305129623067,-0.1150127904999999,-0.346897337015,0.1195070930324998
H5_full_age,H5,theta,latent_slope,age_z,0.75184375,0.2650116170769023,0.2635973414,-0.5053657877175001,1.0319040937999988
H5_full_age,H5,alpha,latent_age_variance_fraction,age,,0.0354463578520227,0.0162746778786899,3.383113890377111e-05,0.1776147448397672
H5_full_age,H5,kappa,latent_age_variance_fraction,age,,0.0161564530330183,0.008960235776516,2.615417083190986e-05,0.0698498025612269
H5_full_age,H5,theta,latent_age_variance_fraction,age,,0.0088520715311322,0.0042815029706033,9.486768410419944e-06,0.0423853385176715
H5_full_age,H5,alpha,natural_change_25_to_75,age,0.3553125,-0.0106133247172538,-0.0123730816227376,-0.07573591998058,0.0648440998854151
H5_full_age,H5,kappa,natural_change_25_to_75,age,0.16625,-0.0751956887019777,-0.0770429099601959,-0.2278683761903086,0.0899079350692792
H5_full_age,H5,theta,natural_change_25_to_75,age,0.75184375,0.7740269979861728,0.7697638152328283,-1.4729904641479026,3.008724642337751
H5_full_age,H5,friend_value_probability_effect,natural_change_25_to_75,age,0.22534375,-0.0504693402165085,-0.0497518670109503,-0.1851771144608094,0.0783275721474446
H5_full_age_bounded,H5,alpha,latent_slope,age_z,0.35603125,-0.079844089087984,-0.0723096971349999,-0.5037382642199999,0.3057046454549996
H5_full_age_bounded,H5,kappa,latent_slope,age_z,0.15621875,-0.1279683532794661,-0.1291239998,-0.3771953180225,0.1218296448824998
H5_full_age_bounded,H5,theta,latent_slope,age_z,0.7621875,0.2133571260378382,0.21236216235,-0.3672033655275,0.7957347769049999
H5_full_age_bounded,H5,alpha,latent_age_variance_fraction,age,,0.0356858446530248,0.016176924367432,3.387433535409634e-05,0.1747037034295664
H5_full_age_bounded,H5,kappa,latent_age_variance_fraction,age,,0.0178018063333829,0.0102816932678428,2.438566718082789e-05,0.0762474566300764
H5_full_age_bounded,H5,theta,latent_age_variance_fraction,age,,0.0155393387744053,0.0077081576053791,1.6855275900593855e-05,0.0718575567757844
H5_full_age_bounded,H5,alpha,natural_change_25_to_75,age,0.35603125,-0.0103621854225311,-0.0122311705777012,-0.0740840142960145,0.0643098317666815
H5_full_age_bounded,H5,kappa,natural_change_25_to_75,age,0.15621875,-0.0826811690242345,-0.0846335761684331,-0.2467194701034734,0.0894067424383932
