condition,datasets,true_slope,mean_estimate,intervals_excluding_zero,truth_coverage
negative,5,-0.35,-0.32512985198489464,4,1.0
positive,5,0.35,0.3628977356748721,4,0.8
zero,5,0.0,0.07966770662584644,1,0.8
