condition,replicate,method,level,parameter,n,rmse,bias,pearson,spearman,ceiling_rate,interval_coverage,true,probability_positive,mean,median,ci_low,ci_high
zero,0,hierarchical,participant,alpha,111.0,0.1061576885329671,-0.0031545077848305,0.6061856750242373,0.5608195858195859,,0.954954954954955,,,,,,
zero,0,MLE_theta10,participant,alpha,111.0,0.2617681662987377,0.0692061154207294,0.41466679844492,0.4773842665488886,,,,,,,,
zero,0,hierarchical,participant,kappa,111.0,0.1181083463664998,-0.000969454867089,0.8843548104716494,0.7454282204282204,,0.972972972972973,,,,,,
zero,0,MLE_theta10,participant,kappa,111.0,0.2223852504763351,0.0654498716806311,0.7830695211995137,0.6036328536328537,,,,,,,,
zero,0,hierarchical,participant,theta,111.0,0.6507847745215323,-0.0707063228145084,0.5305453700121326,0.5683485433485433,0.0,0.945945945945946,,,,,,
zero,0,MLE_theta10,participant,theta,111.0,3.0700855761771577,0.958144076505924,0.2303099925761413,0.3913822349154572,0.1081081081081081,,,,,,,
zero,0,hierarchical,participant,friend_value_probability_effect,111.0,0.0744212869021683,-0.0088292163829173,0.8233053999798818,0.7392418392418393,,0.963963963963964,,,,,,
zero,0,MLE_theta10,participant,friend_value_probability_effect,111.0,0.1161675996833992,0.0278683943992789,0.7623171644991257,0.7217911189432452,,,,,,,,
zero,0,hierarchical,population,mu_alpha,,,0.0033382511313,,,,1.0,-1.0,0.0,-0.9966617488687,-0.9963304847,-1.314200097825,-0.6909075367249999
zero,0,hierarchical,population,mu_kappa,,,-0.0903409758350999,,,,1.0,-1.2,0.0,-1.2903409758351,-1.285071555,-1.5205572853999998,-1.086585157925
zero,0,hierarchical,population,mu_theta,,,-0.1170166503569001,,,,1.0,1.0,1.0,0.8829833496430999,0.876975689,0.5136457693375,1.2883936963
zero,0,hierarchical,population,tau_alpha,,,0.14146480777615,,,,1.0,0.65,1.0,0.79146480777615,0.78363267565,0.53843413852,1.0940611063749996
zero,0,hierarchical,population,tau_kappa,,,0.0534840146498625,,,,1.0,0.65,1.0,0.7034840146498625,0.6984160329,0.5344235994525,0.89886832446
zero,0,hierarchical,population,tau_theta,,,0.0914963762928751,,,,1.0,1.0,1.0,1.091496376292875,1.0796792575,0.7532755255225,1.501734310875
zero,0,hierarchical,population,beta_alpha,,,0.0911043528582762,,,,1.0,0.0,0.756125,0.0911043528582762,0.09171709331,-0.1687896351975,0.3590466680849999
zero,0,hierarchical,population,beta_kappa,,,-0.074472183689373,,,,1.0,0.0,0.214625,-0.074472183689373,-0.073448541135,-0.261231452505,0.1063079672299998
zero,0,hierarchical,population,beta_theta,,,-0.2052633240992617,,,,1.0,0.0,0.1095,-0.2052633240992617,-0.2064615396,-0.525322180845,0.1281268098599998
zero,0,hierarchical,population,friend_probability_change_25_to_75,,,-0.0939368373123048,,,,1.0,0.0,,-0.0939368373123048,-0.0950943842826937,-0.1853931181639473,0.0052418156248335
zero,1,hierarchical,participant,alpha,111.0,0.1016595537024565,0.0057007068210836,0.5546861205870072,0.5198666198666199,,0.954954954954955,,,,,,
zero,1,MLE_theta10,participant,alpha,111.0,0.2356620999119739,0.0510617489687902,0.4123995999333437,0.4517305341313239,,,,,,,,
zero,1,hierarchical,participant,kappa,111.0,0.1540993975223483,-0.0292366693305055,0.8427605863065895,0.7141540891540892,,0.963963963963964,,,,,,
zero,1,MLE_theta10,participant,kappa,111.0,0.230729835889366,0.0537406723323061,0.784248168225525,0.6916900666900666,,,,,,,,
zero,1,hierarchical,participant,theta,111.0,0.5374655594010799,0.0661169903940787,0.6319562743250541,0.6526676026676026,0.0,0.981981981981982,,,,,,
zero,1,MLE_theta10,participant,theta,111.0,2.598312636204548,0.7860041066415631,0.3938401790853799,0.5280188943090093,0.063063063063063,,,,,,,
zero,1,hierarchical,participant,friend_value_probability_effect,111.0,0.0822824524671289,-0.0131334416545759,0.7392435658172726,0.7580817830817831,,0.945945945945946,,,,,,
