participant_id,run,model,parameter,age,mean,median,ci_low,ci_high,theta
sub-10317,H5_full_age,H5,theta,63,6.989512276658194,6.602348362000001,2.4589122423000003,13.682580581999996,10.0
sub-10369,H5_full_age,H5,theta,32,7.667884020600817,7.165458994,1.98279821495,16.019179602249995,10.0
sub-10402,H5_full_age,H5,theta,36,7.682732739971651,7.1384268915,1.280583048325,17.104422685749995,9.510841043928036
sub-10418,H5_full_age,H5,theta,68,10.512546617402345,10.247288045,4.9935278752,17.56061466074999,10.0
sub-10462,H5_full_age,H5,theta,62,2.597202414072155,1.0823114515,0.0431651098365,13.635112648499996,0.656601664908938
sub-10478,H5_full_age,H5,theta,28,9.19429483670922,8.86565401,3.772118970575,16.599518463999992,10.0
sub-10486,H5_full_age,H5,theta,42,11.474707906794247,11.2664278,5.39514420515,18.88930675775,10.0
sub-10529,H5_full_age,H5,theta,68,8.934860710555892,8.55138284,2.4516603626,17.685483149499998,10.0
sub-10541,H5_full_age,H5,theta,69,9.392954029844466,9.086693299,2.085398272875,18.49722289125,10.0
sub-10555,H5_full_age,H5,theta,28,5.399618176739384,4.3253653195,0.666990712365,15.158745296499989,8.849879329114458
sub-10559,H5_full_age,H5,theta,28,0.2054138831017897,0.1955873294,0.0006016908291425,0.5025810757124999,0.4011878464932434
sub-10572,H5_full_age,H5,theta,70,0.6400204568275292,0.25690824455,0.002425897436625,5.206210635099991,0.3273651739145009
sub-10581,H5_full_age,H5,theta,48,3.906339646260703,2.8655370935,1.09328401295,12.111591256499986,1.6642223729125758
sub-10584,H5_full_age,H5,theta,50,0.1222938724634098,0.0571585245849999,0.00058577462396,0.5175891299374995,0.0
sub-10585,H5_full_age,H5,theta,63,9.724907961174656,9.384853306,3.624941487025,17.659853148999993,10.0
sub-10589,H5_full_age,H5,theta,34,9.214517311673308,8.854473993,3.341136280825,17.166680062749993,10.0
sub-10590,H5_full_age,H5,theta,56,4.1749983740792125,3.4998642154999997,1.518203302625,10.542685125,2.9309710138395837
sub-10596,H5_full_age,H5,theta,27,10.913313961448376,10.636164585,5.16315018515,18.16347821875,10.0
sub-10603,H5_full_age,H5,theta,69,1.6658987419052351,1.2158072795,0.6029425191475,6.810267077649991,1.0383876321074383
sub-10606,H5_full_age,H5,theta,22,12.976286389793344,12.771849345,7.1405737087,19.950008955749993,10.0
sub-10608,H5_full_age,H5,theta,29,4.339451685519744,3.883220741,1.324964385875,9.95472529657499,10.0
sub-10617,H5_full_age,H5,theta,73,8.027962945368797,7.589448534500001,1.37902084375,17.429659699249996,10.0
sub-10636,H5_full_age,H5,theta,27,12.161859057509062,11.942547885,6.272312491075,19.355355410749997,10.0
sub-10638,H5_full_age,H5,theta,72,12.952826963427654,12.73016089,7.0487689919,20.067021521999997,10.0
sub-10640,H5_full_age,H5,theta,31,0.5610060937074388,0.5555370765500001,0.1722460635575,0.9641658852549996,0.5665024261253311
sub-10641,H5_full_age,H5,theta,44,7.4075331648780685,7.0191802525,2.5119095627499997,14.451976716749996,10.0
sub-10642,H5_full_age,H5,theta,32,4.302210637786981,3.8021983615,1.352586530425,9.916466203825,10.0
sub-10644,H5_full_age,H5,theta,69,4.999825898915737,4.525586887,1.72342950955,10.821048210999995,10.0
