run,model,parameter,quantity,term,probability_positive,mean,median,ci_low,ci_high
H5_full_age,H5,alpha,latent_slope,age_z,0.3553125,-0.0804257502180802,-0.072381564585,-0.5091847552825001,0.3042042553599999
H5_full_age,H5,kappa,latent_slope,age_z,0.16625,-0.1149305129623067,-0.1150127904999999,-0.346897337015,0.1195070930324998
H5_full_age,H5,theta,latent_slope,age_z,0.75184375,0.2650116170769023,0.2635973414,-0.5053657877175001,1.0319040937999988
H5_full_age,H5,alpha,latent_age_variance_fraction,age,,0.0354463578520227,0.0162746778786899,3.383113890377111e-05,0.1776147448397672
H5_full_age,H5,kappa,latent_age_variance_fraction,age,,0.0161564530330183,0.008960235776516,2.615417083190986e-05,0.0698498025612269
H5_full_age,H5,theta,latent_age_variance_fraction,age,,0.0088520715311322,0.0042815029706033,9.486768410419944e-06,0.0423853385176715
H5_full_age,H5,alpha,natural_change_25_to_75,age,0.3553125,-0.0106133247172538,-0.0123730816227376,-0.07573591998058,0.0648440998854151
H5_full_age,H5,kappa,natural_change_25_to_75,age,0.16625,-0.0751956887019777,-0.0770429099601959,-0.2278683761903086,0.0899079350692792
H5_full_age,H5,theta,natural_change_25_to_75,age,0.75184375,0.7740269979861728,0.7697638152328283,-1.4729904641479026,3.008724642337751
H5_full_age,H5,friend_value_probability_effect,natural_change_25_to_75,age,0.22534375,-0.0504693402165085,-0.0497518670109503,-0.1851771144608094,0.0783275721474446
