run,status,accepted,max_rhat,min_bulk_ess,min_tail_ess,divergences,depth_hits,min_bfmi,retained_draws
H2_full_age,complete,True,1.00105,1626.83,2460.92,0,0,0.7847495337660773,32000
H5_full_age,complete,True,1.00344,1684.38,2751.56,0,0,0.6796057668668775,32000
H8_full_age,complete,True,1.00157,3481.85,7869.93,0,0,0.7201025644761557,32000
HPreference_full_age,complete,True,1.00151,1940.19,4295.2,0,0,0.6504132785040282,32000
H7_full_age,complete,True,1.00176,3021.41,6296.94,0,0,0.7058858620659134,32000
H4_full_age,diagnostic_failed,False,1.00322,1656.75,3325.09,1,0,0.672658015032236,16000
H5_full_age_bounded,complete,True,1.00129,1531.87,1969.06,0,0,0.7081280895575357,32000
H5_full_quadratic,complete,True,1.00656,496.832,1131.7,0,0,0.6687527984730026,8000
H5_full_age_prior1.5,complete,True,1.00324,1643.48,3489.4,0,0,0.6958258871197155,32000
H2_train_age,complete,True,1.001,1496.99,3280.05,0,0,0.8481122312502917,32000
H2_train_noage,complete,True,1.00701,431.682,808.106,0,0,0.8100735117967343,8000
H5_train_age,diagnostic_failed,False,1.00497,1776.7,2740.25,1,0,0.7586491952849925,64000
H5_train_noage,complete,True,1.00581,738.299,971.349,0,0,0.7282095968642719,32000
H8_train_age,complete,True,1.0018,1211.28,2244.44,0,0,0.8126920494614509,8000
H8_train_noage,complete,True,1.00365,1414.2,2874.05,0,0,0.7667245383459268,8000
HPreference_train_age,complete,True,1.00636,518.013,852.869,0,0,0.6407193897154778,8000
HPreference_train_noage,complete,True,1.00579,1063.94,1782.46,0,0,0.6500782944345044,16000
H7_train_age,complete,True,1.00427,1446.5,2376.53,0,0,0.7050354164264698,32000
H7_train_noage,complete,True,1.00208,1325.4,1414.82,0,0,0.7024913443240909,32000
H5_recovery_zero_0,complete,True,1.00526,733.954,1306.38,0,0,0.6979453518874658,8000
H5_recovery_zero_1,complete,True,1.0098,487.188,1226.57,0,0,0.7086617901512762,8000
H5_recovery_zero_2,complete,True,1.00371,992.257,2327.39,0,0,0.6599707448264782,8000
H5_recovery_zero_3,complete,True,1.0066,829.339,1383.06,0,0,0.7267892836496708,8000
H5_recovery_zero_4,complete,True,1.00816,532.199,1050.59,0,0,0.7016648205856467,8000
H5_recovery_positive_0,complete,True,1.00852,478.914,746.495,0,0,0.6771040558700535,8000
H5_recovery_positive_1,complete,True,1.0043,878.197,1702.17,0,0,0.6952146310373051,8000
H5_recovery_positive_2,complete,True,1.00223,642.927,1072.01,0,0,0.714772774833645,8000
H5_recovery_positive_3,complete,True,1.00305,618.161,1330.41,0,0,0.6431680187950689,8000
H5_recovery_positive_4,complete,True,1.00361,933.765,788.905,0,0,0.759475848773048,8000
H5_recovery_negative_0,complete,True,1.00876,474.775,828.404,0,0,0.6488564498941268,8000
H5_recovery_negative_1,complete,True,1.00883,577.218,931.957,0,0,0.6587923615755904,8000
H5_recovery_negative_2,complete,True,1.00378,784.8,1448.85,0,0,0.6724520030382173,8000
H5_recovery_negative_3,complete,True,1.0064,634.881,837.68,0,0,0.6450516685838974,8000
H5_recovery_negative_4,complete,True,1.00265,989.421,1917.69,0,0,0.6249956713837734,8000
