model,reference,mean,ci_low,ci_high
H2,H5,0.07730490981035364,0.053927145139089826,0.10175049163497613
H8,H5,-0.011080121932421725,-0.04625524311393907,0.025768425981229675
HPreference,H5,-0.027817260533175833,-0.04078964429647228,-0.015025669811364559
H7,H5,-0.028122187013389376,-0.04132437138502227,-0.015156034229477594
H7,HPreference,-0.0003049264802135403,-0.005497661398943686,0.005274255650174494
