model,run,mean,ci_low,ci_high
H2,H2_train_noage,0.6794915025677825,0.6695917957448122,0.6876389538934575
H5,H5_train_noage,0.6021865927574289,0.5768105358844624,0.6258400226362348
H8,H8_train_noage,0.591106470825007,0.5606358058955195,0.620104393388694
HPreference,HPreference_train_noage,0.5743693322242529,0.545670554992041,0.6025936494750274
H7,H7_train_noage,0.5740644057440393,0.5443236492021454,0.6033408822361184
