condition,method,parameter,datasets,mean_rmse,min_rmse,max_rmse,mean_coverage
negative,MLE_theta10,alpha,5,0.2671395585414998,0.2228442592552159,0.3027736608614184,
negative,MLE_theta10,friend_value_probability_effect,5,0.11942556651236425,0.1075072394486029,0.1261460285534096,
negative,MLE_theta10,kappa,5,0.2589053734236232,0.2261944448207908,0.3364653147850985,
negative,MLE_theta10,theta,5,2.6913142897576057,2.5417838936283483,2.995596506096624,
negative,hierarchical,alpha,5,0.11195171827837909,0.0998706124143109,0.1233268982097835,0.9243243243243244
negative,hierarchical,friend_value_probability_effect,5,0.0838591593942864,0.0746785083265257,0.0938615294139685,0.9405405405405405
negative,hierarchical,kappa,5,0.15295909264046298,0.1244046848034885,0.1719825152284691,0.9405405405405407
negative,hierarchical,theta,5,0.5902183919818796,0.512070330448194,0.6540692520967913,0.9477477477477478
positive,MLE_theta10,alpha,5,0.28394012282274195,0.2359102616076074,0.307748101449276,
positive,MLE_theta10,friend_value_probability_effect,5,0.11606771763500909,0.1096145621279361,0.1262079626685331,
positive,MLE_theta10,kappa,5,0.2659594565078382,0.2186550977372315,0.3184978911393389,
positive,MLE_theta10,theta,5,2.764562594872722,2.340639580877808,3.080584308453852,
positive,hierarchical,alpha,5,0.11175399295164183,0.1018783536783612,0.1293035159150857,0.9099099099099099
positive,hierarchical,friend_value_probability_effect,5,0.07944970967959589,0.0760887552099806,0.0831215512414091,0.954954954954955
positive,hierarchical,kappa,5,0.1521989375617006,0.1346242718221229,0.1779485321405194,0.9243243243243242
positive,hierarchical,theta,5,0.5951613302604266,0.4386468982156516,0.7064490178383872,0.8576576576576578
zero,MLE_theta10,alpha,5,0.2566053013520767,0.2356620999119739,0.2802095418598775,
zero,MLE_theta10,friend_value_probability_effect,5,0.1128562431211477,0.1091618251835391,0.120310946453985,
zero,MLE_theta10,kappa,5,0.2621913352865512,0.2223852504763351,0.3392416276295858,
zero,MLE_theta10,theta,5,2.8256925091492504,2.598312636204548,3.0700855761771577,
zero,hierarchical,alpha,5,0.10195584310058295,0.096548902099671,0.1061576885329671,0.9315315315315316
zero,hierarchical,friend_value_probability_effect,5,0.08247342053055537,0.0744212869021683,0.0893698471475511,0.9513513513513514
zero,hierarchical,kappa,5,0.17599277516870904,0.1181083463664998,0.2637988290482,0.9585585585585588
zero,hierarchical,theta,5,0.5761105235179576,0.5205694905906082,0.6507847745215323,0.9693693693693695
