run,model,category,label,measure,n_subjects,observed,mean,median,ci_low,ci_high,observed_outside_interval
H2_full_age,H2,partner,friend,high_probability,111,0.7787168939641232,0.4610723422047094,0.4607909080117096,0.4424685527010762,0.4806099102625105,True
H2_full_age,H2,partner,stranger,high_probability,111,0.5190448454674236,0.4622865309765385,0.4614005205614663,0.4448052874523128,0.4831498714265685,True
H2_full_age,H2,partner,computer,high_probability,111,0.4802695452695452,0.4585013753399718,0.4592604655323954,0.4373180753860579,0.4767922419545227,True
H5_full_age,H5,partner,friend,high_probability,111,0.7787168939641232,0.7390538598008618,0.7388424732734191,0.7217866605586126,0.7584534592594057,True
H5_full_age,H5,partner,stranger,high_probability,111,0.5190448454674236,0.3902883135553107,0.3903392037144897,0.3694067202129749,0.4103288041165613,True
H5_full_age,H5,partner,computer,high_probability,111,0.4802695452695452,0.3851906212575803,0.3858655434532627,0.3623245146381112,0.4061166433425205,True
H8_full_age,H8,partner,friend,high_probability,111,0.7787168939641232,0.5327355944585839,0.5330592494445863,0.5137309577841336,0.550673524736291,True
H8_full_age,H8,partner,stranger,high_probability,111,0.5190448454674236,0.5421262553322049,0.5420972739698902,0.5219903070143342,0.5616465953258478,True
H8_full_age,H8,partner,computer,high_probability,111,0.4802695452695452,0.5374146308570286,0.5373904111623411,0.5175085394076622,0.5603293662635767,True
HPreference_full_age,HPreference,partner,friend,high_probability,111,0.7787168939641232,0.7487193972674792,0.7484649178702889,0.7289312778087288,0.7678157550379419,True
HPreference_full_age,HPreference,partner,stranger,high_probability,111,0.5190448454674236,0.4997698060147081,0.5008751667904987,0.4767687002095849,0.5220423902267916,False
HPreference_full_age,HPreference,partner,computer,high_probability,111,0.4802695452695452,0.3831991069558321,0.3837634410002832,0.3624171418162646,0.4045527491930999,True
H7_full_age,H7,partner,friend,high_probability,111,0.7787168939641232,0.7453985649777637,0.745995787319317,0.7263260840084157,0.7625860635808419,True
H7_full_age,H7,partner,stranger,high_probability,111,0.5190448454674236,0.5082186036800834,0.5081835693162924,0.4864797432427105,0.5300704248183272,False
H7_full_age,H7,partner,computer,high_probability,111,0.4802695452695452,0.3609168358326253,0.3603454883718041,0.3419984997572716,0.3818564606722501,True
