parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-1.20024,0.0164943,0.508994,0.447596,-2.05267,-1.18297,-0.393664,918.28,3071.25,3.88562,1.00279,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
mu[2],-4.0003,0.00461252,0.357493,0.359982,-4.61518,-3.9865,-3.43605,6071.28,5994.35,25.69,1.00071,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
tau[1],0.38152,0.00480664,0.309703,0.282458,0.0258892,0.307337,0.987046,3837.9,4051.02,16.2397,1.00048,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
tau[2],1.94471,0.00410452,0.267475,0.263061,1.52863,1.92905,2.41029,4268.37,5508.7,18.0612,1.00012,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"beta[1,1]",0.527065,0.00421455,0.334368,0.323217,-0.0237897,0.535195,1.07016,6460.98,5451.1,27.339,1.00049,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"beta[2,1]",-0.43782,0.00425098,0.294804,0.287852,-0.93424,-0.430666,0.0349699,4805.81,5172.2,20.3353,1.00038,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[1,1]",0.386661,0.00401213,0.17604,0.178188,0.115364,0.374415,0.701062,1935.25,4865.49,8.18882,1.00133,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[1,2]",0.0239993,0.000418485,0.0401135,0.0111849,0.000327151,0.00869518,0.105507,12888.5,6051.78,54.5365,0.999737,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[2,1]",0.200898,0.00291517,0.111182,0.0766629,0.0675476,0.182001,0.405288,1132.17,4324.54,4.79067,1.0027,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[2,2]",0.0297076,0.00048648,0.0441044,0.016507,0.000598527,0.0132903,0.112501,12606.6,6029.69,53.3437,0.999853,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[3,1]",0.218921,0.00302139,0.11266,0.0809359,0.0780407,0.200287,0.433691,1289.35,3823.85,5.45577,1.00158,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[3,2]",0.0312979,0.000516591,0.0489549,0.0165117,0.000627293,0.0132146,0.1245,12992.1,6070.07,54.9748,0.999681,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[4,1]",0.419769,0.0045562,0.195586,0.205357,0.110606,0.409786,0.763766,1828.05,3585.49,7.73521,1.00169,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[4,2]",0.0110573,0.000181035,0.0174485,0.00601914,0.000225597,0.00488406,0.0426056,12022.1,6790.28,50.8703,0.999805,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[5,1]",0.374342,0.00339456,0.171803,0.171549,0.109935,0.363263,0.679268,2547.44,4813.15,10.7793,1.00088,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[5,2]",0.0487688,0.000834765,0.0795114,0.0204653,0.000399125,0.015072,0.213907,10504.9,5941.82,44.4503,1.00013,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[6,1]",0.185153,0.00276513,0.109904,0.0717994,0.0608441,0.163773,0.394887,1383.11,3707.42,5.85248,1.00195,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[6,2]",0.0358929,0.000582898,0.0547659,0.0192058,0.000712454,0.0153381,0.143442,11255.1,6068.1,47.625,1.00006,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[7,1]",0.253056,0.00388159,0.130462,0.0993302,0.0851622,0.231894,0.514174,996.035,3887.64,4.21463,1.00286,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[7,2]",0.0138995,0.000188883,0.0188932,0.00821834,0.000423412,0.00699613,0.0509963,13937.8,5042.54,58.9763,1.00027,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[8,1]",0.419104,0.00444741,0.194038,0.202115,0.113733,0.408086,0.760225,1898.11,4642.31,8.03168,1.00156,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
"natural[8,2]",0.0163059,0.000303761,0.0273165,0.00794856,0.000246677,0.00621483,0.0672017,12295.5,6283.91,52.0272,1.00058,H2_train_age_attempt95,111,0,diag_e,4,2000,2000,0.95,0,0.8075570869434565,True
