parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-1.19638,0.00791527,0.511578,0.450336,-2.05778,-1.1766,-0.388348,4108.91,9719.02,2.08968,1.00051,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
mu[2],-3.99797,0.00234711,0.366736,0.366242,-4.62755,-3.98367,-3.42401,24614.7,23150.9,12.5184,1.00019,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
tau[1],0.385585,0.00238948,0.311294,0.280342,0.0291118,0.313373,0.987748,16023.3,16908.1,8.14903,1.00003,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
tau[2],1.9428,0.00214843,0.267183,0.266135,1.53102,1.92625,2.40408,15412.0,22426.3,7.8381,1.00005,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"beta[1,1]",0.52494,0.0023812,0.335868,0.324234,-0.0372297,0.529844,1.06159,20394.0,18941.2,10.3718,1.00009,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"beta[2,1]",-0.433066,0.00216001,0.294641,0.291764,-0.92156,-0.430977,0.0476318,18620.8,22335.7,9.47004,1.00011,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[1,1]",0.387476,0.00204786,0.178483,0.182176,0.112076,0.376063,0.705737,7738.04,16841.1,3.93536,1.00024,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[1,2]",0.023725,0.000199228,0.0384403,0.0111646,0.00034058,0.00865681,0.100612,49301.8,24504.1,25.0736,1.00003,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[2,1]",0.201573,0.0015171,0.112633,0.0768115,0.0682511,0.180856,0.41384,5087.03,12499.5,2.58712,1.00054,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[2,2]",0.0300716,0.000234578,0.0442423,0.0166485,0.000651727,0.0133858,0.116236,51137.9,24444.8,26.0074,1.00013,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[3,1]",0.220909,0.0015607,0.115818,0.0822627,0.0777765,0.201021,0.441244,5081.39,12451.8,2.58426,1.00023,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[3,2]",0.031261,0.000252029,0.048181,0.016257,0.000592854,0.0129864,0.125623,49059.6,22892.3,24.9504,0.999967,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[4,1]",0.419989,0.00226113,0.19717,0.210256,0.111645,0.409302,0.764516,7771.14,13776.4,3.95219,1.00028,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[4,2]",0.0112029,9.70166e-05,0.0179209,0.00593152,0.000229273,0.00481931,0.0437551,46388.1,23732.4,23.5917,1.00015,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
"natural[5,1]",0.373699,0.00173267,0.172656,0.173773,0.109482,0.362032,0.682567,10067.0,17957.1,5.11979,1.0002,H2_train_age,111,0,diag_e,4,3000,8000,0.99,0,0.8481122312502917,True
