condition,method,level,parameter,datasets,rmse,bias,pearson,spearman,coverage,ceiling_rate
negative,MLE_theta10,participant,alpha,5,0.26713955806933926,0.06273078311452371,0.31355313138300994,0.36056241645032505,,
negative,MLE_theta10,participant,friend_value_probability_effect,5,0.1194255665332492,0.029295173491152404,0.7004561488830908,0.6690694781053622,,
negative,MLE_theta10,participant,kappa,5,0.2589053739073807,0.05804069694221494,0.7197673501697455,0.6248350298350298,,
negative,MLE_theta10,participant,theta,5,2.691314320633859,0.9069033311824304,0.44059380805765774,0.5691935617719915,,0.08468468468468462
negative,hierarchical,participant,alpha,5,0.11195238024625179,0.01241252992961568,0.5413927039341528,0.5026079326079327,0.918918918918919,
negative,hierarchical,participant,friend_value_probability_effect,5,0.08387449869179542,-0.00428503811027612,0.7425445246766305,0.7072937872937872,0.9405405405405405,
negative,hierarchical,participant,kappa,5,0.15295022645539472,-0.011474070902069181,0.7845280834277094,0.6939136539136539,0.9441441441441443,
negative,hierarchical,participant,theta,5,0.5908291219516716,0.008250495215768261,0.6468354117884878,0.6711670761670762,0.9477477477477478,0.0
negative,hierarchical,population,beta_alpha,5,0.03754175403229379,0.02841120718799504,,,1.0,
negative,hierarchical,population,beta_kappa,5,0.05982967457490144,-0.02370706860580382,,,1.0,
negative,hierarchical,population,beta_theta,5,0.09465080354946037,0.023649703314266517,,,1.0,
negative,hierarchical,population,friend_probability_change_25_to_75,5,0.03137892527861596,0.0008046418970958993,,,1.0,
negative,hierarchical,population,mu_alpha,5,0.09670322969529209,0.06477335984204002,,,1.0,
negative,hierarchical,population,mu_kappa,5,0.07416874029651312,-0.03183457585447762,,,1.0,
negative,hierarchical,population,mu_theta,5,0.11859445608475419,-0.01797722687381246,,,1.0,
negative,hierarchical,population,tau_alpha,5,0.17502079483571767,-0.03567632770158445,,,1.0,
negative,hierarchical,population,tau_kappa,5,0.09579338057326071,-0.04416549408910005,,,0.8,
negative,hierarchical,population,tau_theta,5,0.10750562048079042,0.08300856992259006,,,1.0,
positive,MLE_theta10,participant,alpha,5,0.28394012375089883,0.08163784198355525,0.3206903758503471,0.34806195126637657,,
positive,MLE_theta10,participant,friend_value_probability_effect,5,0.11606771787442446,0.02935810693949306,0.7720056051597842,0.7122873943725911,,
positive,MLE_theta10,participant,kappa,5,0.26595945649589803,0.06755902875301863,0.7226181153447903,0.6139645489645489,,
positive,MLE_theta10,participant,theta,5,2.764562594017247,0.8667466189974322,0.37867961671499045,0.5600989871951899,,0.09549549549549546
positive,hierarchical,participant,alpha,5,0.11174295279950075,0.015143156915061882,0.5226312235862018,0.4755931905931906,0.908108108108108,
positive,hierarchical,participant,friend_value_probability_effect,5,0.07955611282918318,-0.0052978284717685,0.809044772786548,0.7483959283959284,0.954954954954955,
positive,hierarchical,participant,kappa,5,0.15246785609111202,-0.0053195929643963195,0.8137309363541162,0.6922148122148122,0.9243243243243242,
positive,hierarchical,participant,theta,5,0.5951535086149293,-0.08164637977972988,0.6186181251194156,0.618939978939979,0.8558558558558559,0.0
positive,hierarchical,population,beta_alpha,5,0.1023412038212534,-0.01758067650116784,,,1.0,
positive,hierarchical,population,beta_kappa,5,0.061955463610652343,0.05497934266803728,,,1.0,
positive,hierarchical,population,beta_theta,5,0.11243340308082173,0.011855759238441298,,,1.0,
positive,hierarchical,population,friend_probability_change_25_to_75,5,0.046899272285938466,0.0353077519037602,,,0.8,
positive,hierarchical,population,mu_alpha,5,0.19384533068373344,0.08250387422255746,,,0.8,
positive,hierarchical,population,mu_kappa,5,0.08250298828614591,-0.02071975442776746,,,1.0,
positive,hierarchical,population,mu_theta,5,0.1861392937193699,-0.12567642774425267,,,1.0,
positive,hierarchical,population,tau_alpha,5,0.18128754574990577,-0.03326876867860422,,,0.8,
positive,hierarchical,population,tau_kappa,5,0.08015620919583952,-0.002245392813470082,,,1.0,
positive,hierarchical,population,tau_theta,5,0.34392394429306644,-0.228167382718311,,,0.6,
zero,MLE_theta10,participant,alpha,5,0.2566053011104886,0.06809536211586742,0.36285522202098025,0.40667252314298585,,
zero,MLE_theta10,participant,friend_value_probability_effect,5,0.11285624312428774,0.02353605514552064,0.7715681293063789,0.7413434565581188,,
zero,MLE_theta10,participant,kappa,5,0.2621913349923846,0.0570136714979953,0.8348801085179931,0.6777342927342926,,
zero,MLE_theta10,participant,theta,5,2.825692517089501,0.9337043390824118,0.33779982790409246,0.48705621504637275,,0.08648648648648645
zero,hierarchical,participant,alpha,5,0.1020348117709857,0.013078613841957198,0.5971323213461932,0.5360617760617761,0.927927927927928,
zero,hierarchical,participant,friend_value_probability_effect,5,0.08243436166316324,-0.011274413440552439,0.777398590711846,0.7510810810810811,0.9513513513513514,
zero,hierarchical,participant,kappa,5,0.17576475206611017,-0.020350272054944822,0.8833048614882788,0.7388048438048438,0.9567567567567569,
zero,hierarchical,participant,theta,5,0.5756021855959423,0.07639180343728834,0.607884981324002,0.6208511758511758,0.972972972972973,0.0
zero,hierarchical,population,beta_alpha,5,0.08572432348707895,-0.032553395229144785,,,1.0,
zero,hierarchical,population,beta_kappa,5,0.07019201831426045,-0.006099185408435637,,,1.0,
zero,hierarchical,population,beta_theta,5,0.23153991833321994,0.08124544161718641,,,0.8,
zero,hierarchical,population,friend_probability_change_25_to_75,5,0.09171044865695073,0.025086847207294538,,,0.8,
zero,hierarchical,population,mu_alpha,5,0.11934887666338337,0.08547384141453246,,,1.0,
zero,hierarchical,population,mu_kappa,5,0.11051292682447698,-0.08509123094330504,,,1.0,
zero,hierarchical,population,mu_theta,5,0.08375719483663235,-0.00803578094446756,,,1.0,
zero,hierarchical,population,tau_alpha,5,0.17528079848605913,-0.027909330047075197,,,1.0,
zero,hierarchical,population,tau_kappa,5,0.12941350254411108,0.10492813207851497,,,0.8,
zero,hierarchical,population,tau_theta,5,0.2483749460983612,0.1549054559374649,,,0.8,
