run,model,age,parameter,mean,median,ci_low,ci_high
H8_full_age,H8,21.0,alpha,0.32369660323246013,0.31329074317111255,0.14988634376907606,0.5563370971779275
H8_full_age,H8,21.0,kappa,0.3736164631671878,0.36919791109751277,0.2535959871109644,0.5183240794626449
H8_full_age,H8,21.0,alpha_negative,0.05214361853418234,0.04545381685716831,0.013670308445938141,0.12895886741970566
H8_full_age,H8,21.983333333333334,alpha,0.32542959682611305,0.3155223517482453,0.15375490856612226,0.5531150113376321
H8_full_age,H8,21.983333333333334,kappa,0.3719348882801338,0.36777860678781876,0.25460070424212783,0.5124383685553809
H8_full_age,H8,21.983333333333334,alpha_negative,0.05133321754100123,0.04499678141394087,0.013807240298093056,0.12527497256800704
H8_full_age,H8,22.966666666666665,alpha,0.3271893769330116,0.31739519492858903,0.1578081816945964,0.5502542186565318
H8_full_age,H8,22.966666666666665,kappa,0.37027328046372304,0.3664618679638119,0.2559559067730698,0.5068273966073744
H8_full_age,H8,22.966666666666665,alpha_negative,0.05054509592876623,0.044480199323270526,0.013923585306838147,0.12160631202464207
H8_full_age,H8,23.95,alpha,0.32897589321038,0.31954915121976313,0.1618152656862726,0.5478464279657757
H8_full_age,H8,23.95,kappa,0.368631440268832,0.36502917937941115,0.25710739673628336,0.5010561603493038
H8_full_age,H8,23.95,alpha_negative,0.049778832816101425,0.0440787910589682,0.0140295046372044,0.11812351589254284
H8_full_age,H8,24.933333333333334,alpha,0.330789066693645,0.32162040329172825,0.16542192562479652,0.5455392875189061
H8_full_age,H8,24.933333333333334,kappa,0.3670091711345921,0.36371342169922216,0.2579727374109495,0.49520324030380103
H8_full_age,H8,24.933333333333334,alpha_negative,0.04903400523618217,0.0436291855394068,0.014172243492345084,0.11505460973709793
H8_full_age,H8,25.0,alpha,0.33091295607307686,0.32176095043723596,0.16560754370783584,0.5454957060122504
H8_full_age,H8,25.0,kappa,0.3668998903409646,0.36362741994520903,0.2580950271450699,0.4948578679291588
H8_full_age,H8,25.0,alpha_negative,0.04898427376765505,0.04359413227618153,0.014173952065053733,0.11482935492623883
H8_full_age,H8,25.916666666666664,alpha,0.33262878877338453,0.32389053728710565,0.16948560906069599,0.5428419085470869
H8_full_age,H8,25.916666666666664,kappa,0.36540627934887937,0.36235384103614166,0.2591201755739028,0.49029257048745584
H8_full_age,H8,25.916666666666664,alpha_negative,0.04831018927592105,0.043191913695150824,0.014254865895575971,0.11195591319747594
H8_full_age,H8,26.9,alpha,0.3344949202285582,0.32624236970738807,0.17338471424806143,0.5408172734838337
H8_full_age,H8,26.9,kappa,0.3638225740094674,0.3608905894526604,0.26013512054764015,0.4851477991759829
H8_full_age,H8,26.9,alpha_negative,0.04760696114781656,0.04267871867453479,0.014334333976558917,0.10889072390188577
H8_full_age,H8,27.883333333333333,alpha,0.3363872903257832,0.3284987083434898,0.17712887275415762,0.5393233931818135
H8_full_age,H8,27.883333333333333,kappa,0.36225786698583284,0.3594658466243679,0.26127624070379163,0.48025804612687606
H8_full_age,H8,27.883333333333333,alpha_negative,0.04692389819210882,0.042222748360487374,0.01441836553736101,0.10622199044911892
H8_full_age,H8,28.866666666666667,alpha,0.33830569599459953,0.3305293214282372,0.1809551514657616,0.5375608554289878
H8_full_age,H8,28.866666666666667,kappa,0.3607119728816018,0.3581020310097265,0.2619135998564688,0.47550242534125264
H8_full_age,H8,28.866666666666667,alpha_negative,0.04626057980783599,0.041768326340524825,0.014510573147541428,0.10377137389522106
H8_full_age,H8,29.85,alpha,0.3402499010887288,0.332668019090005,0.1847854806717301,0.5366123941806259
H8_full_age,H8,29.85,kappa,0.35918470899762756,0.35686029991451973,0.26240715309201906,0.4708884153530378
H8_full_age,H8,29.85,alpha_negative,0.04561658831226098,0.041353253426841506,0.014547026794090269,0.10146044732105026
H8_full_age,H8,30.833333333333332,alpha,0.3422196357432448,0.335144573437592,0.1882399622516671,0.5349126545797309
H8_full_age,H8,30.833333333333332,kappa,0.35767589529568844,0.3554451826193874,0.26302659643175447,0.46640335260663907
H8_full_age,H8,30.833333333333332,alpha_negative,0.04499150972893163,0.040904039705791734,0.01462957197917817,0.09931158525919925
H8_full_age,H8,31.816666666666666,alpha,0.34421459583734976,0.3373436454783566,0.19187195722920955,0.5339538704468866
H8_full_age,H8,31.816666666666666,kappa,0.35618535436279547,0.3540424153695339,0.2634462884888464,0.46203974097241596
H8_full_age,H8,31.816666666666666,alpha_negative,0.04438493450533982,0.0404474772280684,0.01469588763801566,0.0971120653809283
H8_full_age,H8,32.8,alpha,0.34623444257205116,0.3397574624376616,0.19566007857620288,0.5343283718524385
H8_full_age,H8,32.8,kappa,0.35471291137610145,0.35276945829461803,0.2635456409571501,0.45791798848166215
H8_full_age,H8,32.8,alpha_negative,0.04379645816175418,0.04001050459801577,0.014649081755468526,0.09476874297399542
H8_full_age,H8,33.78333333333333,alpha,0.34827880217147444,0.34170894471088553,0.1991376329854774,0.5340295406548039
H8_full_age,H8,33.78333333333333,kappa,0.3532583940683992,0.35134377910563264,0.26407154315122666,0.45393144866168944
H8_full_age,H8,33.78333333333333,alpha_negative,0.04322568187331523,0.03957472917508692,0.014666825675574792,0.09288331749925897
H8_full_age,H8,34.766666666666666,alpha,0.3503472657158151,0.3437882684546417,0.20207556277371183,0.5346683124199473
H8_full_age,H8,34.766666666666666,kappa,0.3518216326942013,0.3499777819537361,0.26434550986509275,0.4502738876392826
H8_full_age,H8,34.766666666666666,alpha_negative,0.042672212987903545,0.039170564025642826,0.014668981840346231,0.09110954004805641
H8_full_age,H8,35.75,alpha,0.3524393891130319,0.346006728268613,0.20514615070730288,0.535501597202153
H8_full_age,H8,35.75,kappa,0.3504024599963909,0.3486994598000408,0.2645454578128284,0.4469266259421621
H8_full_age,H8,35.75,alpha_negative,0.042135665482625845,0.038748936929052014,0.014653001270620683,0.08934244868215553
H8_full_age,H8,36.733333333333334,alpha,0.35455469321532485,0.34848506820411423,0.20815619050919001,0.5364025224706547
H8_full_age,H8,36.733333333333334,kappa,0.3490007111734345,0.3473536618250138,0.2645219198147272,0.44356616381576064
H8_full_age,H8,36.733333333333334,alpha_negative,0.04161566036201502,0.0383144707758347,0.014646736823108858,0.08768532178267222
H8_full_age,H8,37.71666666666667,alpha,0.35669266408523476,0.3506616864254205,0.2106305542186491,0.5372179198491538
H8_full_age,H8,37.71666666666667,kappa,0.34761622384714774,0.3458851261407684,0.26441130484461584,0.4404507055370788
H8_full_age,H8,37.71666666666667,alpha_negative,0.04111182600121746,0.03792536288651696,0.0146129046413131,0.08626028956208162
H8_full_age,H8,38.7,alpha,0.3588527534148691,0.3529010815076281,0.21328800938506884,0.5382665930582936
H8_full_age,H8,38.7,kappa,0.34624883803100537,0.3444841437222392,0.26393179373381354,0.43740295493915493
H8_full_age,H8,38.7,alpha_negative,0.04062379843754977,0.03751585148836335,0.014557860663373536,0.08476385670113408
H8_full_age,H8,39.68333333333334,alpha,0.361034379100322,0.3552687209359714,0.21591506397772517,0.539547654449284
H8_full_age,H8,39.68333333333334,kappa,0.34489839609898637,0.3431388677559572,0.26358513366973896,0.4349041952385137
H8_full_age,H8,39.68333333333334,alpha_negative,0.040151221613857487,0.037131669349637526,0.014437341283207962,0.08329674895539835
H8_full_age,H8,40.0,alpha,0.36174142051575,0.3559250254035049,0.21682286276997204,0.5397911796910569
H8_full_age,H8,40.0,kappa,0.34446708920984187,0.34273900047939215,0.2635984726464495,0.43407068025844675
H8_full_age,H8,40.0,alpha_negative,0.040002267294548075,0.03699315220607034,0.014414527661238009,0.08286917882584212
H8_full_age,H8,40.666666666666664,alpha,0.36323692597184654,0.35751202045263986,0.21837123837758454,0.5412407739200604
H8_full_age,H8,40.666666666666664,kappa,0.34356474275494536,0.3419287498904665,0.26330015696543224,0.4324667287460151
