comparison,sample,metric,n,mean_difference,median_difference,fraction_improved
M2_reset - M2,primary,AIC,111,0.0475695863508895,0.0,0.16216216216216217
M2_reset - M2,primary,AICc,111,0.04756958635089021,0.0,0.16216216216216217
M2_reset - M2,primary,BIC,111,0.04756958635089123,0.0,0.16216216216216217
M5_reset - M5,primary,AIC,111,-0.08046900621074017,0.0,0.3153153153153153
M5_reset - M5,primary,AICc,111,-0.08046900621074189,0.0,0.3153153153153153
M5_reset - M5,primary,BIC,111,-0.08046900621074049,0.0,0.3153153153153153
M5_signed - M5,primary,AIC,111,-0.08122808642000386,0.0,0.036036036036036036
M5_signed - M5,primary,AICc,111,-0.08122808642000559,0.0,0.036036036036036036
M5_signed - M5,primary,BIC,111,-0.08122808642000408,0.0,0.036036036036036036
M7_signed - M7,primary,AIC,111,-0.41809631067379543,0.0,0.24324324324324326
M7_signed - M7,primary,AICc,111,-0.41809631067379477,0.0,0.24324324324324326
M7_signed - M7,primary,BIC,111,-0.4180963106737956,0.0,0.24324324324324326
M4_signed - M4,primary,AIC,103,-0.1041955599647711,0.0,0.038834951456310676
M4_signed - M4,primary,AICc,103,-0.10419555996477052,0.0,0.038834951456310676
M4_signed - M4,primary,BIC,103,-0.10419555996476994,0.0,0.038834951456310676
M2_lapse - M2,primary,AIC,111,1.858032442168994,1.9999039994060013,0.02702702702702703
M2_lapse - M2,primary,AICc,111,2.047820586410717,2.1536264671686354,0.02702702702702703
M2_lapse - M2,primary,BIC,111,4.13322887216376,4.406655235739706,0.009009009009009009
M5_lapse - M5,primary,AIC,111,1.4427944853361985,1.999999999999993,0.12612612612612611
M5_lapse - M5,primary,AICc,111,1.7027315104104728,2.206329113924056,0.11711711711711711
M5_lapse - M5,primary,BIC,111,3.7179909153309647,4.394449154672444,0.04504504504504504
M2_side - M2,primary,AIC,111,0.9231859210645976,1.5710583941332175,0.22522522522522523
M2_side - M2,primary,AICc,111,1.112974065306321,1.722910245985048,0.1981981981981982
M2_side - M2,primary,BIC,111,3.1983823510593643,3.6249979648986255,0.036036036036036036
M5_side - M5,primary,AIC,111,0.7854507014085835,1.5332417824968516,0.21621621621621623
M5_side - M5,primary,AICc,111,1.045387726482858,1.8131967198550711,0.1981981981981982
M5_side - M5,primary,BIC,111,3.0606471314033477,3.666112200702891,0.07207207207207207
M2_power - M2,primary,AIC,111,-8.990294600352925,-0.9087715630077184,0.5675675675675675
M2_power - M2,primary,AICc,111,-8.800506456111199,-0.7569197111558594,0.5405405405405406
M2_power - M2,primary,BIC,111,-6.715098170358157,1.4052888906857532,0.40540540540540543
M5_power - M5,primary,AIC,111,-7.374739095988093,-2.021374815483597,0.6936936936936937
M5_power - M5,primary,AICc,111,-7.11480207091382,-1.812351771017532,0.6756756756756757
M5_power - M5,primary,BIC,111,-5.0995426659933285,0.09975615860217601,0.46846846846846846
M5_kappa100 - M5,primary,AIC,111,-3.8407715446491904e-16,0.0,0.0
M5_kappa100 - M5,primary,AICc,111,-2.1124243495570547e-15,0.0,0.0
M5_kappa100 - M5,primary,BIC,111,-9.601928861622976e-16,0.0,0.0
M4_ratingcentered - M4,primary,AIC,103,8.555783537211129,0.30351564161883005,0.1941747572815534
M4_ratingcentered - M4,primary,AICc,103,8.555783537211129,0.30351564161884426,0.1941747572815534
M4_ratingcentered - M4,primary,BIC,103,8.555783537211129,0.30351564161884426,0.1941747572815534
preference - M2,primary,AIC,111,-21.979497940717568,-15.080299647908205,0.8288288288288288
