condition,replicate,method,level,parameter,n,rmse,bias,pearson,spearman,ceiling_rate,interval_coverage,true,probability_positive,mean,median,ci_low,ci_high
zero,4,hierarchical,participant,alpha,111.0,0.1029709756475658,0.025977429572198833,0.5601262396873274,0.5137328887328887,,0.8918918918918919,,,,,,
zero,4,MLE_theta10,participant,alpha,111.0,0.28020954185987756,0.07893877279165994,0.28179083264212346,0.31964627927199185,,,,,,,,
zero,4,hierarchical,participant,kappa,111.0,0.26379882904820007,-0.06267494136972558,0.9343005878058792,0.7667953667953669,,0.9279279279279279,,,,,,
zero,4,MLE_theta10,participant,kappa,111.0,0.23143346035524356,0.00831604951422747,0.9157129347183499,0.7014742014742015,,,,,,,,
zero,4,hierarchical,participant,theta,111.0,0.5367135707370689,0.08595150954211254,0.5612452320217012,0.5691119691119692,0.0,0.963963963963964,,,,,,
zero,4,MLE_theta10,participant,theta,111.0,2.9993364594621617,1.05596571926836,0.3125664006859481,0.426118033088954,0.0990990990990991,,,,,,,
zero,4,hierarchical,participant,friend_value_probability_effect,111.0,0.08382214498021878,-0.021161869689877738,0.7226918080424283,0.7420235170235171,,0.9279279279279279,,,,,,
zero,4,MLE_theta10,participant,friend_value_probability_effect,111.0,0.10931356787171852,0.013409505803229143,0.7091612174837241,0.7072034174805162,,,,,,,,
zero,4,hierarchical,population,mu_alpha,,,0.2281411390795125,,,,1.0,-1.0,0.0,-0.7718588609204875,-0.7689822505,-1.04611976135,-0.5145059376275003
zero,4,hierarchical,population,mu_kappa,,,-0.14659491647663758,,,,1.0,-1.2,0.0,-1.3465949164766375,-1.3413474635,-1.5961900513999998,-1.1222337262250002
zero,4,hierarchical,population,mu_theta,,,-0.025039296607199946,,,,1.0,1.0,1.0,0.9749607033928,0.9699478993,0.6153974558024999,1.3820002836499996
zero,4,hierarchical,population,tau_alpha,,,-0.23287293264020947,,,,1.0,0.65,1.0,0.41712706735979055,0.42018310989999996,0.09489528724025001,0.7298588988974999
zero,4,hierarchical,population,tau_kappa,,,0.16725649193612502,,,,1.0,0.65,1.0,0.817256491936125,0.8122337131,0.638522322955,1.0294236470499998
zero,4,hierarchical,population,tau_theta,,,0.01471838731105013,,,,1.0,1.0,1.0,1.0147183873110501,1.003339736,0.7060000643700001,1.3765709464749998
zero,4,hierarchical,population,beta_alpha,,,-0.11690092467243575,,,,1.0,0.0,0.128875,-0.11690092467243575,-0.1189726488,-0.3149790751375,0.09446849828974983
zero,4,hierarchical,population,beta_kappa,,,0.079651396975153,,,,1.0,0.0,0.78675,0.079651396975153,0.078792074735,-0.11612591419499999,0.27339118979249993
zero,4,hierarchical,population,beta_theta,,,-0.04880890438522125,,,,1.0,0.0,0.37475,-0.04880890438522125,-0.05163279136,-0.34806456715749995,0.2494587398575
zero,4,hierarchical,population,friend_probability_change_25_to_75,,,0.028843090919192186,,,,1.0,0.0,,0.028843090919192186,0.027832438689492242,-0.06121451564872336,0.13040793373078646
