contrast,age_from,age_to,estimate,se,ci_low,ci_high,n_subjects
friend - computer,25,75,0.025339531230085144,0.08951746078194277,-0.1501146919025227,0.20079375436269298,111
friend - stranger,25,75,0.0022225839424820926,0.07321536669246574,-0.14127953477475075,0.14572470265971493,111
