parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-1.76575,0.0100791,0.36539,0.351764,-2.39927,-1.74356,-1.21167,1317.51,3253.09,0.318214,1.0024,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
mu[2],-1.27101,0.00294693,0.162427,0.160745,-1.54427,-1.26709,-1.01179,3125.7,4524.48,0.754941,1.00289,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
mu[3],2.11774,0.00479191,0.281332,0.268837,1.69864,2.09543,2.61861,3478.64,4946.93,0.840185,1.0025,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
mu[4],0.599184,0.00234089,0.151964,0.147665,0.358452,0.594358,0.859687,4342.4,5467.48,1.0488,1.00019,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
tau[1],1.10851,0.00678222,0.35652,0.347977,0.558445,1.09067,1.71937,2645.74,2980.88,0.639018,1.00171,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
tau[2],1.15306,0.0033052,0.142611,0.141156,0.931106,1.14566,1.40011,1845.15,3807.33,0.445653,1.00393,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
tau[3],1.32802,0.00350557,0.220794,0.215558,0.999304,1.31295,1.72057,3993.1,5846.76,0.964442,1.00067,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
tau[4],1.14048,0.00278186,0.183723,0.180327,0.865432,1.125,1.46477,4290.12,5130.49,1.03618,1.00136,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"beta[1,1]",0.282578,0.00337081,0.253217,0.244504,-0.1347,0.288325,0.690535,5784.46,5503.69,1.3971,1.00015,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"beta[2,1]",-0.207055,0.00206748,0.13112,0.131129,-0.419851,-0.209445,0.00758607,4036.86,5076.64,0.97501,1.00042,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"beta[3,1]",0.291577,0.00335091,0.190835,0.191439,-0.0165075,0.290496,0.601627,3276.19,5302.64,0.791287,1.00049,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"beta[4,1]",-0.00364289,0.00171495,0.130463,0.128977,-0.216776,-0.00382425,0.211528,5806.01,5421.81,1.40231,1.00028,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"natural[1,1]",0.282816,0.00375358,0.212969,0.189515,0.0346301,0.221652,0.713607,3688.71,5710.58,0.890921,1.00078,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"natural[1,2]",0.608488,0.00521658,0.403477,0.344356,0.137499,0.523868,1.35848,5256.7,5694.3,1.26963,0.999898,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"natural[1,3]",2.40813,0.0109894,0.869014,0.835623,1.20423,2.2982,4.00202,6865.3,6349.28,1.65815,1.00004,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"natural[1,4]",0.239185,0.00502261,0.3881,0.248349,-0.316603,0.21654,0.865547,6909.8,4795.74,1.6689,1.00073,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"natural[2,1]",0.176691,0.00228658,0.146009,0.103792,0.0246228,0.135073,0.480857,3558.28,5248.41,0.85942,1.00055,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"natural[2,2]",0.224044,0.00205041,0.159542,0.126804,0.0478769,0.184973,0.531001,5259.91,5682.6,1.27041,1.00086,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"natural[2,3]",2.03403,0.0135139,0.972222,0.919584,0.770829,1.88179,3.83338,6137.44,4958.19,1.48236,1.00064,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
"natural[2,4]",0.242475,0.00938903,0.778163,0.627902,-0.861138,0.145145,1.68141,8211.73,5098.18,1.98335,1.00093,HPreference_train_age,111,0,diag_e,4,2000,2000,0.99,0,0.6407193897154778,True
