condition,replicate,method,participant_id,parameter,true,recovered
negative,1,hierarchical,sub-10317,alpha,0.38400891497449585,0.3012814207069475
negative,1,hierarchical,sub-10369,alpha,0.17642455587591277,0.33577757404337377
negative,1,hierarchical,sub-10402,alpha,0.16678691515304817,0.23414037084267625
negative,1,hierarchical,sub-10418,alpha,0.4822454640619441,0.4326804513721125
negative,1,hierarchical,sub-10462,alpha,0.11852863622232442,0.27831593002615
negative,1,hierarchical,sub-10478,alpha,0.431892823864961,0.2559186636377375
negative,1,hierarchical,sub-10486,alpha,0.33059249450583467,0.27463707450257
negative,1,hierarchical,sub-10529,alpha,0.06824689881644312,0.22679304935311376
negative,1,hierarchical,sub-10541,alpha,0.18449190758714015,0.2826735642842612
negative,1,hierarchical,sub-10555,alpha,0.08549452679073777,0.31891235185813377
negative,1,hierarchical,sub-10559,alpha,0.14688951086613078,0.22093286642958626
negative,1,hierarchical,sub-10572,alpha,0.50023833310695,0.24922568475183374
negative,1,hierarchical,sub-10581,alpha,0.3550061310982818,0.34368983380504126
negative,1,hierarchical,sub-10584,alpha,0.13853487980463858,0.25990118637743626
negative,1,hierarchical,sub-10585,alpha,0.2365871111316564,0.31511955948055376
negative,1,hierarchical,sub-10589,alpha,0.4604471669893673,0.28193225379636
negative,1,hierarchical,sub-10590,alpha,0.20279650263158094,0.3164867394724412
negative,1,hierarchical,sub-10596,alpha,0.32234599712971546,0.30375934216993616
negative,1,hierarchical,sub-10603,alpha,0.15334179267244474,0.27321745567498124
negative,1,hierarchical,sub-10606,alpha,0.3822000898414483,0.29967989801794126
negative,1,hierarchical,sub-10608,alpha,0.4879020716223605,0.31497935806553873
negative,1,hierarchical,sub-10617,alpha,0.23324211864405714,0.29522226557337
negative,1,hierarchical,sub-10636,alpha,0.4439770876609523,0.4294472315821625
negative,1,hierarchical,sub-10638,alpha,0.20496456949085803,0.30314141354503876
negative,1,hierarchical,sub-10640,alpha,0.3119805432046895,0.31545843591408373
negative,1,hierarchical,sub-10641,alpha,0.524245211868284,0.2724063528539075
negative,1,hierarchical,sub-10642,alpha,0.2289768156326011,0.289905425209115
negative,1,hierarchical,sub-10644,alpha,0.23076279886958606,0.26331646589766877
negative,1,hierarchical,sub-10647,alpha,0.10362625962229899,0.27909236551626626
negative,1,hierarchical,sub-10649,alpha,0.32609774355678095,0.35611182690945
negative,1,hierarchical,sub-10652,alpha,0.19301927616589054,0.2080771881295625
negative,1,hierarchical,sub-10656,alpha,0.08374463186134953,0.23164056792396373
negative,1,hierarchical,sub-10661,alpha,0.4323165422385552,0.29628703907336623
negative,1,hierarchical,sub-10663,alpha,0.26375984839529165,0.24408216168665
negative,1,hierarchical,sub-10668,alpha,0.18543037632448173,0.32844345102707123
negative,1,hierarchical,sub-10673,alpha,0.17483128485583205,0.266479706952445
negative,1,hierarchical,sub-10674,alpha,0.19148045378194986,0.2672689363730375
negative,1,hierarchical,sub-10677,alpha,0.4803888127599306,0.26101015698379
negative,1,hierarchical,sub-10685,alpha,0.2423755899178854,0.2132917346894925
negative,1,hierarchical,sub-10690,alpha,0.14014527122398182,0.26870119270399623
negative,1,hierarchical,sub-10691,alpha,0.2810157577646552,0.28254317086063374
negative,1,hierarchical,sub-10700,alpha,0.2038573104937856,0.28438194345908996
negative,1,hierarchical,sub-10701,alpha,0.5180569395398884,0.32959405031654626
negative,1,hierarchical,sub-10713,alpha,0.3302914780058091,0.29903631724775
negative,1,hierarchical,sub-10716,alpha,0.25721697398175913,0.2749961051006475
negative,1,hierarchical,sub-10718,alpha,0.17245712556999157,0.24371964173842625
negative,1,hierarchical,sub-10720,alpha,0.37769459343091155,0.29075564440608126
negative,1,hierarchical,sub-10723,alpha,0.49496854143098723,0.30038471608579626
negative,1,hierarchical,sub-10741,alpha,0.2153633427385646,0.28184727041841373
negative,1,hierarchical,sub-10748,alpha,0.11159507621056805,0.22459323909146378
negative,1,hierarchical,sub-10767,alpha,0.27963986967797894,0.26833503719316254
