condition,replicate,method,participant_id,parameter,true,recovered
negative,3,hierarchical,sub-10317,alpha,0.17232302935757324,0.4312079715130237
negative,3,hierarchical,sub-10369,alpha,0.26812465587993,0.29123821986975873
negative,3,hierarchical,sub-10402,alpha,0.2982263650034077,0.3713559412489125
negative,3,hierarchical,sub-10418,alpha,0.17248186798326923,0.17049387730519627
negative,3,hierarchical,sub-10462,alpha,0.3400183841756455,0.3784767813640113
negative,3,hierarchical,sub-10478,alpha,0.10752823256550281,0.22575930158801247
negative,3,hierarchical,sub-10486,alpha,0.4008509808434833,0.4181262545010237
negative,3,hierarchical,sub-10529,alpha,0.09531370879368323,0.23303465070134752
negative,3,hierarchical,sub-10541,alpha,0.3912837853318252,0.45886166690235003
negative,3,hierarchical,sub-10555,alpha,0.3065716208266317,0.35859401845674377
negative,3,hierarchical,sub-10559,alpha,0.25605209118851024,0.29079498254382996
negative,3,hierarchical,sub-10572,alpha,0.31105430461077577,0.2894474724629225
negative,3,hierarchical,sub-10581,alpha,0.6122405283824912,0.3489876258589975
negative,3,hierarchical,sub-10584,alpha,0.3422112696194354,0.35936521678835004
negative,3,hierarchical,sub-10585,alpha,0.4123974070667563,0.30370741838478876
negative,3,hierarchical,sub-10589,alpha,0.3169766587377232,0.39348769517864374
negative,3,hierarchical,sub-10590,alpha,0.3383595613952144,0.35700573292027254
negative,3,hierarchical,sub-10596,alpha,0.19137901120690945,0.4179784169665837
negative,3,hierarchical,sub-10603,alpha,0.3249183925834123,0.31920764951501496
negative,3,hierarchical,sub-10606,alpha,0.15125159685116094,0.15886139142963662
negative,3,hierarchical,sub-10608,alpha,0.33103479813839337,0.5180466300882499
negative,3,hierarchical,sub-10617,alpha,0.33899087934151684,0.4267628058635788
negative,3,hierarchical,sub-10636,alpha,0.31816982033166974,0.25295123065181374
negative,3,hierarchical,sub-10638,alpha,0.08139245818190077,0.28758596792395874
negative,3,hierarchical,sub-10640,alpha,0.2213512080896198,0.353477198964735
negative,3,hierarchical,sub-10641,alpha,0.375320338698895,0.3427831894687638
negative,3,hierarchical,sub-10642,alpha,0.29346777343872815,0.3387388192468375
negative,3,hierarchical,sub-10644,alpha,0.21683140801402895,0.32554137110338
negative,3,hierarchical,sub-10647,alpha,0.21992058411018917,0.31614248467266626
negative,3,hierarchical,sub-10649,alpha,0.20000839882538923,0.2848720674794776
negative,3,hierarchical,sub-10652,alpha,0.17861170562394887,0.14931416185599125
negative,3,hierarchical,sub-10656,alpha,0.45798026908842704,0.2951772866131862
negative,3,hierarchical,sub-10661,alpha,0.11892568908140831,0.24739866512761374
negative,3,hierarchical,sub-10663,alpha,0.07194253692066774,0.200508534865995
negative,3,hierarchical,sub-10668,alpha,0.22986777734441696,0.33841672440897624
negative,3,hierarchical,sub-10673,alpha,0.23093268827898525,0.3601714171445675
negative,3,hierarchical,sub-10674,alpha,0.06582011586660447,0.26763760116206625
negative,3,hierarchical,sub-10677,alpha,0.1479784883150185,0.2565784839704812
negative,3,hierarchical,sub-10685,alpha,0.09075492469619818,0.32522521831700496
negative,3,hierarchical,sub-10690,alpha,0.46794060164575185,0.34110075145962254
negative,3,hierarchical,sub-10691,alpha,0.48375580968924786,0.5007519489935038
negative,3,hierarchical,sub-10700,alpha,0.2923256437009365,0.3791688198840562
negative,3,hierarchical,sub-10701,alpha,0.2530692610409721,0.31794244983076997
negative,3,hierarchical,sub-10713,alpha,0.2375999639055964,0.3564748459731362
negative,3,hierarchical,sub-10716,alpha,0.3197861263928541,0.2713576460613413
negative,3,hierarchical,sub-10718,alpha,0.43593633767728224,0.26173104208521786
negative,3,hierarchical,sub-10720,alpha,0.39884268671520456,0.4704236705823
negative,3,hierarchical,sub-10723,alpha,0.0954549387466702,0.1952126950437475
negative,3,hierarchical,sub-10741,alpha,0.2788234119256862,0.2696420464081992
negative,3,hierarchical,sub-10748,alpha,0.5610493387466025,0.373928493077515
negative,3,hierarchical,sub-10767,alpha,0.3627667834960731,0.41001628356460745
negative,3,hierarchical,sub-10770,alpha,0.16938147851407095,0.32697042236664375
negative,3,hierarchical,sub-10781,alpha,0.18097197170286614,0.3031633388084638
negative,3,hierarchical,sub-10783,alpha,0.6525808033973679,0.33863480273942254
negative,3,hierarchical,sub-10785,alpha,0.32005939061505295,0.3432878186009125
negative,3,hierarchical,sub-10794,alpha,0.27647213255501096,0.2679416530044637
negative,3,hierarchical,sub-10800,alpha,0.28257832217830703,0.2625121598884963
negative,3,hierarchical,sub-10801,alpha,0.3790984595095618,0.5179585302434501
negative,3,hierarchical,sub-10802,alpha,0.24250761972861046,0.2027966991062425
negative,3,hierarchical,sub-10803,alpha,0.12555806397894023,0.3121769627847988
negative,3,hierarchical,sub-10804,alpha,0.23804428381781828,0.27810869111720876
