condition,replicate,method,participant_id,parameter,true,recovered
positive,3,hierarchical,sub-10317,alpha,0.19153099798185072,0.31343660241794125
positive,3,hierarchical,sub-10369,alpha,0.38585653890680466,0.3271598933166563
positive,3,hierarchical,sub-10402,alpha,0.40793863389406737,0.4368638055990788
positive,3,hierarchical,sub-10418,alpha,0.4645656010092657,0.385387783627175
positive,3,hierarchical,sub-10462,alpha,0.11454206101343721,0.3293884298224237
positive,3,hierarchical,sub-10478,alpha,0.2862289530988771,0.2939809189403563
positive,3,hierarchical,sub-10486,alpha,0.19797449224160787,0.25304255168254375
positive,3,hierarchical,sub-10529,alpha,0.33388321901300877,0.38992333309946753
positive,3,hierarchical,sub-10541,alpha,0.28457726551410784,0.32143879508035994
positive,3,hierarchical,sub-10555,alpha,0.29192489487578177,0.28785748125336125
positive,3,hierarchical,sub-10559,alpha,0.3935685887406279,0.42515212208535624
positive,3,hierarchical,sub-10572,alpha,0.30164968053816865,0.3040262823974888
positive,3,hierarchical,sub-10581,alpha,0.2505031550279799,0.3019887192702637
positive,3,hierarchical,sub-10584,alpha,0.5744109383561371,0.3758069364725437
positive,3,hierarchical,sub-10585,alpha,0.17391121460877604,0.2947448966347325
positive,3,hierarchical,sub-10589,alpha,0.3358118872320792,0.2934607761959975
positive,3,hierarchical,sub-10590,alpha,0.22972606941077545,0.34322665347241255
positive,3,hierarchical,sub-10596,alpha,0.27326136674234236,0.3578776352499862
positive,3,hierarchical,sub-10603,alpha,0.28412621665851195,0.4275829327704875
positive,3,hierarchical,sub-10606,alpha,0.13269030232059928,0.25194730111811875
positive,3,hierarchical,sub-10608,alpha,0.16587083171678607,0.2566715744474963
positive,3,hierarchical,sub-10617,alpha,0.29418567007871477,0.332614874880015
positive,3,hierarchical,sub-10636,alpha,0.09980189827779894,0.22758527872959503
positive,3,hierarchical,sub-10638,alpha,0.42263629679624415,0.451811254295275
positive,3,hierarchical,sub-10640,alpha,0.34812185136819507,0.3033993109784763
positive,3,hierarchical,sub-10641,alpha,0.413588047162351,0.35352509990393377
positive,3,hierarchical,sub-10642,alpha,0.22319048228305302,0.3246709392190176
positive,3,hierarchical,sub-10644,alpha,0.663392854222614,0.38842413001749254
positive,3,hierarchical,sub-10647,alpha,0.4661225062310069,0.294719079106725
positive,3,hierarchical,sub-10649,alpha,0.30180460426156414,0.388220047347995
positive,3,hierarchical,sub-10652,alpha,0.25530499814214386,0.3896160333960212
positive,3,hierarchical,sub-10656,alpha,0.21767205073049894,0.3254753333067875
positive,3,hierarchical,sub-10661,alpha,0.3581163853213349,0.42499243567270495
positive,3,hierarchical,sub-10663,alpha,0.22761476275483059,0.26794612622624503
positive,3,hierarchical,sub-10668,alpha,0.23015390508118555,0.25852955125988375
positive,3,hierarchical,sub-10673,alpha,0.3042227936692649,0.3206158178704775
positive,3,hierarchical,sub-10674,alpha,0.1955597031024177,0.27497605775184625
positive,3,hierarchical,sub-10677,alpha,0.2401393605522708,0.2812657726118
positive,3,hierarchical,sub-10685,alpha,0.30906650727590373,0.25343349386974495
positive,3,hierarchical,sub-10690,alpha,0.1990790418150417,0.27323501167658126
positive,3,hierarchical,sub-10691,alpha,0.2957777110574241,0.3716227791391109
positive,3,hierarchical,sub-10700,alpha,0.31559016331920786,0.3496793535662762
positive,3,hierarchical,sub-10701,alpha,0.4980291547840535,0.34170692620168625
positive,3,hierarchical,sub-10713,alpha,0.4410321095411166,0.33695509285958
positive,3,hierarchical,sub-10716,alpha,0.5245256326792302,0.3709419451293812
positive,3,hierarchical,sub-10718,alpha,0.20770565104093855,0.27666814027197495
positive,3,hierarchical,sub-10720,alpha,0.10391590207026552,0.3151962473772075
positive,3,hierarchical,sub-10723,alpha,0.23172199070905447,0.2503330309175311
positive,3,hierarchical,sub-10741,alpha,0.35331974179652964,0.2589905179389275
positive,3,hierarchical,sub-10748,alpha,0.16889494133515973,0.25347637929623873
positive,3,hierarchical,sub-10767,alpha,0.36880522202741234,0.25240200462245127
positive,3,hierarchical,sub-10770,alpha,0.2441725926391348,0.32202914475093253
positive,3,hierarchical,sub-10781,alpha,0.10147175333166397,0.32394725130849755
positive,3,hierarchical,sub-10783,alpha,0.20130675834926584,0.3419424638626275
positive,3,hierarchical,sub-10785,alpha,0.3251551770935094,0.4222243892941625
positive,3,hierarchical,sub-10794,alpha,0.3945462188081843,0.2987625036421975
positive,3,hierarchical,sub-10800,alpha,0.1967231723235256,0.28362658057276247
positive,3,hierarchical,sub-10801,alpha,0.22340360328768158,0.25624740582572747
positive,3,hierarchical,sub-10802,alpha,0.34634788034020175,0.41712359903548746
positive,3,hierarchical,sub-10803,alpha,0.3939210077479901,0.34013933560165377
positive,3,hierarchical,sub-10804,alpha,0.34145847635260784,0.35455865576879125
positive,3,hierarchical,sub-10806,alpha,0.19637154174612592,0.25329693734998
positive,3,hierarchical,sub-10807,alpha,0.2659470442031596,0.3389445482284425
positive,3,hierarchical,sub-10809,alpha,0.48051064812981203,0.32293752559013
positive,3,hierarchical,sub-10810,alpha,0.3335005114812557,0.33505433163494125
positive,3,hierarchical,sub-10812,alpha,0.20551111903834485,0.3268053841129038
positive,3,hierarchical,sub-10817,alpha,0.16604552745161882,0.3334360635918125
positive,3,hierarchical,sub-10827,alpha,0.5864152147482267,0.4610645703053938
positive,3,hierarchical,sub-10831,alpha,0.295919311252542,0.26214354221269004
positive,3,hierarchical,sub-10834,alpha,0.4054077321367435,0.46595458167947507
positive,3,hierarchical,sub-10836,alpha,0.6276155986843722,0.3450016211520525
positive,3,hierarchical,sub-10838,alpha,0.2516029300100078,0.30157463744849244
positive,3,hierarchical,sub-10843,alpha,0.39434789932465647,0.2677668282559263
positive,3,hierarchical,sub-10850,alpha,0.1778166164480343,0.3175615952179337
positive,3,hierarchical,sub-10854,alpha,0.22986274874921378,0.3115998284398137
positive,3,hierarchical,sub-10857,alpha,0.5223201755472082,0.48243117963818755
positive,3,hierarchical,sub-10858,alpha,0.3920711072052677,0.39014420371481245
positive,3,hierarchical,sub-10860,alpha,0.14838832325749055,0.2682617722241699
positive,3,hierarchical,sub-10862,alpha,0.1921823133989519,0.2830072186331538
positive,3,hierarchical,sub-10863,alpha,0.21796835564107958,0.2892270070437275
positive,3,hierarchical,sub-10866,alpha,0.625577460056664,0.4918524500885625
positive,3,hierarchical,sub-10875,alpha,0.34749178337593345,0.3067921708045175
positive,3,hierarchical,sub-10881,alpha,0.35481747350252535,0.3789551803875812
positive,3,hierarchical,sub-10886,alpha,0.5112632602047473,0.3920543042151038
positive,3,hierarchical,sub-10887,alpha,0.2659892739558675,0.3118530283899862
positive,3,hierarchical,sub-10896,alpha,0.5899886993225658,0.3659006182924312
positive,3,hierarchical,sub-10897,alpha,0.5401258676150485,0.30558134597991127
positive,3,hierarchical,sub-10898,alpha,0.10935051867197743,0.33598329915403996
positive,3,hierarchical,sub-10908,alpha,0.18266779804013383,0.29519688818165624
positive,3,hierarchical,sub-10918,alpha,0.19956781546171767,0.252626792185135
positive,3,hierarchical,sub-10924,alpha,0.15228313295775509,0.26369314749082623
positive,3,hierarchical,sub-10926,alpha,0.4775810541872106,0.30137903784411
positive,3,hierarchical,sub-10928,alpha,0.19625095864508915,0.2928510581962887
positive,3,hierarchical,sub-10929,alpha,0.11938986565261736,0.26531880951146375
positive,3,hierarchical,sub-10930,alpha,0.3921494495028555,0.44222070118914997
positive,3,hierarchical,sub-10938,alpha,0.14287539199228472,0.27788996164680874
positive,3,hierarchical,sub-10940,alpha,0.3508558165503388,0.35420494216911247
positive,3,hierarchical,sub-10950,alpha,0.31307019898191824,0.278833007868935
positive,3,hierarchical,sub-10951,alpha,0.23183983641981734,0.3157519355144225
positive,3,hierarchical,sub-10952,alpha,0.4082271086693513,0.33478860416418627
positive,3,hierarchical,sub-10953,alpha,0.110494300733474,0.32174912749513374
positive,3,hierarchical,sub-10954,alpha,0.18528618652557097,0.2953711117157187
positive,3,hierarchical,sub-10956,alpha,0.13708914264052896,0.23569277578136874
positive,3,hierarchical,sub-10958,alpha,0.15341022321662345,0.2814766321081825
positive,3,hierarchical,sub-10969,alpha,0.1411363975472301,0.3047722811950575
positive,3,hierarchical,sub-10974,alpha,0.20765622023487004,0.3802369283903538
positive,3,hierarchical,sub-10977,alpha,0.31167614894931844,0.316432357901955
positive,3,hierarchical,sub-10983,alpha,0.10461605096541589,0.25243456764716876
positive,3,hierarchical,sub-10984,alpha,0.12227931010637699,0.3823286023615813
positive,3,hierarchical,sub-11005,alpha,0.46188658418271367,0.35287277686105495
positive,3,hierarchical,sub-11031,alpha,0.12412305305263004,0.23149595332344125
positive,3,MLE_theta10,sub-10317,alpha,0.19153099798185072,0.1520162715392454
positive,3,MLE_theta10,sub-10369,alpha,0.38585653890680466,0.27763035283603577
positive,3,MLE_theta10,sub-10402,alpha,0.40793863389406737,0.8075517195445759
positive,3,MLE_theta10,sub-10418,alpha,0.4645656010092657,0.5098666161996926
positive,3,MLE_theta10,sub-10462,alpha,0.11454206101343721,0.2794736506126316
positive,3,MLE_theta10,sub-10478,alpha,0.2862289530988771,0.40824078180454587
positive,3,MLE_theta10,sub-10486,alpha,0.19797449224160787,0.17743896826761954
positive,3,MLE_theta10,sub-10529,alpha,0.33388321901300877,1.0
positive,3,MLE_theta10,sub-10541,alpha,0.28457726551410784,0.08530750646351347
positive,3,MLE_theta10,sub-10555,alpha,0.29192489487578177,1.0
positive,3,MLE_theta10,sub-10559,alpha,0.3935685887406279,0.6713488163577336
positive,3,MLE_theta10,sub-10572,alpha,0.30164968053816865,0.0
positive,3,MLE_theta10,sub-10581,alpha,0.2505031550279799,0.3258771969473164
positive,3,MLE_theta10,sub-10584,alpha,0.5744109383561371,0.5288604123366869
positive,3,MLE_theta10,sub-10585,alpha,0.17391121460877604,0.0648860126001079
positive,3,MLE_theta10,sub-10589,alpha,0.3358118872320792,0.25785588847706764
positive,3,MLE_theta10,sub-10590,alpha,0.22972606941077545,0.3015943892911293
positive,3,MLE_theta10,sub-10596,alpha,0.27326136674234236,0.4058773772169231
positive,3,MLE_theta10,sub-10603,alpha,0.28412621665851195,0.56205956987443
positive,3,MLE_theta10,sub-10606,alpha,0.13269030232059928,0.13300899912872804
positive,3,MLE_theta10,sub-10608,alpha,0.16587083171678607,0.0
positive,3,MLE_theta10,sub-10617,alpha,0.29418567007871477,0.0
positive,3,MLE_theta10,sub-10636,alpha,0.09980189827779894,0.0
positive,3,MLE_theta10,sub-10638,alpha,0.42263629679624415,0.4324328926497638
