model,n,log_loss,median_log_loss,accuracy,brier
M0,111,0.6931471805599453,0.6931471805599452,0.5860705385350056,0.25
M1,111,0.6692267773975311,0.6931486091510168,0.4139294614649944,0.23878440335738155
M2,111,0.6778547308907523,0.6931482520081595,0.4760134857762331,0.24173258539461367
M3,103,0.740704578914217,0.6446217908980026,0.6913589627044767,0.20229308320923187
M4,103,0.6299178869037765,0.6245531247201884,0.7161473553583801,0.18317272948507513
M5,111,0.6816915545970234,0.6344889233531484,0.5964141018229767,0.2186145655289328
M6,111,0.7125218145597298,0.6678509494581417,0.6292930765718702,0.22131628680739293
M7,111,0.9121840859034553,0.6535604834007737,0.6535738836618342,0.21140859512255822
M8,111,0.6078267978233265,0.6523833098604579,0.6756910928966811,0.20763783908076267
