participant_id,partner,chose_high,high_probability,investment,rt,n
sub-10317,computer,0.0,0.0,1.6363636363636365,2.0522158,11
sub-10317,computer,1.0,1.0,4.666666666666667,2.1708038,3
sub-10317,friend,1.0,1.0,6.0,1.8881868499999999,14
sub-10317,stranger,0.0,0.0,1.7777777777777777,2.0534596,9
sub-10317,stranger,1.0,1.0,5.2,2.0119278,5
sub-10369,computer,0.0,0.0,2.0,1.9917394000000002,6
sub-10369,computer,1.0,1.0,5.5,1.53825185,8
sub-10369,friend,0.0,0.0,3.0,2.2765022,2
sub-10369,friend,1.0,1.0,5.666666666666667,1.60669235,12
sub-10369,stranger,0.0,0.0,2.25,2.1367681999999997,8
sub-10369,stranger,1.0,1.0,5.2,1.9140882,5
sub-10402,computer,0.0,0.0,2.4285714285714284,2.0590966,14
sub-10402,computer,1.0,1.0,4.571428571428571,1.97486655,14
sub-10402,friend,0.0,0.0,2.75,2.0211444,8
sub-10402,friend,1.0,1.0,5.473684210526316,1.8952626,19
sub-10402,stranger,0.0,0.0,2.8,2.2290558000000003,10
sub-10402,stranger,1.0,1.0,5.333333333333333,1.99679325,18
sub-10418,computer,0.0,0.0,2.0,2.30667625,12
sub-10418,computer,1.0,1.0,5.125,2.1044140999999996,16
sub-10418,friend,1.0,1.0,6.0,2.0434880499999997,28
sub-10418,stranger,0.0,0.0,2.1666666666666665,2.01007275,12
sub-10418,stranger,1.0,1.0,4.5,2.20889355,16
sub-10462,computer,0.0,0.0,1.6,2.2074778999999998,10
sub-10462,computer,1.0,1.0,4.666666666666667,2.398849,3
sub-10462,friend,0.0,0.0,1.6,1.7466526,5
sub-10462,friend,1.0,1.0,5.333333333333333,1.8793007,9
sub-10462,stranger,0.0,0.0,2.0,2.01427695,10
sub-10462,stranger,1.0,1.0,4.0,1.97008835,4
sub-10478,computer,0.0,0.0,2.0,1.7597483,13
sub-10478,computer,1.0,1.0,5.571428571428571,2.0047118,14
sub-10478,friend,0.0,0.0,4.0,1.8338648,1
sub-10478,friend,1.0,1.0,5.925925925925926,1.4707832,27
sub-10478,stranger,0.0,0.0,2.0,1.647283,11
sub-10478,stranger,1.0,1.0,5.5,1.8433467499999998,16
sub-10486,computer,1.0,1.0,6.0,1.5197981999999999,14
sub-10486,friend,1.0,1.0,6.0,1.5596781499999999,14
sub-10486,stranger,1.0,1.0,6.0,1.6246768999999999,14
sub-10529,computer,0.0,0.0,2.3076923076923075,1.8004959,13
sub-10529,computer,1.0,1.0,5.466666666666667,1.4995245,15
sub-10529,friend,0.0,0.0,2.4,2.297404,5
sub-10529,friend,1.0,1.0,5.636363636363637,1.80562325,22
sub-10529,stranger,0.0,0.0,2.6,2.16538725,10
sub-10529,stranger,1.0,1.0,5.375,1.76461175,16
sub-10541,computer,0.0,0.0,3.2,2.0327632,5
sub-10541,computer,1.0,1.0,5.565217391304348,1.7683227,23
sub-10541,friend,0.0,0.0,1.7142857142857142,2.0939305,7
sub-10541,friend,1.0,1.0,5.9,1.96574585,20
sub-10541,stranger,0.0,0.0,2.3636363636363638,2.0666132,11
sub-10541,stranger,1.0,1.0,5.125,1.8266292000000002,16
sub-10555,computer,0.0,0.0,1.0,2.3136649,2
sub-10555,computer,1.0,1.0,6.0,2.08959235,12
sub-10555,friend,0.0,0.0,2.0,2.2404039,6
sub-10555,friend,1.0,1.0,6.25,2.02649095,8
sub-10555,stranger,0.0,0.0,2.2857142857142856,2.1756945,7
sub-10555,stranger,1.0,1.0,4.666666666666667,2.0938658500000003,6
sub-10559,computer,0.0,0.0,1.6,1.8827764,25
sub-10559,computer,1.0,1.0,2.0,2.4014935,2
sub-10559,friend,0.0,0.0,1.5454545454545454,1.83095355,22
sub-10559,friend,1.0,1.0,6.0,2.020285,3
sub-10559,stranger,0.0,0.0,1.4166666666666667,2.0073017,24
sub-10559,stranger,1.0,1.0,8.0,2.7598136,2
sub-10572,computer,0.0,0.0,2.0,1.607697,15
sub-10572,computer,1.0,1.0,3.6923076923076925,1.8764575,13
sub-10572,friend,0.0,0.0,2.0,1.75019855,12
sub-10572,friend,1.0,1.0,4.533333333333333,1.7877635,15
sub-10572,stranger,0.0,0.0,1.8571428571428572,1.60156235,14
sub-10572,stranger,1.0,1.0,4.0,1.8053529,14
sub-10581,computer,0.0,0.0,1.7142857142857142,2.1213377,21
sub-10581,computer,1.0,1.0,4.0,1.6556236,5
sub-10581,friend,0.0,0.0,1.3333333333333333,2.769008,3
sub-10581,friend,1.0,1.0,6.0,1.9777718,25
sub-10581,stranger,0.0,0.0,1.6,2.2194543,15
sub-10581,stranger,1.0,1.0,5.8,2.5905155,10
sub-10584,computer,0.0,0.0,2.0,1.7953818,16
sub-10584,computer,1.0,1.0,4.833333333333333,2.0304153,12
sub-10584,friend,0.0,0.0,1.565217391304348,1.608548,23
sub-10584,friend,1.0,1.0,4.8,2.017447,5
sub-10584,stranger,0.0,0.0,2.0,1.7766123,15
sub-10584,stranger,1.0,1.0,5.666666666666667,1.7856585,12
sub-10585,computer,0.0,0.0,1.8461538461538463,1.7349399,13
sub-10585,computer,1.0,1.0,5.866666666666666,1.7030908,15
sub-10585,friend,0.0,0.0,2.8,1.6563613,5
sub-10585,friend,1.0,1.0,6.0,1.713911,23
sub-10585,stranger,0.0,0.0,2.25,1.58786095,8
sub-10585,stranger,1.0,1.0,5.6,1.56495295,20
sub-10589,computer,0.0,0.0,2.727272727272727,1.8261046,11
