sample,metric,model_a,model_b,n,mean_difference,median_difference,ci_low,ci_high,p,p_holm
primary,AIC,M0,M1,111,1.5411679076184892,-2.000080003299942,-0.03790065212652152,3.4827291983966906,0.014721989779992199,0.07232233048726455
primary,AIC,M0,M2,111,0.8385986880105649,-3.760546832198827,-0.9184151497890948,2.9366208592390324,0.001609848928266937,0.010932861731418565
primary,AIC,M0,M5,111,15.691567334991039,10.94257608666652,12.162676746435363,19.52160703808499,3.138144521285268e-15,5.6486601383134823e-14
primary,AIC,M0,M6,111,14.854630117740236,8.550749016988405,11.516845667637885,18.243252335649156,1.8707055778861354e-12,2.6189878090405897e-11
primary,AIC,M0,M7,111,21.338022241734606,18.592225179614715,17.39676326903236,25.30713697969998,4.161058052758293e-15,7.073798689689098e-14
primary,AIC,M0,M8,111,13.02477243450434,2.905748833264724,9.145547967800574,17.159579031274607,4.947406202615394e-07,4.947406202615394e-06
primary,AIC,M1,M2,111,-0.7025692196079244,-1.9997000286874425,-1.192227396337872,-0.1512325374989247,1.3154812715557119e-08,1.5785775258668542e-07
primary,AIC,M1,M5,111,14.150399427372552,10.091948743417355,10.84287719165171,17.61619219961824,1.90961276835766e-15,3.628264259879554e-14
primary,AIC,M1,M6,111,13.313462210121747,7.837850141019295,10.225932563233426,16.53955301222631,8.727297052516518e-12,1.1345486168271473e-10
primary,AIC,M1,M7,111,19.79685433411612,13.141435422209199,15.904535589201746,23.77921523228105,1.0810030108758913e-14,1.729604817401426e-13
primary,AIC,M1,M8,111,11.48360452688585,1.2150134707195122,7.874781068266447,15.579020618590167,3.63667104756611e-06,3.273003942809499e-05
primary,AIC,M2,M5,111,14.852968646980477,11.246436795222166,11.668289751380613,18.32200526753635,8.113683061826907e-17,1.7038734429836504e-15
primary,AIC,M2,M6,111,14.016031429729663,8.268489959041851,10.858423959647084,17.29768229407919,7.814344077417165e-14,1.1721516116125749e-12
primary,AIC,M2,M7,111,20.499423553724046,13.567118169136329,16.54579304425425,24.651653816808324,4.20743593304245e-16,8.4148718660849e-15
primary,AIC,M2,M8,111,12.18617374649378,2.2742757400928753,8.263057969020535,16.50240588828579,1.0397903231820438e-07,1.1437693555002482e-06
primary,AIC,M5,M6,111,-0.8369372172508083,-0.8106088823137583,-4.673269015303676,2.8093714270622976,0.3479441208496009,0.3479441208496009
primary,AIC,M5,M7,111,5.6464549067435685,-0.18526621652038955,3.505050119575515,7.8905824601853265,0.014464466097452909,0.07232233048726455
primary,AIC,M5,M8,111,-2.6667949004866975,-1.131438101387701,-7.766872573478698,2.6154420573910837,0.08846051959707721,0.21666053113295353
primary,AIC,M6,M7,111,6.483392123994376,0.7547664028951431,4.063174017420278,9.16323957731532,0.00010158621554959487,0.000812689724396759
primary,AIC,M6,M8,111,-1.8298576832358897,-0.653416833057463,-4.119478054645182,0.40076506113489013,0.07222017704431784,0.21666053113295353
primary,AIC,M7,M8,111,-8.313249807230267,-2.178944522122322,-12.31416920601525,-4.447336624212336,0.001561837390202652,0.010932861731418565
primary,AICc,M0,M1,111,1.4810850628425571,-2.0491604911048427,-0.06702492674868406,3.347248694670561,0.01401805593230784,0.0700902796615392
primary,AICc,M0,M2,111,0.6552532031816827,-3.9143929860449873,-1.145212825236401,2.7057930908475885,0.0011976371512063442,0.00838346005844441
primary,AICc,M0,M5,111,15.318433705920434,10.642576086666523,11.838045566951788,19.235638078569128,1.2132907321203256e-14,2.183923317816586e-13
primary,AICc,M0,M6,111,14.481496488669627,7.919170069619987,11.230728543164481,17.959360246170924,8.039719287734215e-12,1.1255607002827902e-10
primary,AICc,M0,M7,111,20.70495158758973,18.06590939014103,16.52510277147444,24.815989670118487,1.753010335510296e-14,2.980117570367503e-13
primary,AICc,M0,M8,111,12.651638805433736,2.6057488332647125,8.751982446857062,16.758732242601326,3.435462936670235e-06,3.435462936670235e-05
primary,AICc,M1,M2,111,-0.8258318596608751,-2.0991895701741186,-1.3078570602810426,-0.24454465780806392,5.392812628092511e-09,6.471375153711013e-08
primary,AICc,M1,M5,111,13.837348643077874,9.746493448620427,10.70407382704648,17.335291411170022,6.641047932124901e-15,1.261799107103731e-13
primary,AICc,M1,M6,111,13.000411425827073,7.306271193650886,9.818877607050549,16.223260616494162,5.0284384360572666e-11,6.536969966874447e-10
primary,AICc,M1,M7,111,19.22386652474717,12.683886796090036,15.429589669223363,23.115399944829697,6.247295384844948e-14,9.995672615751917e-13
primary,AICc,M1,M8,111,11.170553742591178,0.9605987184145022,7.325974493660775,15.145518737304196,3.302389671519562e-05,0.00029721507043676057
primary,AICc,M2,M5,111,14.663180502738753,11.094584943370322,11.49807080624623,18.051826129570475,1.6620814438486104e-16,3.4903710320820818e-15
primary,AICc,M2,M6,111,13.826243285487944,7.935630784077414,10.602257041192484,17.056165689056236,3.5854169198658455e-13,5.378125379798768e-12
primary,AICc,M2,M7,111,20.049698384408046,13.156068466049177,16.162382700793525,24.261959072758707,2.308496612271256e-15,4.616993224542512e-14
primary,AICc,M2,M8,111,11.996385602252053,2.120478271738449,8.141268872393415,16.116903168060134,4.797768524352153e-07,5.277545376787368e-06
primary,AICc,M5,M6,111,-0.8369372172508057,-0.8106088823137583,-4.628278376387162,2.881156957394094,0.3544434650666345,0.3544434650666345
primary,AICc,M5,M7,111,5.3865178816692945,-0.6477286789828582,3.239794001849871,7.60157184252177,0.055061730908247106,0.22024692363298842
primary,AICc,M5,M8,111,-2.6667949004866975,-1.131438101387701,-7.734025501824279,2.57842284339104,0.08846051959707721,0.22024692363298842
primary,AICc,M6,M7,111,6.223455098920102,0.5484372889711011,3.822089265049202,8.95268114150379,0.00046811818895745185,0.003744945511659615
primary,AICc,M6,M8,111,-1.829857683235891,-0.653416833057463,-4.210480083605713,0.4580418322427582,0.07222017704431784,0.22024692363298842
primary,AICc,M7,M8,111,-8.053312782155993,-1.8700611722238065,-12.30234834524393,-4.089475748717067,0.0032892388057945946,0.019735432834767568
primary,BIC,M0,M1,111,-0.7340285223762743,-4.313000060904656,-2.2744266833887634,1.205730732707368,9.353248225294962e-07,1.3094547515412947e-05
primary,BIC,M0,M2,111,-3.711794171978964,-7.475698547579654,-5.475445181533196,-1.6313632662924809,1.5055247189165156e-08,2.5593920221580765e-07
primary,BIC,M0,M5,111,8.865978045006745,3.7316498507804,5.447918017249315,12.605749836110734,0.00014732731114803924,0.0016206004226284316
primary,BIC,M0,M6,111,8.029040827755939,3.0938086194841645,4.800357013408274,11.308858900306031,0.0013409179017454364,0.013409179017454365
primary,BIC,M0,M7,111,12.23723652175555,9.014428560924955,8.222992172553022,16.298343440613014,2.2001379939420776e-06,2.8601793921247008e-05
primary,BIC,M0,M8,111,6.199183144520047,-4.274973614606282,2.484057519640492,10.494911156274323,0.3821974840872825,1.0
primary,BIC,M1,M2,111,-2.9777656496026896,-4.044111209472419,-3.4732960936363186,-2.383795047243854,7.321342655502798e-13,1.4642685311005596e-11
primary,BIC,M1,M5,111,9.60000656738302,6.664804610008744,6.596380386026163,13.010282426262833,5.4088849142561584e-08,8.654215862809854e-07
primary,BIC,M1,M6,111,8.763069350132213,3.656787261309873,5.678900340169145,11.924439191446794,0.00013079732731540513,0.0015695679277848615
primary,BIC,M1,M7,111,12.97126504413182,6.354140004923302,9.18202793481025,16.906220980283088,2.3463279364802412e-07,3.519491904720362e-06
primary,BIC,M1,M8,111,6.93321166689632,-2.6554911171284346,3.1178679482481777,10.974726945952598,0.946046551327843,1.0
primary,BIC,M2,M5,111,12.57777221698571,8.815619996378857,9.468887826571766,16.019269672165276,3.1456779346396674e-13,6.605923662743302e-12
primary,BIC,M2,M6,111,11.740834999734902,6.108770136845763,8.634913065931787,14.981112006290038,8.218616342767242e-09,1.4793509416981036e-07
primary,BIC,M2,M7,111,15.949030693734516,9.03648012263077,12.015044685683407,19.981461489920946,7.496805803994144e-10,1.4243931027588875e-08
primary,BIC,M2,M8,111,9.910977316499013,-0.14456486770373544,6.101327570262966,14.06260411627738,0.019027521053829707,0.17124768948446736
primary,BIC,M5,M6,111,-0.8369372172508078,-0.8106088823137583,-4.688260064656493,2.8874384585468778,0.3479441208496009,1.0
primary,BIC,M5,M7,111,3.3712584767488036,-2.597820654380584,1.2425660411869366,5.636117472363531,0.5721289919981433,1.0
primary,BIC,M5,M8,111,-2.6667949004867,-1.1314381013877153,-7.8771375113236495,2.6176115451038413,0.08846051959707721,0.6192236371795404
primary,BIC,M6,M7,111,4.2081956939996115,-1.6158565856945728,1.8904183261685588,6.94361649083428,0.40503344680603925,1.0
primary,BIC,M6,M8,111,-1.8298576832358924,-0.653416833057463,-4.164440169160509,0.5087635201152748,0.07222017704431784,0.5777614163545427
primary,BIC,M7,M8,111,-6.038053377235504,0.09836348359863223,-10.311498738055977,-2.1419323899187184,0.10752403208174711,0.6451441924904827
